ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-14||Colorado-Colorado Springs|W|66|53|22|51|.431|8|19|.421|14|22|.636|12|37|13|6|4|12|19||18|53|.340|1|14|.071|16|17|.941|11|33|8|6|4|12|22
2|2|2010-11-17||Colorado College|L (1 OT)|57|60|19|51|.373|3|15|.200|16|17|.941|5|35|9|7|5|16|18||19|58|.328|6|18|.333|16|23|.696|10|36|12|5|1|11|16
3|3|2010-11-20||Tennessee State|W|87|72|31|50|.620|6|15|.400|19|29|.655|7|31|24|8|3|16|22||21|57|.368|9|35|.257|21|23|.913|13|28|12|7|2|15|24
4|4|2010-11-24|@|Wofford|W (1 OT)|72|66|24|47|.511|6|12|.500|18|29|.621|2|23|13|13|1|15|18||23|68|.338|8|25|.320|12|21|.571|21|45|13|8|3|18|21
5|5|2010-12-02||Cal State Northridge|W|72|63|21|46|.457|8|22|.364|22|30|.733|3|27|17|10|5|11|17||23|68|.338|10|31|.323|7|14|.500|21|47|17|5|4|19|25
6|6|2010-12-05||Evansville|W|57|56|21|44|.477|8|20|.400|7|11|.636|2|21|17|8|9|9|12||21|55|.382|10|18|.556|4|6|.667|9|32|17|3|0|13|17
7|7|2010-12-08|@|Wright State|L|61|76|22|36|.611|1|6|.167|16|21|.762|1|20|10|3|1|19|22||24|50|.480|11|22|.500|17|21|.810|8|19|13|7|0|12|20
8|8|2010-12-11||North Carolina Central|W|73|56|25|52|.481|4|16|.250|19|26|.731|8|38|12|5|4|13|16||20|58|.345|6|21|.286|10|12|.833|7|27|12|6|5|14|21
9|9|2010-12-18||Arkansas-Pine Bluff|W|63|52|23|48|.479|3|12|.250|14|23|.609|7|32|15|5|4|8|9||17|48|.354|14|29|.483|4|8|.500|6|28|13|5|2|14|20
10|10|2010-12-22|@|Northern Arizona|L|63|74|22|52|.423|3|15|.200|16|24|.667|9|23|12|7|1|6|21||24|44|.545|4|13|.308|22|29|.759|8|33|16|4|2|11|22
11|11|2010-12-28|N|Sam Houston State|W|76|65|25|45|.556|6|16|.375|20|23|.870|5|26|17|5|0|13|21||21|51|.412|6|25|.240|17|21|.810|11|29|13|5|1|14|24
12|12|2010-12-29|@|Texas-El Paso|L|54|71|19|53|.358|6|18|.333|10|12|.833|4|25|11|6|3|11|13||28|55|.509|9|25|.360|6|8|.750|6|34|16|5|5|12|18
13|13|2011-01-02||Florida A&M|W|81|48|28|55|.509|10|20|.500|15|18|.833|10|35|20|7|5|10|10||17|60|.283|6|25|.240|8|10|.800|12|27|7|7|6|14|12
14|14|2011-01-05||Utah|W|77|69|25|48|.521|9|21|.429|18|20|.900|9|28|17|5|4|9|10||27|57|.474|13|24|.542|2|3|.667|11|23|14|3|6|9|19
15|15|2011-01-08|@|Brigham Young|L|66|76|22|48|.458|6|17|.353|16|23|.696|3|23|10|8|1|12|19||24|57|.421|9|30|.300|19|22|.864|13|36|15|4|1|13|22
16|16|2011-01-15||Nevada-Las Vegas|L|52|64|17|40|.425|6|13|.462|12|25|.480|4|24|13|7|1|9|15||20|49|.408|6|24|.250|18|21|.857|9|36|13|5|2|7|18
17|17|2011-01-19|@|San Diego State|L|55|68|22|43|.512|6|11|.545|5|6|.833|4|19|16|3|0|11|17||25|54|.463|11|26|.423|7|16|.438|16|34|14|8|4|10|10
18|18|2011-01-22||Wyoming|W|72|51|26|46|.565|11|19|.579|9|11|.818|2|26|22|8|2|9|13||22|58|.379|4|23|.174|3|6|.500|12|29|11|5|2|12|11
19|19|2011-01-26|@|Colorado State|L|66|69|21|42|.500|11|21|.524|13|18|.722|5|23|17|5|1|17|22||24|53|.453|5|26|.192|16|22|.727|9|24|20|4|1|8|20
20|20|2011-01-29|@|Texas Christian|W (1 OT)|66|65|25|51|.490|10|22|.455|6|15|.400|3|25|19|4|1|11|12||25|58|.431|8|27|.296|7|8|.875|10|36|17|3|2|14|17
21|21|2011-02-01||New Mexico|L|61|75|24|43|.558|6|14|.429|7|11|.636|4|18|18|4|2|16|21||24|47|.511|8|20|.400|19|21|.905|9|26|16|12|2|10|16
22|22|2011-02-05|@|Utah|W|54|49|20|52|.385|7|23|.304|7|15|.467|8|32|18|6|4|7|19||17|43|.395|8|22|.364|7|17|.412|3|31|6|3|6|11|19
23|23|2011-02-09||Brigham Young|L|52|90|20|58|.345|8|21|.381|4|8|.500|6|25|16|5|2|16|17||33|57|.579|15|30|.500|9|11|.818|5|38|24|9|6|14|13
24|24|2011-02-15|@|Nevada-Las Vegas|L|42|49|16|44|.364|6|24|.250|4|7|.571|1|24|11|6|1|15|25||14|42|.333|2|14|.143|19|27|.704|6|32|9|6|1|15|17
25|25|2011-02-19||San Diego State|L|58|70|19|50|.380|4|19|.211|16|22|.727|4|22|12|6|5|7|23||20|57|.351|6|24|.250|24|33|.727|20|49|11|3|5|11|18
26|26|2011-02-23|@|Wyoming|L|61|63|23|52|.442|4|18|.222|11|13|.846|5|32|9|3|2|18|26||22|55|.400|7|28|.250|12|28|.429|10|29|17|9|9|11|17
27|27|2011-02-26||Colorado State|W|74|57|21|41|.512|8|19|.421|24|31|.774|2|29|18|9|2|13|18||19|59|.322|5|29|.172|14|19|.737|15|36|14|6|1|17|24
28|28|2011-03-02||Texas Christian|W|70|65|24|48|.500|9|18|.500|13|16|.813|2|23|20|8|3|7|11||23|54|.426|14|29|.483|5|8|.625|9|33|15|5|2|14|16
29|29|2011-03-05|@|New Mexico|L|61|66|24|52|.462|9|26|.346|4|7|.571|4|21|15|6|1|9|25||18|46|.391|8|25|.320|22|29|.759|11|35|16|3|3|10|15
30|30|2011-03-10|@|Nevada-Las Vegas|L|53|69|18|54|.333|6|19|.316|11|14|.786|6|24|13|4|3|9|14||24|48|.500|11|20|.550|10|16|.625|6|33|18|6|8|11|17
31|31|2011-03-15||North Dakota|W|77|67|29|46|.630|4|13|.308|15|24|.625|3|35|24|7|3|9|12||24|65|.369|13|39|.333|6|10|.600|9|26|13|2|3|8|18
32|32|2011-03-18|@|Santa Clara|L|75|88|24|44|.545|10|19|.526|17|22|.773|2|18|16|6|0|12|26||24|53|.453|13|27|.481|27|37|.730|18|38|17|5|1|13|18
