ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-12|@|Southern Methodist|W|57|47|18|46|.391|5|7|.714|16|21|.762|6|31|12|7|2|11|17||13|48|.271|8|30|.267|13|15|.867|7|30|8|4|3|13|20
2|2|2010-11-14|@|St. Bonaventure|L|64|77|22|56|.393|3|17|.176|17|20|.850|6|30|10|5|3|16|30||22|49|.449|3|17|.176|30|37|.811|6|33|12|4|4|15|23
3|3|2010-11-17||St. Gregory's|W|108|58|45|76|.592|5|16|.313|13|21|.619|15|50|26|12|4|11|18||17|63|.270|6|23|.261|18|20|.900|10|27|12|5|1|19|19
4|4|2010-11-21||Illinois State|W|63|54|21|49|.429|6|13|.462|15|23|.652|7|30|12|4|1|10|15||22|57|.386|5|22|.227|5|8|.625|11|35|9|5|6|14|23
5|5|2010-11-24|@|Oral Roberts|L|60|86|19|54|.352|6|14|.429|16|25|.640|11|25|8|6|1|14|24||28|49|.571|10|16|.625|20|30|.667|11|35|16|7|5|11|19
6|6|2010-11-26||Louisiana Tech|W|74|65|20|50|.400|5|17|.294|29|38|.763|10|37|13|2|1|10|24||22|56|.393|6|20|.300|15|19|.789|8|33|9|2|3|12|30
7|7|2010-12-01|@|Missouri State|L|46|80|16|49|.327|4|10|.400|10|18|.556|5|24|10|1|1|10|17||30|54|.556|5|16|.313|15|20|.750|6|36|19|3|3|6|17
8|8|2010-12-05||Tulsa|W|69|67|24|54|.444|6|15|.400|15|23|.652|8|24|13|10|2|10|16||24|55|.436|9|26|.346|10|14|.714|14|35|14|0|3|19|23
9|9|2010-12-07||Philander Smith|W|85|58|31|53|.585|7|14|.500|16|29|.552|13|45|24|6|5|17|14||22|67|.328|9|26|.346|5|8|.625|12|27|13|10|3|16|22
10|10|2010-12-11||Mississippi|L|70|84|25|64|.391|4|17|.235|16|26|.615|7|28|12|5|1|9|23||28|47|.596|11|22|.500|17|31|.548|6|37|18|1|8|11|24
11|11|2010-12-16|@|Rice|L|55|65|19|54|.352|10|23|.435|7|18|.389|11|30|12|5|0|7|15||24|47|.511|6|18|.333|11|15|.733|4|31|21|3|4|9|16
12|12|2010-12-21|N|Akron|L|61|75|18|47|.383|8|16|.500|17|20|.850|8|25|9|9|1|20|16||28|58|.483|11|23|.478|8|11|.727|12|32|16|11|5|16|19
13|13|2010-12-22|N|Oral Roberts|W|52|49|17|48|.354|2|11|.182|16|28|.571|14|37|7|3|4|13|18||16|50|.320|2|15|.133|15|21|.714|10|30|5|3|3|13|23
14|14|2010-12-23|N|Stetson|W|75|50|24|44|.545|12|20|.600|15|26|.577|9|27|15|5|5|13|20||18|51|.353|6|14|.429|8|17|.471|12|26|11|5|1|16|21
15|15|2010-12-30|@|North Texas|L|69|81|25|57|.439|6|14|.429|13|19|.684|6|25|7|6|3|14|26||28|47|.596|4|10|.400|21|31|.677|6|32|14|4|3|14|21
16|16|2011-01-02|@|Denver|L (1 OT)|70|72|24|50|.480|6|12|.500|16|20|.800|8|30|9|2|1|14|25||24|49|.490|11|26|.423|13|19|.684|4|21|17|5|7|8|17
17|17|2011-01-05||St. Bonaventure|L|55|68|22|55|.400|6|18|.333|5|14|.357|10|28|12|6|2|13|19||27|49|.551|7|15|.467|7|18|.389|10|31|16|2|2|13|16
18|18|2011-01-08||Troy|W|76|73|19|52|.365|13|25|.520|25|35|.714|9|39|16|8|3|13|12||27|63|.429|12|29|.414|7|9|.778|7|32|17|4|4|12|24
