ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-13|@|Colgate|W|62|60|22|48|.458|3|11|.273|15|18|.833|4|18|7|8|6|7|14||23|56|.411|3|18|.167|11|13|.846|10|30|15|1|2|12|16
2|2|2010-11-17|@|Bucknell|L|38|66|14|57|.246|6|23|.261|4|8|.500|13|31|10|4|2|15|12||26|55|.473|5|17|.294|9|13|.692|8|35|16|7|0|10|11
3|3|2010-11-21||St. Bonaventure|L|44|69|17|55|.309|5|19|.263|5|11|.455|11|29|7|4|2|12|15||29|52|.558|6|14|.429|5|8|.625|6|32|12|5|6|10|14
4|4|2010-11-23|@|Army|L|58|72|20|47|.426|10|20|.500|8|14|.571|9|29|13|3|4|13|15||27|52|.519|12|26|.462|6|10|.600|4|21|18|4|3|7|11
5|5|2010-11-28|@|Drexel|L|39|79|15|45|.333|4|17|.235|5|6|.833|4|18|7|1|2|12|12||29|56|.518|11|22|.500|10|13|.769|11|36|21|6|3|6|14
6|6|2010-11-30||Canisius|L|45|55|14|46|.304|3|18|.167|14|18|.778|7|21|8|8|3|17|18||20|50|.400|7|12|.583|8|12|.667|12|30|11|8|4|19|15
7|7|2010-12-08||Hofstra|L (1 OT)|85|89|31|65|.477|12|29|.414|11|22|.500|11|32|18|7|3|13|21||31|63|.492|9|18|.500|18|25|.720|12|37|10|7|3|12|20
8|8|2010-12-11|@|Manhattan|W|70|69|27|55|.491|13|30|.433|3|5|.600|6|22|15|4|3|8|16||24|56|.429|4|14|.286|17|20|.850|13|33|14|4|4|10|10
9|9|2010-12-18||Cornell|W|69|68|21|46|.457|7|19|.368|20|25|.800|4|23|14|11|4|12|18||26|64|.406|7|21|.333|9|15|.600|19|42|17|7|0|16|21
10|10|2010-12-21||Saint Peter's|L|56|61|19|53|.358|8|22|.364|10|17|.588|13|34|10|5|3|14|23||18|49|.367|7|23|.304|18|32|.563|16|37|13|10|4|14|15
11|11|2010-12-28|@|Marshall|L|60|85|23|58|.397|6|23|.261|8|11|.727|10|28|11|4|6|15|21||30|61|.492|7|18|.389|18|22|.818|13|37|15|6|4|10|14
12|12|2010-12-30|@|Morehead State|L|74|80|24|45|.533|9|24|.375|17|20|.850|4|15|12|7|0|14|20||30|53|.566|6|14|.429|14|19|.737|11|24|15|7|2|11|18
13|13|2011-01-02|@|La Salle|L|64|87|21|47|.447|6|12|.500|16|20|.800|7|20|7|6|3|19|16||33|71|.465|7|21|.333|14|21|.667|21|38|15|8|5|15|19
14|14|2011-01-08|@|New Hampshire|W|66|61|26|51|.510|5|15|.333|9|12|.750|6|23|8|3|4|9|13||24|59|.407|5|18|.278|8|12|.667|15|35|9|3|2|12|14
15|15|2011-01-10||Stony Brook|W|57|50|18|47|.383|8|23|.348|13|18|.722|5|30|10|8|7|12|15||18|62|.290|5|23|.217|9|15|.600|18|40|11|5|1|11|14
16|16|2011-01-12||Maryland-Baltimore County|W|83|75|26|51|.510|13|33|.394|18|27|.667|8|30|20|10|4|17|14||28|61|.459|9|20|.450|10|12|.833|8|27|8|8|0|16|21
17|17|2011-01-15|@|Maine|L|51|77|19|57|.333|6|26|.231|7|11|.636|7|28|10|2|3|12|14||28|62|.452|8|22|.364|13|17|.765|12|39|18|8|6|8|12
18|18|2011-01-17||Hartford|L|61|72|21|57|.368|6|20|.300|13|17|.765|11|37|12|6|2|16|10||26|54|.481|15|32|.469|5|8|.625|3|26|22|11|7|13|19
19|19|2011-01-20|@|Albany (NY)|L|37|76|12|57|.211|1|18|.056|12|19|.632|13|27|7|2|3|8|13||27|55|.491|11|27|.407|11|13|.846|9|36|14|5|11|8|16
20|20|2011-01-23||Vermont|L|52|70|18|52|.346|5|18|.278|11|15|.733|11|27|6|6|5|16|19||25|56|.446|6|15|.400|14|18|.778|13|33|10|6|2|11|16
21|21|2011-01-26|@|Boston University|L|66|71|25|64|.391|7|25|.280|9|13|.692|12|30|12|2|7|9|19||22|59|.373|8|22|.364|19|25|.760|13|35|12|6|2|6|16
22|22|2011-01-29||Maine|L|74|77|30|69|.435|13|28|.464|1|4|.250|9|29|18|4|4|7|15||26|54|.481|7|18|.389|18|24|.750|7|34|12|4|6|12|10
23|23|2011-02-03|@|Maryland-Baltimore County|L (1 OT)|79|83|28|63|.444|12|23|.522|11|15|.733|9|39|13|3|6|13|17||32|70|.457|7|16|.438|12|16|.750|9|34|10|7|1|7|15
24|24|2011-02-05||New Hampshire|L|59|65|18|45|.400|5|13|.385|18|28|.643|6|29|5|7|2|11|23||23|44|.523|7|17|.412|12|21|.571|6|28|7|2|2|9|21
25|25|2011-02-13|@|Vermont|L|51|60|18|52|.346|11|26|.423|4|4|1.000|10|26|10|2|0|12|20||23|49|.469|6|12|.500|8|14|.571|9|29|16|3|5|6|11
26|26|2011-02-16|@|Hartford|W|77|47|31|56|.554|10|16|.625|5|5|1.000|15|42|18|3|0|17|14||19|50|.380|6|27|.222|3|10|.300|7|15|10|9|3|10|11
27|27|2011-02-20||Albany (NY)|L|54|57|16|44|.364|6|22|.273|16|18|.889|6|21|9|8|3|12|14||18|46|.391|9|21|.429|12|16|.750|11|32|13|4|2|15|15
28|28|2011-02-24||Boston University|L|51|53|19|52|.365|6|24|.250|7|12|.583|8|26|8|5|6|8|18||19|47|.404|4|13|.308|11|17|.647|6|30|2|3|4|11|14
29|29|2011-02-27|@|Stony Brook|L|42|67|13|44|.295|6|15|.400|10|18|.556|7|24|7|5|0|14|16||24|46|.522|10|19|.526|9|14|.643|5|31|12|6|3|8|16
30|30|2011-03-03|N|Maryland-Baltimore County|W|91|65|31|60|.517|17|32|.531|12|17|.706|9|31|20|5|1|9|12||24|54|.444|6|15|.400|11|14|.786|5|26|18|2|2|11|16
31|31|2011-03-05|N|Vermont|L|46|57|14|53|.264|4|15|.267|14|17|.824|6|26|6|4|4|4|16||23|55|.418|2|8|.250|9|15|.600|14|42|8|0|4|13|13
