ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-12||Texas A&M-Kingsville|W|66|55|24|53|.453|3|17|.176|15|23|.652|12|34|13|11|1|15|13||23|56|.411|5|21|.238|4|5|.800|9|33|16|6|1|19|23
2|2|2010-11-16||Northern Illinois|W|66|63|24|62|.387|10|27|.370|8|16|.500|8|29|18|6|3|10|19||21|54|.389|5|19|.263|16|19|.842|10|41|13|6|1|20|19
3|3|2010-11-17||Loyola Marymount|W|59|57|17|56|.304|4|19|.211|21|30|.700|7|31|7|7|4|13|17||21|55|.382|3|12|.250|12|18|.667|12|47|11|8|1|24|22
4|4|2010-11-20|N|Southern California|W|64|63|22|53|.415|8|19|.421|12|19|.632|4|23|12|6|2|18|17||24|57|.421|8|21|.381|7|13|.538|11|34|17|6|2|21|18
5|5|2010-11-21|N|Texas Christian|L|68|74|23|53|.434|5|16|.313|17|23|.739|11|33|14|5|1|17|17||26|54|.481|6|16|.375|16|19|.842|4|22|17|10|5|13|20
6|6|2010-11-24||Eastern Illinois|L|56|63|18|49|.367|10|24|.417|10|11|.909|9|37|12|4|1|23|20||21|51|.412|5|18|.278|16|25|.640|8|29|14|16|0|10|14
7|7|2010-11-30|@|Western Carolina|L|65|66|23|53|.434|5|14|.357|14|20|.700|5|25|12|8|1|10|21||20|54|.370|7|21|.333|19|23|.826|16|42|15|4|5|16|19
8|8|2010-12-04||Utah|L|60|68|20|61|.328|4|11|.364|16|23|.696|12|39|4|8|2|19|26||20|49|.408|4|16|.250|24|44|.545|10|39|8|8|3|17|20
9|9|2010-12-08|@|Duke|L|48|83|20|61|.328|4|13|.308|4|8|.500|11|32|10|7|3|13|13||30|60|.500|15|33|.455|8|10|.800|8|35|22|3|4|9|13
10|10|2010-12-20||Jackson State|W|64|55|24|43|.558|5|14|.357|11|16|.688|4|23|17|9|2|12|14||21|52|.404|8|21|.381|5|5|1.000|9|27|19|6|4|18|15
11|11|2010-12-22||Detroit Mercy|W|73|65|24|51|.471|5|14|.357|20|26|.769|7|30|14|6|2|9|18||21|50|.420|6|19|.316|17|26|.654|9|30|14|7|1|11|24
12|12|2010-12-29|@|Indiana State|L|66|80|23|59|.390|4|11|.364|16|18|.889|5|31|10|5|4|17|25||27|61|.443|7|22|.318|19|27|.704|8|35|19|9|10|8|19
13|13|2011-01-01||Wichita State|L|63|79|19|50|.380|5|10|.500|20|28|.714|8|30|13|2|2|13|16||31|67|.463|8|26|.308|9|12|.750|13|40|20|7|3|9|23
14|14|2011-01-04||Southern Illinois|L|64|72|20|47|.426|2|8|.250|22|26|.846|7|25|10|6|0|11|22||23|45|.511|4|13|.308|22|30|.733|9|30|11|5|0|12|23
15|15|2011-01-07|@|Drake|L|58|64|24|55|.436|5|16|.313|5|8|.625|8|34|10|5|4|14|25||21|50|.420|4|15|.267|18|25|.720|5|26|12|3|5|9|14
16|16|2011-01-09|@|Northern Iowa|L|77|83|23|49|.469|9|15|.600|22|24|.917|6|28|13|1|0|10|18||25|51|.490|10|29|.345|23|26|.885|4|20|16|4|2|5|19
17|17|2011-01-12||Indiana State|L|53|59|19|50|.380|5|15|.333|10|19|.526|5|31|10|7|0|10|15||18|46|.391|8|23|.348|15|20|.750|4|35|14|4|2|15|21
18|18|2011-01-16||Missouri State|L|67|78|27|55|.491|5|10|.500|8|11|.727|6|16|12|4|3|9|14||32|54|.593|6|13|.462|8|11|.727|9|30|22|3|3|8|15
19|19|2011-01-19|@|Creighton|L|68|81|26|62|.419|2|13|.154|14|19|.737|10|24|10|7|3|7|19||27|46|.587|10|18|.556|17|21|.810|6|32|21|3|0|14|17
20|20|2011-01-23|@|Evansville|L|67|70|28|56|.500|5|15|.333|6|13|.462|9|34|15|6|7|14|24||25|52|.481|6|15|.400|14|23|.609|4|26|20|2|2|8|17
21|21|2011-01-26||Illinois State|L (1 OT)|78|79|25|55|.455|6|18|.333|22|31|.710|8|33|15|8|3|16|28||25|58|.431|3|20|.150|26|36|.722|13|38|12|9|6|17|25
22|22|2011-01-29|@|Wichita State|L|41|61|16|52|.308|3|13|.231|6|8|.750|12|27|6|1|2|8|12||23|50|.460|10|22|.455|5|8|.625|10|32|17|3|4|7|13
23|23|2011-02-01||Creighton|W|69|61|24|58|.414|4|15|.267|17|21|.810|8|32|14|10|4|6|10||19|58|.328|11|35|.314|12|14|.857|13|38|14|5|4|14|17
24|24|2011-02-05|@|Southern Illinois|W|69|66|24|51|.471|2|9|.222|19|23|.826|8|33|12|3|3|9|15||26|60|.433|5|13|.385|9|12|.750|10|32|16|6|1|5|16
25|25|2011-02-09|@|Missouri State|L|69|77|30|60|.500|4|12|.333|5|6|.833|6|26|11|11|3|10|17||23|47|.489|13|28|.464|18|22|.818|6|28|16|4|5|14|14
26|26|2011-02-12||Evansville|W|68|54|25|56|.446|7|16|.438|11|16|.688|12|39|12|4|5|18|20||19|48|.396|2|13|.154|14|25|.560|6|26|10|8|1|11|18
27|27|2011-02-15||Northern Iowa|L|70|80|27|55|.491|3|17|.176|13|16|.813|7|25|14|8|0|5|22||21|47|.447|15|31|.484|23|26|.885|8|29|17|1|1|10|15
28|28|2011-02-19|@|Tennessee-Martin|W|81|75|30|56|.536|5|15|.333|16|20|.800|7|31|14|3|3|8|18||25|61|.410|11|23|.478|14|22|.636|14|34|12|3|0|10|19
29|29|2011-02-22|@|Illinois State|L|50|51|18|56|.321|2|15|.133|12|18|.667|9|32|6|10|1|9|17||18|49|.367|2|19|.105|13|19|.684|11|39|11|5|5|16|17
30|30|2011-02-26||Drake|W|90|64|36|57|.632|6|16|.375|12|16|.750|5|35|19|9|2|11|16||23|62|.371|5|25|.200|13|20|.650|12|29|14|5|0|10|15
31|31|2011-03-03|N|Drake|W|63|48|25|64|.391|9|17|.529|4|11|.364|10|38|10|8|4|7|16||17|55|.309|2|17|.118|12|15|.800|10|37|6|1|8|13|15
32|32|2011-03-04|N|Wichita State|L|56|70|20|53|.377|3|12|.250|13|16|.813|5|23|5|7|4|14|19||26|57|.456|4|14|.286|14|19|.737|10|37|15|7|5|13|15
