ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-12|@|Santa Clara|L|77|82|23|50|.460|7|17|.412|24|31|.774|7|30|10|12|1|21|31||25|57|.439|6|22|.273|26|40|.650|13|37|15|7|2|16|23
2|2|2010-11-14|@|Sacramento State|W (1 OT)|80|78|26|67|.388|10|26|.385|18|31|.581|17|46|9|6|5|15|28||23|58|.397|3|16|.188|29|42|.690|11|40|14|8|0|14|25
3|3|2010-11-17||Southern Utah|L|58|66|19|53|.358|6|21|.286|14|25|.560|9|31|6|4|7|14|20||24|63|.381|1|5|.200|17|21|.810|16|42|9|7|2|12|20
4|4|2010-11-20|@|Pepperdine|W|66|64|23|52|.442|7|20|.350|13|18|.722|7|25|12|4|4|7|13||25|62|.403|3|15|.200|11|18|.611|15|33|12|4|3|9|17
5|5|2010-11-24||San Jose State|W|82|77|29|62|.468|5|14|.357|19|22|.864|11|30|9|7|1|9|17||30|59|.508|5|14|.357|12|15|.800|11|31|11|2|7|14|19
6|6|2010-11-27|@|Cal State Fullerton|L|75|85|25|59|.424|7|15|.467|18|24|.750|7|20|10|4|3|6|26||23|45|.511|6|13|.462|33|37|.892|12|40|16|4|1|14|22
7|7|2010-11-30||Northern Arizona|L|77|81|29|71|.408|5|17|.294|14|18|.778|17|35|16|8|1|7|18||30|57|.526|8|18|.444|13|19|.684|9|34|16|4|4|13|20
8|8|2010-12-04||San Francisco|W|77|69|28|56|.500|5|11|.455|16|27|.593|11|33|20|5|3|15|21||25|56|.446|4|17|.235|15|21|.714|8|31|10|4|0|16|24
9|9|2010-12-07||Idaho State|W|75|56|27|50|.540|11|19|.579|10|12|.833|5|29|18|9|4|15|16||20|55|.364|1|12|.083|15|20|.750|13|33|6|8|0|18|15
10|10|2010-12-11|@|Utah State|L|58|77|24|61|.393|5|12|.417|5|11|.455|5|27|15|11|6|10|21||26|62|.419|5|16|.313|20|31|.645|18|53|18|5|1|14|12
