ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-12|@|UCLA|L|50|83|18|62|.290|2|12|.167|12|21|.571|18|35|6|9|2|27|24||29|51|.569|5|17|.294|20|32|.625|9|36|19|17|12|22|21
2|2|2010-11-16|@|California|L|63|80|23|57|.404|8|22|.364|9|16|.563|8|25|13|7|3|18|37||22|46|.478|5|16|.313|31|50|.620|13|43|17|8|2|15|19
3|3|2010-11-20||Vanguard|W|109|66|40|67|.597|4|13|.308|25|29|.862|7|37|29|15|5|15|29||18|48|.375|4|15|.267|26|37|.703|5|20|12|8|3|26|23
4|4|2010-11-25|N|Virginia Tech|L|56|72|17|51|.333|6|18|.333|16|28|.571|11|32|9|6|1|25|21||29|55|.527|4|14|.286|10|15|.667|6|30|21|2|5|16|22
5|5|2010-11-26|N|DePaul|W|88|66|34|56|.607|3|6|.500|17|22|.773|11|34|15|2|5|13|18||27|61|.443|2|13|.154|10|14|.714|9|21|8|2|2|14|23
6|6|2010-11-28|N|Tulsa|L|63|80|22|50|.440|4|14|.286|15|25|.600|7|24|9|4|2|18|24||27|54|.500|8|17|.471|18|24|.750|8|32|14|5|2|17|25
7|7|2010-12-02|@|Air Force|L|63|72|23|68|.338|10|31|.323|7|14|.500|21|47|17|5|4|19|25||21|46|.457|8|22|.364|22|30|.733|3|27|17|10|5|11|17
8|8|2010-12-04|@|Denver|L|63|66|18|35|.514|4|10|.400|23|38|.605|7|28|6|6|4|21|34||15|34|.441|7|17|.412|29|45|.644|2|16|13|7|3|15|27
9|9|2010-12-07||Cal Lutheran|W|75|52|32|70|.457|3|16|.188|8|13|.615|19|47|19|8|6|20|16||20|60|.333|3|16|.188|9|16|.563|8|27|8|11|0|21|14
10|10|2010-12-18|@|Cal State Bakersfield|L|69|70|26|60|.433|4|15|.267|13|22|.591|13|40|9|9|4|22|18||26|64|.406|3|11|.273|15|27|.556|15|39|12|12|6|17|17
