ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-12|@|Virginia Tech|L|60|70|20|49|.408|7|19|.368|13|20|.650|5|21|9|5|3|16|26||22|52|.423|5|19|.263|21|31|.677|14|37|13|3|7|19|20
2|2|2010-11-15|@|East Carolina|L|63|76|23|52|.442|3|12|.250|14|19|.737|11|28|12|10|4|18|27||24|49|.490|11|23|.478|17|27|.630|8|25|16|9|7|17|21
3|3|2010-11-19|N|Middle Tennessee|W|97|90|32|50|.640|8|13|.615|25|36|.694|7|25|23|6|3|13|22||28|61|.459|10|24|.417|24|31|.774|12|27|15|9|4|12|24
4|4|2010-11-20|@|Auburn|W|61|54|21|49|.429|2|11|.182|17|25|.680|7|27|8|9|5|14|14||19|53|.358|8|19|.421|8|10|.800|12|32|13|3|3|24|21
5|5|2010-11-21|N|Samford|L|56|60|19|48|.396|6|13|.462|12|15|.800|10|30|7|8|4|14|17||18|41|.439|14|30|.467|10|16|.625|5|19|16|6|4|13|14
6|6|2010-11-27||Longwood|W|93|77|33|55|.600|3|10|.300|24|36|.667|9|29|23|10|4|6|20||25|50|.500|13|20|.650|14|20|.700|7|25|20|1|2|15|25
7|7|2010-11-29||Johnson C. Smith|W|77|64|32|60|.533|9|24|.375|4|10|.400|11|33|26|8|6|10|12||22|61|.361|11|28|.393|9|9|1.000|11|30|19|6|1|15|13
8|8|2010-12-10||Western Carolina|W|73|50|24|48|.500|6|10|.600|19|26|.731|10|40|15|9|10|16|14||18|55|.327|6|23|.261|8|16|.500|12|29|16|11|1|16|22
9|9|2010-12-16|@|South Carolina Upstate|W|67|60|27|54|.500|2|7|.286|11|21|.524|16|40|13|3|2|12|22||19|53|.358|8|27|.296|14|23|.609|12|26|10|6|5|7|19
10|10|2010-12-22||North Carolina-Wilmington|W|57|56|24|54|.444|4|12|.333|5|13|.385|8|26|13|12|4|13|18||18|42|.429|7|16|.438|13|22|.591|13|34|13|4|4|17|13
11|11|2010-12-30|@|East Tennessee State|L|59|72|22|57|.386|8|16|.500|7|14|.500|14|35|12|3|6|17|22||24|52|.462|6|14|.429|18|27|.667|10|33|12|8|3|10|13
12|12|2011-01-03||Jacksonville|L|65|67|23|51|.451|2|11|.182|17|24|.708|7|21|11|12|5|15|20||27|53|.509|3|9|.333|10|16|.625|11|34|18|6|4|20|18
13|13|2011-01-05||North Florida|L|55|57|22|40|.550|4|5|.800|7|11|.636|8|28|12|2|8|22|18||21|50|.420|6|18|.333|9|15|.600|10|23|18|6|4|15|18
14|14|2011-01-07||Kennesaw State|W|65|52|24|63|.381|3|18|.167|14|22|.636|13|34|16|6|6|9|22||16|45|.356|1|11|.091|19|29|.655|14|39|8|2|5|19|21
15|15|2011-01-10||Mercer|W (1 OT)|80|74|27|61|.443|4|11|.364|22|39|.564|16|44|16|12|10|18|29||21|60|.350|6|24|.250|26|31|.839|6|31|9|4|2|16|28
16|16|2011-01-15|@|Belmont|L|55|90|20|50|.400|4|14|.286|11|22|.500|14|35|9|3|4|23|23||33|62|.532|9|20|.450|15|23|.652|9|31|21|11|4|8|20
17|17|2011-01-17|@|Lipscomb|L|81|92|34|61|.557|4|13|.308|9|18|.500|11|23|18|9|3|13|23||28|43|.651|6|12|.500|30|36|.833|5|25|20|7|1|16|19
18|18|2011-01-20||Florida Gulf Coast|L|66|68|26|54|.481|7|16|.438|7|14|.500|11|30|22|7|9|14|18||24|57|.421|6|13|.462|14|18|.778|13|31|18|7|5|14|15
19|19|2011-01-22||Stetson|W|85|55|28|53|.528|4|12|.333|25|31|.806|11|35|20|8|5|14|22||19|46|.413|4|17|.235|13|23|.565|5|21|7|9|5|15|22
20|20|2011-01-25|@|Longwood|L|62|72|27|54|.500|1|5|.200|7|14|.500|9|38|12|1|1|14|22||20|53|.377|7|18|.389|25|30|.833|6|25|13|9|6|4|15
21|21|2011-01-29|@|North Florida|W|76|66|28|58|.483|2|9|.222|18|26|.692|10|35|11|8|6|13|25||20|49|.408|8|20|.400|18|26|.692|7|27|9|3|6|17|25
22|22|2011-01-31|@|Jacksonville|L|58|71|20|48|.417|2|9|.222|16|19|.842|7|23|6|8|4|17|21||23|48|.479|5|13|.385|20|28|.714|6|27|14|9|6|14|15
23|23|2011-02-05|@|Mercer|L|45|63|13|52|.250|4|15|.267|15|21|.714|4|27|7|8|3|11|25||16|46|.348|5|17|.294|26|33|.788|4|34|8|7|5|11|20
24|24|2011-02-07|@|Kennesaw State|L|64|78|25|61|.410|2|5|.400|12|19|.632|9|28|16|8|3|11|25||23|50|.460|5|14|.357|27|36|.750|11|33|14|8|7|13|14
25|25|2011-02-10||Lipscomb|L|76|81|26|48|.542|8|12|.667|16|22|.727|5|23|22|6|5|12|25||28|51|.549|6|15|.400|19|32|.594|11|29|20|9|1|12|19
26|26|2011-02-12||Belmont|L|57|78|22|58|.379|1|7|.143|12|17|.706|16|37|10|6|8|22|21||26|53|.491|11|23|.478|15|19|.789|6|27|21|11|8|13|18
27|27|2011-02-17|@|Stetson|W|64|61|20|49|.408|1|7|.143|23|36|.639|9|30|9|7|6|12|28||20|49|.408|7|18|.389|14|26|.538|11|34|9|3|8|15|26
28|28|2011-02-19|@|Florida Gulf Coast|L|39|47|14|53|.264|1|6|.167|10|18|.556|12|30|2|5|3|14|26||10|41|.244|2|13|.154|25|35|.714|13|41|6|2|5|20|16
29|29|2011-02-24||East Tennessee State|L|59|66|21|42|.500|4|10|.400|13|21|.619|4|19|14|4|7|10|23||19|49|.388|3|11|.273|25|35|.714|16|33|5|5|1|12|16
30|30|2011-02-26||South Carolina Upstate|L|64|70|25|56|.446|2|9|.222|12|22|.545|8|27|20|8|4|9|25||20|47|.426|8|19|.421|22|31|.710|11|34|15|4|5|12|19
31|31|2011-03-02|N|East Tennessee State|L|53|54|20|52|.385|5|10|.500|8|12|.667|9|34|11|8|4|17|25||17|46|.370|2|7|.286|18|28|.643|9|35|7|9|8|16|17
