ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-12||West Florida|W|115|61|40|60|.667|10|24|.417|25|39|.641|8|42|25|12|7|17|19||24|67|.358|6|18|.333|7|14|.500|12|28|10|10|0|23|29
2|2|2010-11-15||Jackson State|W|80|39|28|47|.596|7|15|.467|17|25|.680|8|40|16|8|10|19|18||12|64|.188|3|13|.231|12|19|.632|14|29|6|7|1|14|23
3|3|2010-11-18||South Florida|W|65|59|18|47|.383|7|18|.389|22|31|.710|8|25|12|6|7|11|21||21|49|.429|4|12|.333|13|21|.619|10|33|11|3|1|18|26
4|4|2010-11-23|@|Stetson|W|85|58|23|44|.523|11|22|.500|28|36|.778|6|29|19|8|6|15|22||22|53|.415|4|16|.250|10|23|.435|10|24|12|6|2|20|24
5|5|2010-11-27||Alabama State|W|84|48|30|53|.566|7|18|.389|17|24|.708|7|38|22|10|3|12|14||20|58|.345|8|18|.444|0|5|.000|6|22|14|6|3|16|20
6|6|2010-12-01|N|Florida|W|57|54|21|55|.382|5|19|.263|10|16|.625|7|30|10|7|3|7|16||21|50|.420|2|13|.154|10|18|.556|10|37|12|6|4|14|13
7|7|2010-12-04||Southeastern Louisiana|W|74|49|31|58|.534|6|13|.462|6|15|.400|14|42|18|11|11|14|15||18|61|.295|2|12|.167|11|17|.647|15|32|10|6|2|16|17
8|8|2010-12-11||Bethune-Cookman|W|76|59|25|44|.568|6|16|.375|20|23|.870|6|28|17|3|11|10|10||24|59|.407|6|12|.500|5|7|.714|10|23|13|5|3|7|17
9|9|2010-12-15||Louisiana-Lafayette|W|79|58|23|53|.434|6|17|.353|27|35|.771|11|37|11|13|8|20|19||21|56|.375|4|15|.267|12|19|.632|9|27|7|9|4|20|26
10|10|2010-12-18|N|Miami (FL)|W|84|78|29|56|.518|5|14|.357|21|43|.488|9|36|8|4|4|11|26||25|57|.439|7|13|.538|21|30|.700|5|28|10|5|4|11|29
