ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-13|@|New Mexico|L|54|63|17|55|.309|4|22|.182|16|25|.640|15|37|11|9|1|22|25||21|55|.382|3|20|.150|18|25|.720|12|36|14|9|4|18|23
2|2|2010-11-16|@|Syracuse|L|55|66|20|56|.357|5|20|.250|10|17|.588|11|36|10|4|5|16|21||24|66|.364|7|30|.233|11|21|.524|15|40|18|7|10|12|19
3|3|2010-11-19||Indiana Tech|W|93|62|31|57|.544|4|14|.286|27|37|.730|12|37|13|16|5|14|18||22|53|.415|4|10|.400|14|21|.667|9|23|9|6|4|23|26
4|4|2010-11-22|@|Mississippi State|L|76|82|32|65|.492|4|14|.286|8|15|.533|12|30|6|7|2|14|19||31|67|.463|10|27|.370|10|16|.625|15|38|14|6|2|13|13
5|5|2010-11-26||Albany (NY)|W (2 OT)|84|82|30|76|.395|4|19|.211|20|36|.556|20|40|18|6|4|6|20||28|65|.431|14|27|.519|12|22|.545|12|40|12|4|6|14|26
6|6|2010-11-27||Bowling Green State|W|71|62|23|47|.489|7|21|.333|18|30|.600|6|33|15|9|3|21|17||24|60|.400|5|17|.294|9|16|.563|8|27|14|13|4|22|26
7|7|2010-11-28||Niagara|W|96|77|31|64|.484|3|6|.500|31|41|.756|15|53|15|10|13|17|17||28|80|.350|9|32|.281|12|19|.632|13|32|6|11|7|16|26
8|8|2010-12-01||Akron|L|69|77|25|56|.446|7|15|.467|12|16|.750|12|35|14|4|4|20|17||30|61|.492|7|17|.412|10|13|.769|6|25|14|13|3|10|20
9|9|2010-12-04||Wright State|W|78|69|23|39|.590|6|9|.667|26|34|.765|9|33|13|8|4|20|20||24|55|.436|9|24|.375|12|14|.857|4|13|12|7|1|14|25
10|10|2010-12-08|@|Western Michigan|L|69|71|27|62|.435|7|17|.412|8|13|.615|13|33|7|8|4|15|20||27|55|.491|8|18|.444|9|18|.500|14|33|15|10|6|16|17
11|11|2010-12-11|@|Eastern Michigan|W (1 OT)|68|65|22|64|.344|1|9|.111|23|42|.548|11|40|10|12|9|12|21||23|75|.307|4|22|.182|15|22|.682|18|53|17|9|5|19|28
12|12|2010-12-18|@|Central Michigan|W|75|49|24|52|.462|5|10|.500|22|31|.710|9|37|13|12|7|14|16||17|63|.270|3|21|.143|12|23|.522|19|39|3|9|10|16|24
13|13|2010-12-22|@|Bradley|L|65|73|21|50|.420|6|19|.316|17|26|.654|9|30|14|7|1|11|24||24|51|.471|5|14|.357|20|26|.769|7|30|14|6|2|9|18
14|14|2010-12-30||Green Bay|W|79|56|27|47|.574|2|8|.250|23|26|.885|5|30|14|7|7|16|10||25|64|.391|2|18|.111|4|6|.667|13|29|10|8|2|16|23
15|15|2011-01-01||Milwaukee|L (1 OT)|81|84|28|53|.528|5|9|.556|20|29|.690|9|33|11|11|8|22|20||28|67|.418|16|37|.432|12|19|.632|11|30|13|9|1|18|22
16|16|2011-01-06|@|Loyola (IL)|W|83|71|31|58|.534|9|14|.643|12|18|.667|9|37|15|7|6|12|19||25|57|.439|6|14|.429|15|23|.652|7|24|14|8|4|10|17
17|17|2011-01-08|@|Illinois-Chicago|W|72|69|26|57|.456|8|19|.421|12|21|.571|12|27|16|3|9|13|20||27|61|.443|1|8|.125|14|19|.737|15|35|13|4|4|13|18
18|18|2011-01-14||Butler|L|64|87|21|52|.404|4|17|.235|18|30|.600|10|25|3|11|3|16|20||29|51|.569|10|17|.588|19|25|.760|9|35|20|10|3|17|20
19|19|2011-01-16||Valparaiso|L|68|78|19|50|.380|1|9|.111|29|35|.829|17|33|5|9|5|18|24||29|56|.518|5|16|.313|15|26|.577|11|26|13|9|2|12|22
20|20|2011-01-20|@|Cleveland State|L|69|81|24|54|.444|4|11|.364|17|29|.586|19|37|10|7|4|19|28||25|50|.500|7|17|.412|24|35|.686|8|25|16|8|2|12|24
21|21|2011-01-22|@|Youngstown State|W|73|69|24|56|.429|4|16|.250|21|30|.700|6|40|11|8|6|16|17||26|67|.388|11|32|.344|6|14|.429|7|30|16|7|3|14|24
22|22|2011-01-28|@|Milwaukee|L|67|72|24|52|.462|7|19|.368|12|18|.667|9|25|13|12|10|21|26||22|55|.400|7|22|.318|21|24|.875|12|29|18|7|3|19|17
23|23|2011-01-30|@|Green Bay|L|74|85|27|52|.519|7|14|.500|13|15|.867|6|31|13|3|7|12|20||30|59|.508|11|20|.550|14|21|.667|6|25|20|5|2|5|17
24|24|2011-02-03||Illinois-Chicago|W|77|63|31|59|.525|3|13|.231|12|17|.706|9|29|18|7|6|14|15||25|58|.431|3|14|.214|10|12|.833|10|28|5|5|1|20|16
25|25|2011-02-05||Loyola (IL)|W|81|71|27|53|.509|6|15|.400|21|28|.750|11|37|16|7|5|20|19||25|64|.391|7|24|.292|14|20|.700|10|30|10|11|4|15|25
26|26|2011-02-07||Cleveland State|W|81|78|29|57|.509|4|12|.333|19|30|.633|9|25|15|7|4|11|15||29|56|.518|8|21|.381|12|14|.857|4|21|10|6|2|12|23
27|27|2011-02-10|@|Valparaiso|L|74|82|26|58|.448|6|14|.429|16|23|.696|8|28|13|6|4|13|18||31|61|.508|8|26|.308|12|18|.667|9|31|21|11|3|13|18
28|28|2011-02-12|@|Butler|L|51|66|15|40|.375|4|16|.250|17|23|.739|4|24|7|7|4|14|22||21|56|.375|10|27|.370|14|18|.778|14|36|11|8|1|11|17
29|29|2011-02-16||Youngstown State|W|91|79|29|61|.475|6|14|.429|27|37|.730|11|43|15|4|4|12|22||28|76|.368|7|35|.200|16|28|.571|21|42|14|4|8|9|24
30|30|2011-02-19|@|Drake|L|76|84|29|58|.500|6|14|.429|12|17|.706|10|31|13|6|2|15|20||28|50|.560|8|18|.444|20|24|.833|4|23|21|7|4|12|16
31|31|2011-02-25|@|Wright State|W|77|67|27|48|.563|8|13|.615|15|23|.652|10|38|11|2|4|15|14||26|58|.448|7|25|.280|8|13|.615|6|19|12|8|0|5|19
32|32|2011-03-01||Loyola (IL)|W|90|69|30|58|.517|5|14|.357|25|29|.862|10|34|14|8|3|14|19||24|73|.329|5|28|.179|16|19|.842|21|39|9|5|7|17|21
33|33|2011-03-04|N|Valparaiso|L|78|88|29|66|.439|6|21|.286|14|22|.636|13|38|13|7|2|12|17||30|62|.484|15|27|.556|13|17|.765|9|33|15|6|3|13|17
