ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-13||Texas Southern|W|60|46|20|58|.345|9|25|.360|11|16|.688|10|29|16|14|1|9|16||16|41|.390|1|12|.083|13|18|.722|7|37|7|3|4|22|16
2|2|2010-11-17|@|Iowa State|L|43|91|13|58|.224|4|22|.182|13|20|.650|13|31|7|7|3|20|21||35|65|.538|9|25|.360|12|19|.632|11|46|21|9|5|12|21
3|3|2010-11-24|N|Southern Utah|W|78|59|26|58|.448|8|15|.533|18|25|.720|10|28|15|12|5|9|19||19|50|.380|3|9|.333|18|29|.621|12|37|14|6|4|18|22
4|4|2010-11-26|N|St. John's (NY)|L|39|82|13|49|.265|5|23|.217|8|15|.533|9|21|7|4|1|18|23||30|52|.577|4|12|.333|18|26|.692|11|38|18|9|4|12|15
5|5|2010-11-27|N|Weber State|L|81|82|31|54|.574|11|20|.550|8|13|.615|9|26|18|4|3|13|19||26|49|.531|10|18|.556|20|26|.769|6|21|16|7|2|11|16
6|6|2010-12-01|@|Colorado State|L|67|78|25|57|.439|5|14|.357|12|20|.600|7|24|8|5|3|11|16||28|56|.500|9|20|.450|13|18|.722|10|36|18|5|2|14|23
7|7|2010-12-08|@|Eastern Michigan|W|58|54|21|46|.457|3|11|.273|13|17|.765|2|25|8|8|1|8|21||17|48|.354|3|17|.176|17|24|.708|6|29|11|3|3|12|14
8|8|2010-12-12||Boise State|W|72|69|26|49|.531|5|16|.313|15|20|.750|3|26|13|6|0|15|19||24|63|.381|2|21|.095|19|25|.760|14|37|8|10|0|13|19
9|9|2010-12-18||Iowa|L|52|59|20|51|.392|7|29|.241|5|8|.625|6|26|12|4|3|16|21||19|45|.422|4|16|.250|17|25|.680|8|34|8|9|1|18|15
10|10|2010-12-21||Dartmouth|L|59|67|23|52|.442|7|24|.292|6|15|.400|12|29|14|5|5|16|19||23|54|.426|7|17|.412|14|18|.778|10|32|8|9|1|12|17
11|11|2010-12-23||Chicago State|W|102|51|30|61|.492|15|28|.536|27|31|.871|9|43|25|8|4|7|21||19|55|.345|4|16|.250|9|25|.360|13|30|10|6|2|14|24
12|12|2010-12-29||Southern Illinois|W|69|55|19|46|.413|9|18|.500|22|27|.815|5|32|7|6|4|19|20||19|59|.322|5|20|.250|12|19|.632|16|37|9|11|5|20|22
13|13|2011-01-01|@|Creighton|L|57|73|21|59|.356|6|19|.316|9|16|.563|6|20|10|4|2|4|21||22|48|.458|7|19|.368|22|23|.957|10|44|15|3|4|13|15
14|14|2011-01-04|@|Wichita State|L|63|82|26|55|.473|4|15|.267|7|14|.500|6|31|10|4|2|14|23||26|63|.413|10|23|.435|20|24|.833|13|42|18|6|2|10|17
15|15|2011-01-07||Bradley|W|64|58|21|50|.420|4|15|.267|18|25|.720|5|26|12|3|5|9|14||24|55|.436|5|16|.313|5|8|.625|8|34|10|5|4|14|25
16|16|2011-01-09||Indiana State|L|57|62|20|47|.426|4|14|.286|13|19|.684|4|22|8|5|1|13|18||19|49|.388|7|23|.304|17|20|.850|10|33|9|6|2|18|20
17|17|2011-01-12|@|Evansville|L|51|67|16|47|.340|4|19|.211|15|29|.517|8|31|9|6|6|12|19||26|57|.456|3|11|.273|12|13|.923|9|38|16|7|0|11|22
18|18|2011-01-15||Wichita State|L|54|68|20|50|.400|4|12|.333|10|20|.500|5|18|6|2|4|9|15||27|52|.519|7|20|.350|7|13|.538|10|41|15|5|1|16|19
19|19|2011-01-18||Illinois State|W|76|68|23|45|.511|11|18|.611|19|28|.679|3|25|11|5|5|16|19||26|60|.433|2|15|.133|14|16|.875|7|28|12|11|1|14|24
20|20|2011-01-22|@|Northern Iowa|L|49|69|19|37|.514|5|15|.333|6|12|.500|4|21|12|2|2|19|12||26|51|.510|12|24|.500|5|9|.556|7|24|14|7|0|10|18
