ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-13||Oakland City|W|82|42|34|51|.667|3|7|.429|11|19|.579|6|34|24|6|4|11|23||13|45|.289|3|12|.250|13|22|.591|7|19|7|2|2|15|21
2|2|2010-11-17||Texas-San Antonio|W|77|73|24|51|.471|5|15|.333|24|33|.727|11|32|15|6|1|16|20||28|62|.452|7|19|.368|10|15|.667|14|33|9|8|1|17|28
3|3|2010-11-21|@|Indiana|L|54|67|17|45|.378|5|12|.417|15|23|.652|9|26|10|7|4|18|24||24|45|.533|4|10|.400|15|28|.536|9|28|10|10|7|15|20
4|4|2010-11-24|@|Middle Tennessee|L|70|82|25|57|.439|7|22|.318|13|19|.684|9|24|13|6|2|15|24||28|54|.519|3|13|.231|23|30|.767|13|39|11|7|3|15|19
5|5|2010-11-27|@|Butler|W (1 OT)|71|68|24|54|.444|5|15|.333|18|28|.643|7|30|14|5|1|13|28||20|60|.333|5|14|.357|23|31|.742|16|41|8|1|2|17|22
6|6|2010-12-05|@|Air Force|L|56|57|21|55|.382|10|18|.556|4|6|.667|9|32|17|3|0|13|17||21|44|.477|8|20|.400|7|11|.636|2|21|17|8|9|9|12
7|7|2010-12-08||North Carolina|L|49|76|19|60|.317|3|20|.150|8|9|.889|11|34|11|6|2|22|24||23|54|.426|4|18|.222|26|36|.722|9|38|13|8|9|12|14
8|8|2010-12-11||Maryland-Eastern Shore|W|90|56|29|49|.592|6|12|.500|26|35|.743|9|33|20|9|2|12|15||22|60|.367|4|16|.250|8|13|.615|11|24|11|7|1|17|24
9|9|2010-12-18||Middle Tennessee|W|81|79|19|35|.543|8|10|.800|35|43|.814|3|23|12|5|1|12|22||29|50|.580|9|18|.500|12|21|.571|7|21|15|5|1|14|33
10|10|2010-12-23||Norfolk State|W|87|69|21|40|.525|2|7|.286|43|54|.796|7|23|12|6|2|12|21||24|44|.545|5|15|.333|16|23|.696|9|23|12|8|3|26|38
11|11|2010-12-29|@|Wichita State|L|57|91|18|52|.346|5|16|.313|16|21|.762|4|20|12|2|2|13|19||33|53|.623|11|23|.478|14|20|.700|5|35|24|7|5|10|21
12|12|2011-01-01||Indiana State|W|64|59|20|54|.370|3|12|.250|21|30|.700|10|35|13|10|3|16|23||19|47|.404|7|20|.350|14|24|.583|7|32|12|7|5|22|27
13|13|2011-01-04|@|Northern Iowa|L|53|65|21|45|.467|3|14|.214|8|11|.727|3|16|10|4|2|13|18||21|42|.500|8|25|.320|15|20|.750|9|29|15|8|3|14|14
14|14|2011-01-07|@|Missouri State|L|50|65|22|49|.449|0|5|.000|6|10|.600|7|24|14|8|3|15|15||24|48|.500|8|19|.421|9|15|.600|7|26|18|6|7|12|17
15|15|2011-01-09||Creighton|L|69|74|28|59|.475|4|11|.364|9|12|.750|7|27|20|7|2|6|20||25|49|.510|10|22|.455|14|19|.737|7|31|18|2|2|14|14
16|16|2011-01-12||Drake|W|67|51|26|57|.456|3|11|.273|12|13|.923|9|38|16|7|0|11|22||16|47|.340|4|19|.211|15|29|.517|8|31|9|6|6|12|19
17|17|2011-01-15|@|Illinois State|W|59|54|21|52|.404|4|15|.267|13|18|.722|7|26|12|7|2|12|21||17|42|.405|7|17|.412|13|20|.650|9|33|9|3|3|21|20
18|18|2011-01-18|@|Southern Illinois|L|55|67|19|49|.388|3|15|.200|14|20|.700|6|26|12|4|2|11|21||22|47|.468|6|14|.429|17|22|.773|5|33|16|7|4|12|20
19|19|2011-01-23||Bradley|W|70|67|25|52|.481|6|15|.400|14|23|.609|4|26|20|2|2|8|17||28|56|.500|5|15|.333|6|13|.462|9|34|15|6|7|14|24
20|20|2011-01-26|@|Indiana State|W|66|63|23|52|.442|6|10|.600|14|20|.700|13|38|14|3|0|11|22||19|53|.358|5|22|.227|20|27|.741|10|33|12|4|5|7|21
21|21|2011-01-29||Southern Illinois|W|66|49|18|49|.367|5|15|.333|25|38|.658|9|37|11|6|2|13|25||12|46|.261|5|16|.313|20|29|.690|6|33|7|4|4|17|31
22|22|2011-02-02||Missouri State|W|77|65|27|49|.551|3|9|.333|20|29|.690|5|22|16|8|2|6|18||20|48|.417|9|28|.321|16|18|.889|8|27|14|4|2|15|23
23|23|2011-02-05|@|Creighton|L|69|75|28|49|.571|6|14|.429|7|13|.538|3|19|19|3|2|12|25||27|55|.491|6|19|.316|15|25|.600|13|33|21|8|3|12|14
24|24|2011-02-08||Northern Iowa|W|70|62|22|43|.512|5|10|.500|21|33|.636|5|35|12|1|4|14|19||22|57|.386|6|24|.250|12|15|.800|4|28|8|9|1|9|28
25|25|2011-02-12|@|Bradley|L|54|68|19|48|.396|2|13|.154|14|25|.560|6|26|10|8|1|11|18||25|56|.446|7|16|.438|11|16|.688|12|39|12|4|5|18|20
26|26|2011-02-15||Wichita State|L|74|80|23|52|.442|5|13|.385|23|31|.742|4|20|16|9|2|6|27||23|53|.434|6|21|.286|28|35|.800|16|45|13|4|3|18|23
27|27|2011-02-19|@|Murray State|L|47|72|17|48|.354|2|9|.222|11|18|.611|5|23|11|6|2|13|17||27|54|.500|8|16|.500|10|14|.714|8|35|16|6|3|14|22
