ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-13|N|Sacred Heart|W|62|45|21|46|.457|1|11|.091|19|29|.655|7|36|9|7|3|15|18||17|54|.315|6|21|.286|5|9|.556|8|26|9|8|1|15|28
2|2|2010-11-15|@|Rutgers|L|53|68|16|55|.291|6|23|.261|15|21|.714|13|35|8|6|3|11|16||27|56|.482|8|18|.444|6|13|.462|9|33|14|7|10|10|19
3|3|2010-11-19|@|Penn State|L|49|64|19|60|.317|3|15|.200|8|14|.571|17|36|10|7|6|16|14||25|61|.410|9|22|.409|5|8|.625|12|38|14|5|5|12|12
4|4|2010-11-23||Saint Joseph's|L|51|60|20|56|.357|5|23|.217|6|11|.545|11|29|15|7|3|11|22||21|42|.500|2|12|.167|16|21|.762|5|32|7|7|11|14|12
5|5|2010-11-26|N|Norfolk State|W|91|56|36|57|.632|8|13|.615|11|21|.524|9|36|24|12|5|12|21||20|56|.357|1|13|.077|15|23|.652|8|26|7|8|7|16|19
6|6|2010-12-02|@|Savannah State|W|41|39|13|47|.277|2|11|.182|13|25|.520|7|24|9|10|2|20|20||15|39|.385|3|15|.200|6|18|.333|6|29|11|5|9|22|23
7|7|2010-12-05||Loyola (MD)|W|65|55|22|46|.478|3|8|.375|18|27|.667|9|36|16|6|5|15|17||18|55|.327|7|25|.280|12|17|.706|12|32|10|8|7|17|25
8|8|2010-12-07||Howard|W|72|52|27|52|.519|5|15|.333|13|19|.684|10|28|20|8|5|14|12||20|50|.400|2|13|.154|10|15|.667|7|16|2|11|4|14|13
9|9|2010-12-10|@|Siena|W|72|55|29|58|.500|5|14|.357|9|15|.600|9|32|16|8|3|14|16||22|49|.449|5|16|.313|6|11|.545|5|19|12|3|4|17|11
10|10|2010-12-12|@|Holy Cross|W|71|60|25|55|.455|4|11|.364|17|26|.654|9|33|17|7|1|9|13||22|61|.361|7|20|.350|9|15|.600|16|40|14|4|4|17|23
11|11|2010-12-20||Vermont|W|67|59|24|55|.436|3|9|.333|16|19|.842|12|30|12|5|6|11|16||25|54|.463|6|11|.545|3|9|.333|9|25|12|3|0|15|18
12|12|2010-12-31||Army|W|68|61|21|51|.412|1|9|.111|25|37|.676|11|32|11|6|4|12|19||20|51|.392|10|26|.385|11|15|.733|11|35|10|7|0|19|29
13|13|2011-01-03||Niagara|W|70|48|28|48|.583|2|7|.286|12|19|.632|6|34|20|7|2|21|23||15|54|.278|2|15|.133|16|27|.593|12|27|7|12|4|14|13
