ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-12||Florida Memorial|W|89|73|34|63|.540|8|18|.444|13|22|.591|9|36|16|10|5|9|17||25|59|.424|10|31|.323|13|24|.542|11|34|13|8|4|18|19
2|2|2010-11-15||Barry|W|69|54|24|56|.429|4|21|.190|17|23|.739|18|40|11|10|6|18|13||19|50|.380|9|29|.310|7|11|.636|8|24|9|9|2|21|15
3|3|2010-11-18||Florida State|L|66|89|22|68|.324|6|22|.273|16|24|.667|13|32|8|12|6|12|22||32|65|.492|10|24|.417|15|21|.714|13|46|18|5|10|17|23
4|4|2010-11-20||Utah Valley|W|65|62|23|46|.500|6|20|.300|13|24|.542|8|27|10|7|4|20|29||18|47|.383|3|13|.231|23|32|.719|11|30|8|10|0|18|24
5|5|2010-11-27||Chattanooga|W|80|59|25|51|.490|8|21|.381|22|30|.733|4|28|16|13|3|15|18||18|54|.333|8|26|.308|15|26|.577|12|33|13|7|2|19|22
6|6|2010-11-29|@|Marshall|L|79|88|30|56|.536|4|15|.267|15|22|.682|9|27|10|8|3|16|30||26|57|.456|6|15|.400|30|43|.698|16|31|12|8|3|13|21
7|7|2010-12-01|@|Louisville|L|55|92|15|53|.283|2|13|.154|23|33|.697|15|34|6|11|2|21|20||32|64|.500|10|26|.385|18|28|.643|16|43|20|12|10|17|23
8|8|2010-12-04|@|Jackson State|L|52|61|17|39|.436|5|9|.556|13|22|.591|7|31|4|5|2|21|21||22|54|.407|7|21|.333|10|18|.556|11|28|15|5|2|12|18
9|9|2010-12-12|@|Bowling Green State|L|67|76|22|51|.431|5|20|.250|18|22|.818|8|29|10|7|2|16|18||27|53|.509|5|15|.333|17|28|.607|9|31|17|9|2|14|22
10|10|2010-12-18||Sam Houston State|L|71|74|27|64|.422|4|14|.286|13|21|.619|10|30|8|13|4|14|20||26|57|.456|11|27|.407|11|16|.688|11|40|14|5|2|22|20
11|11|2010-12-22||Florida A&M|W|87|82|24|64|.375|6|17|.353|33|43|.767|13|40|12|12|6|16|20||25|66|.379|12|29|.414|20|32|.625|14|43|14|9|7|22|32
12|12|2010-12-28|@|Utah Valley|L|92|95|31|63|.492|13|30|.433|17|23|.739|7|26|15|7|2|7|22||31|58|.534|10|22|.455|23|28|.821|9|35|19|5|7|9|17
13|13|2011-01-02|@|Louisiana-Monroe|W|73|72|25|53|.472|6|17|.353|17|28|.607|9|25|12|9|1|11|22||23|51|.451|5|18|.278|21|26|.808|11|31|8|5|2|15|21
