ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-12|@|Charlotte|W|78|70|26|54|.481|7|18|.389|19|30|.633|10|43|10|7|6|17|23||22|66|.333|8|34|.235|18|24|.750|10|33|10|9|3|15|24
2|2|2010-11-13||Mary Washington|W|76|61|28|65|.431|3|16|.188|17|28|.607|21|51|14|12|5|20|16||19|62|.306|10|26|.385|13|17|.765|12|31|12|12|1|22|21
3|3|2010-11-16|@|Florida State|L|53|78|19|54|.352|7|24|.292|8|17|.471|8|25|9|4|3|18|26||26|53|.491|7|15|.467|19|27|.704|11|38|15|10|6|16|19
4|4|2010-11-18||Virginia Intermont|W|78|42|29|71|.408|11|34|.324|9|12|.750|17|48|18|5|6|9|14||12|50|.240|7|22|.318|11|19|.579|7|30|5|4|2|16|16
5|5|2010-11-21|@|Michigan|L|58|80|22|56|.393|8|24|.333|6|10|.600|6|21|12|8|3|13|14||33|63|.524|8|22|.364|6|8|.750|13|40|19|5|1|14|12
6|6|2010-11-26|@|William & Mary|L|55|56|19|53|.358|7|25|.280|10|11|.909|9|24|11|10|0|12|24||18|33|.545|5|13|.385|15|24|.625|2|23|8|8|3|18|11
7|7|2010-11-27|N|Western Carolina|W|71|65|21|51|.412|5|10|.500|24|31|.774|10|31|9|5|1|16|19||20|51|.392|9|17|.529|16|23|.696|11|27|11|6|6|15|26
8|8|2010-11-28|N|Mercer|W|78|65|22|47|.468|7|18|.389|27|37|.730|6|31|13|8|3|17|19||23|55|.418|6|15|.400|13|19|.684|8|23|12|4|3|13|28
9|9|2010-12-02|@|High Point|L|64|66|21|53|.396|0|15|.000|22|34|.647|13|39|3|7|1|19|23||22|49|.449|3|10|.300|19|29|.655|6|28|9|11|6|14|27
10|10|2010-12-04|@|Radford|W|59|52|21|51|.412|5|16|.313|12|20|.600|10|29|15|5|2|11|19||21|49|.429|2|12|.167|8|18|.444|12|35|13|3|2|17|19
11|11|2010-12-07|@|Elon|L|82|90|35|57|.614|7|14|.500|5|11|.455|7|24|10|6|2|12|18||30|55|.545|12|21|.571|18|21|.857|6|23|16|6|1|11|14
12|12|2010-12-09|@|Oklahoma|L|58|71|19|46|.413|9|18|.500|11|15|.733|5|24|6|5|3|14|17||24|49|.490|9|19|.474|14|17|.824|5|27|17|7|3|10|17
13|13|2010-12-11|@|Arizona State|L|48|71|17|56|.304|7|23|.304|7|9|.778|5|28|12|10|3|17|18||25|56|.446|11|24|.458|10|16|.625|9|37|17|7|4|15|11
14|14|2010-12-18|@|Louisville|L|49|78|18|57|.316|7|17|.412|6|12|.500|5|23|7|7|2|13|12||30|59|.508|11|28|.393|7|8|.875|9|44|22|7|14|18|15
15|15|2010-12-31||Liberty|L (1 OT)|62|64|20|53|.377|5|19|.263|17|29|.586|8|32|7|11|2|20|27||20|47|.426|1|13|.077|23|31|.742|7|32|8|9|3|24|23
16|16|2011-01-02||Virginia Military Institute|L|76|97|26|61|.426|7|26|.269|17|25|.680|10|27|13|6|1|10|17||37|63|.587|10|25|.400|13|19|.684|8|29|18|6|4|12|20
17|17|2011-01-06|@|Presbyterian|L|44|78|17|50|.340|6|14|.429|4|8|.500|7|23|7|3|2|12|23||23|47|.489|9|16|.563|23|27|.852|10|37|13|7|2|8|11
18|18|2011-01-08|@|Winthrop|L|48|63|16|45|.356|3|18|.167|13|22|.591|10|31|9|6|1|22|13||23|54|.426|2|5|.400|15|19|.789|8|27|10|13|5|17|21
19|19|2011-01-15|@|North Carolina-Asheville|L|59|68|22|65|.338|8|26|.308|7|11|.636|13|32|15|10|2|19|22||24|43|.558|3|12|.250|17|25|.680|5|29|17|13|8|17|11
20|20|2011-01-20||Charleston Southern|W|58|50|20|51|.392|6|16|.375|12|17|.706|14|39|13|7|2|13|10||20|56|.357|7|18|.389|3|8|.375|10|28|11|5|6|12|21
21|21|2011-01-22||Coastal Carolina|L|55|58|19|44|.432|6|20|.300|11|16|.688|11|28|7|10|2|16|16||21|48|.438|5|14|.357|11|13|.846|9|21|13|5|2|16|18
22|22|2011-01-27|@|Virginia Military Institute|L|66|85|27|62|.435|6|24|.250|6|8|.750|11|29|12|6|0|14|15||29|56|.518|14|33|.424|13|16|.813|9|31|15|8|4|11|14
23|23|2011-01-29|@|Liberty|L|51|67|19|56|.339|3|21|.143|10|25|.400|10|32|7|4|2|11|24||21|62|.339|5|20|.250|20|27|.741|18|46|12|6|3|10|22
24|24|2011-02-03||Winthrop|L|57|60|23|50|.460|5|15|.333|6|7|.857|8|32|11|3|4|18|18||23|53|.434|4|15|.267|10|17|.588|6|23|13|9|2|11|15
25|25|2011-02-05||Presbyterian|W|63|62|25|53|.472|4|17|.235|9|15|.600|14|32|7|7|1|8|19||20|37|.541|6|10|.600|16|20|.800|1|18|7|3|0|10|14
26|26|2011-02-12||North Carolina-Asheville|L|54|57|18|50|.360|7|19|.368|11|16|.688|10|36|8|7|3|14|21||21|53|.396|3|11|.273|12|18|.667|5|28|13|8|5|10|18
27|27|2011-02-15|@|Coastal Carolina|W|59|57|23|57|.404|7|15|.467|6|9|.667|9|33|9|6|2|12|22||16|42|.381|1|9|.111|24|30|.800|5|30|8|6|4|14|16
28|28|2011-02-19|@|Tennessee Tech|L|58|60|20|54|.370|7|26|.269|11|15|.733|7|27|8|7|1|17|22||17|43|.395|4|14|.286|22|32|.688|3|29|12|6|1|17|16
29|29|2011-02-22|@|Charleston Southern|L|61|72|23|54|.426|7|18|.389|8|13|.615|6|26|8|6|2|10|23||21|45|.467|7|12|.583|23|29|.793|5|28|11|6|5|8|12
30|30|2011-02-24||Radford|W|71|63|27|55|.491|7|20|.350|10|16|.625|9|33|16|8|4|15|15||27|55|.491|4|13|.308|5|11|.455|5|25|13|9|2|16|19
31|31|2011-02-26||High Point|W|64|40|26|54|.481|9|15|.600|3|4|.750|5|33|14|11|5|12|13||13|48|.271|6|15|.400|8|11|.727|7|28|8|4|0|19|10
32|32|2011-03-01|@|Coastal Carolina|L|72|83|28|57|.491|10|25|.400|6|12|.500|7|28|14|7|1|8|18||28|51|.549|9|18|.500|18|22|.818|4|28|19|5|4|9|12
