ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-12||Mississippi Valley State|W|72|70|25|51|.490|3|8|.375|19|29|.655|8|28|16|4|9|15|18||22|58|.379|10|17|.588|16|18|.889|12|37|5|5|0|18|25
2|2|2010-11-16||Colorado|W|83|74|25|53|.472|6|15|.400|27|43|.628|15|36|14|7|3|18|26||22|53|.415|3|14|.214|27|36|.750|11|32|8|8|2|14|30
3|3|2010-11-20|@|Saint Louis|W|61|59|23|44|.523|3|6|.500|12|18|.667|7|26|12|10|5|17|16||20|44|.455|9|17|.529|10|16|.625|6|21|13|9|5|17|18
4|4|2010-11-25|N|Notre Dame|L (2 OT)|83|89|32|73|.438|9|34|.265|10|20|.500|11|34|19|9|4|12|27||26|57|.456|7|17|.412|30|43|.698|11|38|10|2|1|16|16
5|5|2010-11-26|N|Temple|L|58|65|21|54|.389|2|9|.222|14|20|.700|9|29|9|7|2|13|19||25|51|.490|5|14|.357|10|20|.500|7|30|13|8|3|13|17
6|6|2010-11-28|N|Manhattan|W|61|58|27|69|.391|1|12|.083|6|11|.545|19|46|15|6|10|17|12||21|58|.362|4|11|.364|12|15|.800|9|32|10|10|5|15|13
7|7|2010-12-03||Alabama-Birmingham|W|66|64|28|56|.500|3|10|.300|7|9|.778|13|32|15|4|5|12|9||25|57|.439|7|17|.412|7|11|.636|12|23|6|7|4|11|11
8|8|2010-12-07|@|Georgia Tech|W|73|72|27|61|.443|12|22|.545|7|15|.467|9|28|23|8|3|7|16||27|61|.443|8|20|.400|10|12|.833|11|37|13|5|7|14|15
9|9|2010-12-18||Arkansas State|W|68|59|27|52|.519|3|12|.250|11|17|.647|9|30|20|7|7|12|14||21|54|.389|7|21|.333|10|19|.526|9|21|8|4|3|13|15
10|10|2010-12-21||High Point|W|85|38|31|58|.534|7|18|.389|16|29|.552|12|36|16|9|11|6|15||12|58|.207|5|17|.294|9|14|.643|15|35|4|3|0|18|23
11|11|2010-12-23|@|Mercer|W|56|53|19|45|.422|2|8|.250|16|26|.615|14|32|10|11|6|18|20||19|52|.365|4|21|.190|11|13|.846|12|29|12|7|3|17|19
12|12|2010-12-28||Charleston Southern|W|70|55|29|59|.492|1|10|.100|11|16|.688|9|40|16|9|9|19|13||19|64|.297|5|24|.208|12|15|.800|7|27|6|12|3|16|13
13|13|2010-12-31||Eastern Kentucky|W|64|57|25|50|.500|2|11|.182|12|17|.706|11|31|14|4|4|9|8||22|55|.400|7|25|.280|6|6|1.000|7|23|8|1|1|8|15
14|14|2011-01-08||Kentucky|W|77|70|22|49|.449|3|9|.333|30|34|.882|5|37|12|3|4|12|14||27|71|.380|6|20|.300|10|16|.625|11|34|9|5|3|8|24
15|15|2011-01-12|@|Vanderbilt|L|66|73|25|72|.347|5|21|.238|11|15|.733|17|40|14|11|4|13|23||21|50|.420|6|17|.353|25|35|.714|8|34|8|8|3|15|16
16|16|2011-01-15|@|Mississippi|W|98|76|33|52|.635|6|12|.500|26|27|.963|5|25|26|5|7|7|19||26|54|.481|5|17|.294|19|28|.679|7|16|9|3|4|8|22
17|17|2011-01-18||Tennessee|L|57|59|20|47|.426|6|13|.462|11|13|.846|6|25|11|4|6|11|13||24|56|.429|6|19|.316|5|7|.714|12|31|10|5|7|9|18
18|18|2011-01-22||Mississippi State|W|86|64|32|65|.492|11|19|.579|11|21|.524|15|43|19|8|2|13|19||22|53|.415|7|24|.292|13|19|.684|2|21|7|8|1|11|15
19|19|2011-01-25||Florida|L (2 OT)|91|104|34|75|.453|7|17|.412|16|24|.667|16|44|14|8|5|20|24||35|76|.461|8|20|.400|26|36|.722|14|41|10|12|3|13|19
20|20|2011-01-29|@|Kentucky|L|60|66|21|57|.368|4|18|.222|14|21|.667|10|38|13|5|1|13|20||22|51|.431|6|17|.353|16|25|.640|4|31|8|6|5|9|14
21|21|2011-02-02|@|Arkansas|W|60|59|25|63|.397|4|8|.500|6|9|.667|11|38|13|3|7|12|18||22|51|.431|4|12|.333|11|20|.550|3|24|8|6|12|8|15
22|22|2011-02-05||Auburn|W (1 OT)|81|72|25|51|.490|6|17|.353|25|37|.676|9|40|22|4|8|17|15||29|69|.420|9|18|.500|5|14|.357|8|28|9|12|1|9|23
23|23|2011-02-08||Xavier|L|57|65|21|54|.389|2|13|.154|13|15|.867|6|34|16|6|7|11|19||20|54|.370|5|14|.357|20|27|.741|8|29|10|6|1|7|11
24|24|2011-02-12|@|South Carolina|W|60|56|23|50|.460|5|12|.417|9|15|.600|10|35|16|5|6|17|18||18|59|.305|4|23|.174|16|21|.762|13|28|9|8|6|9|16
25|25|2011-02-16||Vanderbilt|L|56|64|19|53|.358|9|19|.474|9|10|.900|8|30|15|6|5|9|13||21|65|.323|12|25|.480|10|14|.714|22|47|12|5|7|10|8
