ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-12|@|Baylor|L|52|87|18|62|.290|6|27|.222|10|23|.435|9|30|8|7|2|25|34||31|59|.525|4|12|.333|21|38|.553|12|50|15|7|5|23|17
2|2|2010-11-14|@|Rice|L|57|86|18|49|.367|9|24|.375|12|30|.400|7|22|13|9|2|19|21||30|57|.526|6|16|.375|20|21|.952|11|42|15|6|3|18|25
3|3|2010-11-18|@|Arkansas|L|52|75|15|43|.349|3|14|.214|19|25|.760|3|21|11|11|4|20|16||27|57|.474|9|24|.375|12|18|.667|11|33|18|11|8|16|23
4|4|2010-11-20||Florida Gulf Coast|L|70|74|22|56|.393|11|31|.355|15|25|.600|10|35|10|13|2|20|33||23|54|.426|2|11|.182|26|46|.565|14|38|10|6|1|20|19
5|5|2010-11-22|@|Southeast Missouri State|W (1 OT)|77|76|26|59|.441|6|16|.375|19|30|.633|9|30|15|6|3|12|24||26|61|.426|6|20|.300|18|27|.667|14|40|15|4|6|12|25
6|6|2010-11-24|@|Vanderbilt|L|59|92|23|71|.324|9|29|.310|4|12|.333|8|21|13|7|2|10|23||27|66|.409|10|29|.345|28|37|.757|22|60|17|4|5|17|12
7|7|2010-12-02|@|North Texas|L|78|89|30|64|.469|8|16|.500|10|20|.500|10|34|12|8|1|15|24||31|56|.554|7|15|.467|20|28|.714|4|29|16|6|4|14|19
8|8|2010-12-04|@|Southern Methodist|L|51|71|19|49|.388|5|18|.278|8|11|.727|6|21|10|8|2|19|16||27|44|.614|10|18|.556|7|11|.636|3|26|21|9|1|19|14
9|9|2010-12-10|@|Stephen F. Austin|L|41|62|18|55|.327|2|11|.182|3|9|.333|11|31|5|4|5|22|18||23|57|.404|1|8|.125|15|22|.682|13|42|17|13|3|14|11
10|10|2010-12-11|N|Central Arkansas|W|70|60|21|50|.420|3|11|.273|25|30|.833|12|42|11|8|8|20|16||22|64|.344|5|16|.313|11|19|.579|11|23|12|10|2|14|20
11|11|2010-12-21|@|Nebraska|L|39|79|16|64|.250|2|24|.083|5|6|.833|8|33|11|6|3|17|14||33|62|.532|2|13|.154|11|16|.688|8|45|12|8|4|14|12
12|12|2010-12-31|@|Auburn|L|45|63|17|52|.327|5|17|.294|6|15|.400|12|34|6|11|6|23|21||21|58|.362|3|14|.214|18|25|.720|18|43|8|13|8|18|18
13|13|2011-01-04|@|Alabama A&M|L|63|70|23|66|.348|5|20|.250|12|18|.667|12|30|8|10|1|19|27||22|44|.500|0|9|.000|26|38|.684|6|36|12|8|11|21|15
14|14|2011-01-06|@|Alabama State|L|47|50|14|47|.298|1|5|.200|18|24|.750|5|27|6|6|1|20|27||13|43|.302|3|11|.273|21|39|.538|11|30|6|8|8|14|23
15|15|2011-01-08||Southern|W|61|57|26|58|.448|6|18|.333|3|7|.429|9|28|19|7|0|5|20||17|38|.447|3|11|.273|20|29|.690|5|28|7|2|1|15|13
16|16|2011-01-10||Alcorn State|L|73|75|29|62|.468|4|14|.286|11|21|.524|13|46|16|3|3|15|24||24|64|.375|8|21|.381|19|30|.633|8|31|5|8|0|17|21
17|17|2011-01-15|N|Prairie View|L|54|71|18|62|.290|5|18|.278|13|22|.591|12|32|4|5|2|19|24||25|49|.510|9|19|.474|12|27|.444|9|43|15|12|4|20|20
18|18|2011-01-17|@|Texas Southern|L|41|66|17|50|.340|2|13|.154|5|12|.417|6|30|9|4|0|21|18||25|57|.439|6|29|.207|10|23|.435|11|37|17|11|5|14|11
19|19|2011-01-22||Jackson State|L|57|69|17|46|.370|3|17|.176|20|36|.556|9|28|7|8|4|14|24||25|43|.581|4|8|.500|15|28|.536|2|25|12|10|2|13|23
20|20|2011-01-29||Arkansas-Pine Bluff|L|63|73|22|53|.415|3|11|.273|16|31|.516|12|39|9|6|1|14|18||28|54|.519|5|9|.556|12|22|.545|5|29|11|6|0|14|20
21|21|2011-01-31||Mississippi Valley State|L|74|94|25|51|.490|5|15|.333|19|35|.543|5|30|12|10|2|19|26||31|59|.525|8|16|.500|24|34|.706|6|30|14|5|1|19|24
22|22|2011-02-05|@|Southern|W|49|45|17|56|.304|1|12|.083|14|19|.737|12|38|10|6|4|11|17||15|49|.306|4|13|.308|11|22|.500|10|34|7|3|5|15|17
23|23|2011-02-07|@|Alcorn State|W|61|60|26|67|.388|5|18|.278|4|11|.364|10|45|15|5|2|11|13||24|62|.387|7|12|.583|5|11|.455|3|29|14|9|4|8|11
24|24|2011-02-11||Prairie View|W|64|33|25|58|.431|7|13|.538|7|13|.538|11|42|13|7|5|8|14||13|53|.245|1|12|.083|6|12|.500|9|31|4|3|0|15|17
25|25|2011-02-14||Texas Southern|L|49|51|18|53|.340|8|20|.400|5|13|.385|14|33|13|6|5|14|16||20|48|.417|2|9|.222|9|16|.563|8|31|10|7|2|13|14
26|26|2011-02-19|@|Jackson State|W (1 OT)|69|67|21|44|.477|6|15|.400|21|28|.750|3|29|9|2|2|11|23||22|55|.400|4|11|.364|19|26|.731|9|26|10|4|5|5|22
27|27|2011-02-26|@|Arkansas-Pine Bluff|W|75|57|29|56|.518|6|13|.462|11|18|.611|7|31|12|5|0|7|17||22|53|.415|4|11|.364|9|16|.563|6|29|11|5|1|13|16
28|28|2011-02-28|@|Mississippi Valley State|L (1 OT)|63|66|26|70|.371|3|19|.158|8|8|1.000|10|35|6|4|4|13|22||22|59|.373|2|10|.200|20|32|.625|15|44|11|7|2|12|16
29|29|2011-03-03||Alabama A&M|W|76|69|24|50|.480|5|16|.313|23|27|.852|10|38|11|3|2|10|15||24|54|.444|8|10|.800|13|24|.542|6|21|10|7|4|7|18
30|30|2011-03-05||Alabama State|W|74|73|23|54|.426|8|20|.400|20|33|.606|11|35|11|2|2|10|25||21|58|.362|4|10|.400|27|44|.614|12|35|10|5|4|7|20
31|31|2011-03-10|N|Mississippi Valley State|W|65|62|18|54|.333|3|11|.273|26|35|.743|7|30|7|6|1|6|15||23|51|.451|6|16|.375|10|14|.714|5|32|8|1|2|14|24
32|32|2011-03-11|N|Jackson State|W (1 OT)|81|75|22|54|.407|8|20|.400|29|41|.707|12|31|8|8|3|15|26||23|56|.411|1|10|.100|28|37|.757|16|36|10|6|3|14|26
33|33|2011-03-12|N|Alabama State|L|48|65|16|53|.302|3|10|.300|13|19|.684|13|35|8|3|7|13|19||23|58|.397|4|11|.364|15|22|.682|11|35|12|7|6|6|16
