ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-15|@|Wake Forest|L|56|63|22|72|.306|3|21|.143|9|21|.429|16|39|8|12|4|9|24||20|50|.400|3|9|.333|20|29|.690|8|44|8|8|10|19|21
2|2|2010-11-16|N|Winthrop|W|45|44|17|50|.340|6|23|.261|5|7|.714|9|30|6|6|7|13|12||17|51|.333|3|11|.273|7|8|.875|8|31|10|5|1|13|12
3|3|2010-11-19|@|Fordham|W|58|48|23|54|.426|4|19|.211|8|17|.471|5|21|10|12|2|7|17||16|50|.320|6|23|.261|10|20|.500|19|46|9|2|5|21|14
4|4|2010-11-22|N|Boston University|W|51|50|19|48|.396|3|17|.176|10|16|.625|5|29|9|8|7|17|19||16|64|.250|4|26|.154|14|18|.778|19|42|7|8|6|17|18
5|5|2010-11-23|@|George Washington|W|62|51|22|49|.449|7|18|.389|11|14|.786|7|33|16|6|8|8|12||19|66|.288|4|23|.174|9|14|.643|17|37|9|3|0|11|17
6|6|2010-11-28|@|High Point|W|70|64|19|50|.380|4|11|.364|28|38|.737|7|34|7|4|7|10|24||19|49|.388|6|12|.500|20|25|.800|5|31|12|7|7|12|26
7|7|2010-11-30||Georgia State|W (1 OT)|60|56|15|45|.333|4|17|.235|26|39|.667|8|32|8|9|4|11|17||22|57|.386|3|15|.200|9|20|.450|12|36|10|2|4|17|26
8|8|2010-12-04|N|Howard|W|67|55|21|57|.368|6|18|.333|19|27|.704|6|35|15|8|5|11|16||19|63|.302|5|22|.227|12|19|.632|8|37|9|1|3|12|20
9|9|2010-12-08||Delaware|L|53|55|17|48|.354|2|12|.167|17|31|.548|9|31|6|5|6|8|22||19|53|.358|5|19|.263|12|25|.480|11|35|11|3|3|9|26
10|10|2010-12-20||Towson|W|78|67|27|59|.458|11|20|.550|13|18|.722|11|32|19|7|3|15|19||25|54|.463|3|13|.231|14|21|.667|10|31|8|4|2|17|19
11|11|2010-12-22||Liberty|W|62|59|21|46|.457|7|18|.389|13|22|.591|5|17|12|8|5|14|12||25|48|.521|6|12|.500|3|4|.750|10|35|10|6|3|26|20
12|12|2010-12-29|N|Dominican (CA)|W|78|65|26|54|.481|10|25|.400|16|21|.762|12|34|17|12|7|18|14||27|61|.443|2|7|.286|9|12|.750|9|25|15|9|1|20|19
13|13|2010-12-30|@|San Francisco|L|57|69|22|57|.386|7|23|.304|6|15|.400|14|38|9|1|8|10|17||23|58|.397|9|20|.450|14|16|.875|11|39|11|3|3|7|18
