ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-12|N|Texas-Pan American|W|69|46|26|52|.500|10|20|.500|7|10|.700|8|38|14|3|5|13|22||12|49|.245|6|21|.286|16|23|.696|9|26|6|6|1|9|15
2|2|2010-11-13|@|Loyola (IL)|L|74|86|27|59|.458|12|26|.462|8|14|.571|8|26|16|8|5|12|19||29|56|.518|11|23|.478|17|25|.680|12|35|13|4|5|10|17
3|3|2010-11-14|N|Eastern Kentucky|L (1 OT)|59|64|18|54|.333|5|18|.278|18|26|.692|11|32|9|4|6|13|23||18|45|.400|6|15|.400|22|30|.733|7|31|9|4|4|14|19
4|4|2010-11-17|@|Ball State|L|60|75|22|52|.423|4|17|.235|12|16|.750|13|33|13|4|4|26|27||24|48|.500|4|10|.400|23|34|.676|8|24|14|7|0|14|20
5|5|2010-11-20|@|Oral Roberts|W|74|69|25|54|.463|5|13|.385|19|26|.731|12|38|10|4|6|14|24||23|56|.411|3|12|.250|20|36|.556|13|34|9|5|1|9|22
6|6|2010-11-27||Buffalo|W|58|54|21|49|.429|6|13|.462|10|20|.500|9|31|12|10|7|15|19||18|50|.360|3|13|.231|15|17|.882|9|29|11|8|2|20|23
7|7|2010-11-30|@|Notre Dame|L|72|81|27|61|.443|4|15|.267|14|18|.778|5|20|14|7|4|7|22||28|52|.538|9|20|.450|16|22|.727|7|32|21|4|5|12|16
8|8|2010-12-04|@|Wyoming|L|51|81|15|51|.294|3|15|.200|18|25|.720|17|35|6|1|3|22|21||27|54|.500|6|18|.333|21|28|.750|10|26|11|16|5|8|22
9|9|2010-12-08||DePaul|W|73|51|27|53|.509|3|12|.250|16|21|.762|9|36|13|7|6|14|18||19|50|.380|1|10|.100|12|22|.545|6|25|10|10|3|16|18
10|10|2010-12-12||Oakland City|W|86|42|32|53|.604|12|19|.632|10|15|.667|5|29|22|13|7|13|10||15|41|.366|4|13|.308|8|11|.727|3|22|7|5|0|21|17
11|11|2010-12-18|N|Purdue|L|52|65|20|58|.345|5|21|.238|7|13|.538|9|37|11|2|5|18|27||19|57|.333|3|16|.188|24|30|.800|8|34|12|5|6|7|20
12|12|2010-12-29||Bradley|W|80|66|27|61|.443|7|22|.318|19|27|.704|8|35|19|9|10|8|19||23|59|.390|4|11|.364|16|18|.889|5|31|10|5|4|17|25
13|13|2011-01-01|@|Evansville|L|59|64|19|47|.404|7|20|.350|14|24|.583|7|32|12|7|5|22|27||20|54|.370|3|12|.250|21|30|.700|10|35|13|10|3|16|23
14|14|2011-01-04||Illinois State|W|72|57|23|49|.469|11|21|.524|15|22|.682|10|30|15|4|5|8|14||19|46|.413|3|15|.200|16|18|.889|7|24|10|0|1|12|21
15|15|2011-01-07||Northern Iowa|W|70|45|27|51|.529|12|20|.600|4|9|.444|6|29|19|7|4|11|21||11|46|.239|6|23|.261|17|26|.654|9|27|6|3|0|10|16
16|16|2011-01-09|@|Drake|W|62|57|19|49|.388|7|23|.304|17|20|.850|10|33|9|6|2|18|20||20|47|.426|4|14|.286|13|19|.684|4|22|8|5|1|13|18
17|17|2011-01-12|@|Bradley|W|59|53|18|46|.391|8|23|.348|15|20|.750|4|35|14|4|2|15|21||19|50|.380|5|15|.333|10|19|.526|5|31|10|7|0|10|15
18|18|2011-01-16||Creighton|W|61|59|24|66|.364|10|21|.476|3|4|.750|15|31|14|9|1|10|13||22|48|.458|9|24|.375|6|8|.750|6|29|13|3|7|14|13
19|19|2011-01-19||Missouri State|W|70|69|26|54|.481|8|16|.500|10|15|.667|10|29|12|5|1|12|21||22|49|.449|4|13|.308|21|24|.875|8|26|9|5|1|10|19
20|20|2011-01-22|@|Wichita State|L (3 OT)|83|93|29|74|.392|6|23|.261|19|22|.864|11|45|17|7|6|19|30||31|74|.419|3|23|.130|28|40|.700|12|43|13|12|4|14|23
21|21|2011-01-26||Evansville|L|63|66|19|53|.358|5|22|.227|20|27|.741|10|33|12|4|5|7|21||23|52|.442|6|10|.600|14|20|.700|13|38|14|3|0|11|22
22|22|2011-01-29|@|Creighton|L|69|83|21|56|.375|9|22|.409|18|24|.750|13|29|11|6|2|20|29||22|47|.468|8|17|.471|31|41|.756|10|32|15|6|2|16|22
23|23|2011-02-01||Wichita State|L|54|70|20|48|.417|3|13|.231|11|15|.733|6|23|12|5|2|12|15||25|52|.481|5|17|.294|15|16|.938|7|29|18|4|4|9|18
24|24|2011-02-05|@|Missouri State|L|66|73|25|58|.431|9|23|.391|7|7|1.000|10|33|12|7|7|12|22||22|52|.423|10|20|.500|19|24|.792|7|28|15|6|4|8|13
25|25|2011-02-09|@|Illinois State|W|56|46|19|55|.345|3|18|.167|15|19|.789|11|32|8|16|2|7|15||14|42|.333|4|15|.267|14|19|.737|10|36|9|4|9|21|19
26|26|2011-02-12||Drake|W|75|63|25|52|.481|6|21|.286|19|26|.731|8|34|11|4|3|8|20||19|51|.373|4|14|.286|21|28|.750|9|28|11|6|1|8|22
27|27|2011-02-16|@|Southern Illinois|W|77|72|23|52|.442|8|19|.421|23|32|.719|6|36|15|8|6|13|19||24|59|.407|8|18|.444|16|23|.696|5|30|10|6|2|14|25
28|28|2011-02-19||Morehead State|L|65|71|21|45|.467|8|27|.296|15|22|.682|10|32|15|5|2|16|18||22|48|.458|9|23|.391|18|29|.621|10|27|13|8|0|14|20
29|29|2011-02-22|@|Northern Iowa|W|76|74|23|47|.489|11|23|.478|19|26|.731|9|32|14|2|2|17|20||22|53|.415|11|27|.407|19|24|.792|6|24|11|10|2|8|23
