ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-14||South Dakota State|L|69|79|24|59|.407|3|10|.300|18|25|.720|9|40|10|3|2|18|17||29|67|.433|10|21|.476|11|15|.733|8|33|18|11|4|10|21
2|2|2010-11-16||Louisiana-Monroe|W|68|40|28|60|.467|8|21|.381|4|10|.400|12|40|17|10|4|22|13||17|54|.315|3|16|.188|3|5|.600|8|29|10|10|2|25|14
3|3|2010-11-19|N|Xavier|L|73|86|24|68|.353|5|22|.227|20|28|.714|18|36|11|3|0|10|28||25|47|.532|6|16|.375|30|37|.811|4|29|15|3|3|10|24
4|4|2010-11-20|N|Alabama|W|55|47|15|42|.357|5|12|.417|20|32|.625|9|32|5|7|2|16|14||19|56|.339|2|16|.125|7|9|.778|11|29|8|6|5|14|20
5|5|2010-11-22|N|Long Beach State|L|72|78|28|59|.475|4|15|.267|12|18|.667|6|29|10|7|4|14|17||31|77|.403|6|21|.286|10|16|.625|16|39|17|6|5|16|16
6|6|2010-11-26||Southern Illinois-Edwardsville|W|111|50|37|63|.587|10|18|.556|27|38|.711|16|41|24|19|2|13|8||21|61|.344|6|26|.231|2|2|1.000|13|23|12|7|5|29|28
7|7|2010-11-30|@|Wake Forest|L|73|76|31|71|.437|4|19|.211|7|10|.700|14|33|15|10|2|15|21||24|46|.522|8|17|.471|20|25|.800|1|26|14|5|11|16|18
8|8|2010-12-04||Idaho State|W|70|53|27|61|.443|4|21|.190|12|22|.545|17|36|20|14|2|13|18||15|39|.385|5|20|.250|18|20|.900|4|26|6|6|1|23|19
9|9|2010-12-07||Northern Iowa|W|51|39|18|45|.400|3|12|.250|12|23|.522|11|39|12|2|2|8|10||15|55|.273|6|30|.200|3|8|.375|11|32|8|2|1|8|19
10|10|2010-12-10||Iowa State|L|72|75|26|64|.406|8|17|.471|12|23|.522|18|45|15|6|7|17|15||28|68|.412|12|30|.400|7|14|.500|12|37|15|11|0|10|18
11|11|2010-12-18|@|Drake|W|59|52|19|45|.422|4|16|.250|17|25|.680|8|34|8|9|1|18|15||20|51|.392|7|29|.241|5|8|.625|6|26|12|4|3|16|21
12|12|2010-12-21||Louisiana Tech|W|77|58|25|57|.439|9|22|.409|18|23|.783|8|35|17|9|4|12|17||21|57|.368|5|18|.278|11|14|.786|8|31|11|6|1|17|17
13|13|2010-12-29||Illinois|L|77|87|30|64|.469|9|24|.375|8|15|.533|13|25|13|7|0|13|16||32|48|.667|13|18|.722|10|13|.769|6|27|20|4|3|17|17
14|14|2011-01-04||Ohio State|L|68|73|25|59|.424|7|15|.467|11|14|.786|13|30|15|5|6|15|14||31|56|.554|7|19|.368|4|9|.444|10|29|20|8|8|15|17
15|15|2011-01-09|@|Purdue|L|52|75|19|52|.365|2|7|.286|12|16|.750|8|28|11|5|6|16|14||30|61|.492|8|21|.381|7|9|.778|10|35|21|6|9|12|15
16|16|2011-01-12||Northwestern|L|71|90|26|50|.520|7|17|.412|12|22|.545|7|25|11|10|6|15|15||33|62|.532|14|28|.500|10|13|.769|10|30|23|9|2|14|16
17|17|2011-01-16|@|Minnesota|L|59|69|22|59|.373|6|19|.316|9|11|.818|9|28|12|6|2|10|22||20|46|.435|2|10|.200|27|37|.730|13|38|17|9|12|10|13
18|18|2011-01-19|@|Ohio State|L|48|70|22|55|.400|1|7|.143|3|4|.750|8|25|12|5|3|22|18||26|55|.473|6|21|.286|12|15|.800|10|30|18|11|2|20|12
19|19|2011-01-23||Indiana|W|91|77|30|52|.577|4|10|.400|27|39|.692|10|38|16|8|4|19|24||26|70|.371|8|27|.296|17|20|.850|15|34|16|9|1|14|29
20|20|2011-01-26|@|Penn State|L|51|65|19|51|.373|7|18|.389|6|9|.667|8|19|13|8|0|10|14||25|47|.532|5|16|.313|10|11|.909|7|24|14|3|4|14|15
21|21|2011-01-30|@|Michigan|L|73|87|28|57|.491|5|13|.385|12|17|.706|9|25|15|3|3|10|15||33|56|.589|14|28|.500|7|8|.875|7|28|22|4|2|10|16
22|22|2011-02-02||Michigan State|W|72|52|30|52|.577|3|9|.333|9|11|.818|5|29|19|7|5|12|14||19|56|.339|4|18|.222|10|14|.714|13|27|11|5|2|16|14
23|23|2011-02-05|@|Indiana|W|64|63|21|44|.477|2|9|.222|20|25|.800|9|30|12|5|4|17|15||22|53|.415|5|14|.357|14|17|.824|6|22|6|7|0|11|21
24|24|2011-02-09||Wisconsin|L (1 OT)|59|62|25|60|.417|1|7|.143|8|9|.889|10|38|14|4|4|10|10||24|68|.353|8|29|.276|6|7|.857|16|39|19|3|4|7|11
25|25|2011-02-13||Minnesota|L|45|62|16|47|.340|6|28|.214|7|11|.636|8|24|12|6|4|17|18||22|47|.468|2|11|.182|16|21|.762|10|30|16|11|1|14|13
26|26|2011-02-17|@|Northwestern|L|70|73|30|58|.517|5|12|.417|5|12|.417|11|34|16|1|1|12|16||27|60|.450|12|28|.429|7|13|.538|9|27|17|10|2|7|11
27|27|2011-02-19||Michigan|L (1 OT)|72|75|26|58|.448|2|17|.118|18|22|.818|12|33|15|7|0|16|22||25|52|.481|6|20|.300|19|24|.792|7|27|14|9|1|13|22
28|28|2011-02-26|@|Illinois|L|68|81|24|59|.407|5|17|.294|15|18|.833|11|26|15|5|3|14|13||31|56|.554|6|18|.333|13|18|.722|9|30|21|7|2|13|16
29|29|2011-03-02|@|Michigan State|L|66|85|23|56|.411|0|12|.000|20|33|.606|9|29|12|7|3|11|23||30|55|.545|7|14|.500|18|27|.667|7|33|20|5|3|12|23
30|30|2011-03-05||Purdue|W|67|65|26|60|.433|3|10|.300|12|19|.632|12|47|15|2|2|13|16||25|69|.362|5|25|.200|10|17|.588|10|32|13|9|2|7|21
31|31|2011-03-10|N|Michigan State|L|61|66|22|56|.393|4|9|.444|13|17|.765|13|29|11|8|1|13|16||22|54|.407|4|14|.286|18|23|.783|15|37|12|9|5|15|14
