ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-12|@|Miami (FL)|L|77|89|25|58|.431|8|18|.444|19|24|.792|9|30|11|9|1|18|22||32|62|.516|9|22|.409|16|25|.640|9|33|16|9|3|14|19
2|2|2010-11-16||Savannah State|W|64|54|23|51|.451|6|16|.375|12|19|.632|8|32|16|13|3|13|20||21|47|.447|7|15|.467|5|14|.357|7|29|12|3|2|18|17
3|3|2010-11-20||Florida Tech|W|87|75|35|64|.547|6|16|.375|11|20|.550|11|34|19|12|4|24|23||25|55|.455|9|19|.474|16|22|.727|9|31|16|8|0|29|21
4|4|2010-11-24|@|Samford|W|60|49|21|52|.404|1|7|.143|17|30|.567|12|37|7|14|2|13|24||13|41|.317|5|21|.238|18|28|.643|7|29|7|5|1|21|25
5|5|2010-11-27|@|Auburn|W|69|55|27|58|.466|6|18|.333|9|19|.474|11|34|13|14|1|19|23||19|51|.373|3|13|.231|14|26|.538|13|35|10|10|1|22|18
6|6|2010-12-02||Stetson|W|70|61|24|55|.436|5|12|.417|17|25|.680|15|36|12|7|5|18|23||21|51|.412|2|17|.118|17|26|.654|10|27|5|9|3|17|24
7|7|2010-12-04||Florida Gulf Coast|W|71|56|26|62|.419|5|16|.313|14|25|.560|14|44|13|12|8|19|25||17|59|.288|3|20|.150|19|28|.679|13|40|9|10|2|19|20
8|8|2010-12-12|@|Winthrop|L|66|73|24|66|.364|3|19|.158|15|24|.625|15|35|11|2|5|9|27||23|52|.442|4|10|.400|23|34|.676|12|43|7|5|4|10|24
9|9|2010-12-15|@|Saint Louis|L|64|69|25|57|.439|4|13|.308|10|12|.833|9|30|13|9|5|19|21||22|49|.449|7|16|.438|18|23|.783|7|28|14|7|6|16|14
10|10|2010-12-20|@|Florida|W (1 OT)|71|68|29|65|.446|5|16|.313|8|14|.571|11|30|9|7|2|13|26||21|60|.350|3|15|.200|23|33|.697|19|42|9|1|3|17|13
11|11|2010-12-30||Bethune-Cookman|W|67|60|23|43|.535|3|9|.333|18|28|.643|7|30|11|5|4|11|18||18|50|.360|2|14|.143|22|22|1.000|6|24|9|8|1|8|24
12|12|2011-01-03|@|Campbell|W|67|65|27|53|.509|3|9|.333|10|16|.625|11|34|18|6|4|20|18||23|51|.451|2|11|.182|17|24|.708|7|21|11|12|5|15|20
13|13|2011-01-08|@|Lipscomb|W|60|56|21|59|.356|3|19|.158|15|24|.625|13|38|8|6|3|13|23||18|53|.340|4|20|.200|16|20|.800|8|33|13|3|5|18|19
14|14|2011-01-10|@|Belmont|L|50|81|17|57|.298|2|12|.167|14|19|.737|13|35|9|5|4|22|24||27|62|.435|9|26|.346|18|24|.750|12|40|16|10|5|13|20
15|15|2011-01-13||South Carolina Upstate|W (1 OT)|57|47|20|60|.333|3|19|.158|14|22|.636|16|42|11|8|4|15|18||16|57|.281|7|27|.259|8|16|.500|18|44|10|5|7|21|22
16|16|2011-01-15||East Tennessee State|L|62|74|21|63|.333|5|13|.385|15|20|.750|16|36|9|5|3|9|19||26|48|.542|8|19|.421|14|18|.778|5|30|14|5|7|10|16
17|17|2011-01-20|@|Mercer|L (1 OT)|68|70|27|64|.422|4|16|.250|10|13|.769|13|40|13|8|0|17|19||24|52|.462|7|14|.500|15|26|.577|7|28|12|10|4|15|16
18|18|2011-01-22|@|Kennesaw State|W|87|59|31|63|.492|7|16|.438|18|26|.692|16|40|17|10|3|11|22||20|56|.357|6|22|.273|13|19|.684|9|26|7|5|5|16|20
19|19|2011-01-26|@|North Florida|W (1 OT)|63|62|25|65|.385|2|10|.200|11|26|.423|21|44|9|7|4|13|21||20|50|.400|8|26|.308|14|28|.500|10|33|12|5|3|16|19
20|20|2011-01-31||Campbell|W|71|58|23|48|.479|5|13|.385|20|28|.714|6|27|14|9|6|14|15||20|48|.417|2|9|.222|16|19|.842|7|23|6|8|4|17|21
21|21|2011-02-03||Belmont|L|70|76|26|56|.464|4|17|.235|14|23|.609|12|28|16|10|7|17|17||29|58|.500|3|10|.300|15|19|.789|10|29|14|7|3|18|17
22|22|2011-02-05||Lipscomb|W|78|68|22|44|.500|8|17|.471|26|30|.867|6|30|14|4|4|21|28||22|51|.431|2|9|.222|22|34|.647|9|21|12|14|1|9|26
23|23|2011-02-08||North Florida|W|71|69|22|59|.373|1|8|.125|26|29|.897|18|40|12|4|7|13|19||26|52|.500|5|14|.357|12|20|.600|7|23|10|9|6|13|27
24|24|2011-02-11|@|East Tennessee State|L|64|80|25|61|.410|4|18|.222|10|18|.556|12|33|7|4|7|13|24||26|54|.481|6|14|.429|22|29|.759|9|34|12|6|4|10|18
25|25|2011-02-13|@|South Carolina Upstate|W|79|69|28|53|.528|4|13|.308|19|26|.731|3|32|14|10|1|13|24||22|60|.367|6|25|.240|19|31|.613|12|35|10|4|3|13|22
