ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-13||San Diego State|L|65|81|24|64|.375|5|23|.217|12|19|.632|12|32|11|6|0|9|11||33|65|.508|9|25|.360|6|7|.857|10|41|18|6|3|12|16
2|2|2010-11-15||San Francisco State|W|82|65|29|58|.500|8|16|.500|16|24|.667|15|38|17|10|3|18|19||22|57|.386|4|20|.200|17|27|.630|8|29|7|9|1|19|27
3|3|2010-11-19|N|Clemson|L|55|69|22|51|.431|7|13|.538|4|11|.364|9|24|11|11|1|21|19||24|48|.500|10|17|.588|11|16|.688|8|24|16|7|5|18|17
4|4|2010-11-20|N|Saint Peter's|W|68|56|19|40|.475|5|15|.333|25|41|.610|7|34|12|4|1|13|15||23|60|.383|4|18|.222|6|12|.500|7|28|13|8|3|10|26
5|5|2010-11-22|N|Iowa|W|78|72|31|77|.403|6|21|.286|10|16|.625|16|39|17|6|5|16|16||28|59|.475|4|15|.267|12|18|.667|6|29|10|7|4|14|17
6|6|2010-11-27||Loyola Marymount|L (1 OT)|77|80|29|76|.382|6|24|.250|13|22|.591|16|33|17|8|1|12|23||31|66|.470|1|11|.091|17|30|.567|20|50|7|7|8|17|18
7|7|2010-11-30|@|Washington|L|75|102|26|61|.426|8|19|.421|15|25|.600|13|29|14|7|2|18|14||41|67|.612|14|26|.538|6|10|.600|9|34|24|10|7|15|22
8|8|2010-12-02||Brigham Young-Hawaii|W|90|83|30|59|.508|10|24|.417|20|27|.741|9|37|17|7|3|19|20||31|68|.456|2|18|.111|19|26|.731|9|34|16|10|0|14|21
9|9|2010-12-05|@|Boise State|W|69|66|23|51|.451|7|12|.583|16|23|.696|9|37|11|4|3|23|19||26|69|.377|6|25|.240|8|13|.615|11|29|11|11|6|13|20
10|10|2010-12-07|@|Utah State|L|53|81|19|58|.328|5|20|.250|10|12|.833|7|30|12|2|2|8|9||31|63|.492|10|26|.385|9|13|.692|11|41|24|3|2|6|17
11|11|2010-12-11|@|North Carolina|L|91|96|37|73|.507|10|31|.323|7|13|.538|9|33|21|5|0|12|21||36|64|.563|11|23|.478|13|22|.591|7|34|22|6|0|11|13
12|12|2010-12-18|N|Saint Mary's (CA)|L|74|82|29|55|.527|5|11|.455|11|15|.733|4|25|17|2|2|13|15||33|65|.508|7|22|.318|9|14|.643|7|31|21|1|3|10|17
13|13|2010-12-21|@|Arizona State|L|55|72|16|48|.333|4|18|.222|19|25|.760|8|35|13|5|1|18|13||27|65|.415|8|29|.276|10|12|.833|12|41|19|10|1|10|18
14|14|2010-12-28|@|California-Santa Barbara|W|71|55|24|49|.490|5|13|.385|18|25|.720|8|32|15|7|5|15|15||18|54|.333|5|22|.227|14|19|.737|12|28|9|7|3|13|18
15|15|2010-12-30|@|Cal Poly|W|69|53|26|49|.531|2|13|.154|15|23|.652|9|38|15|6|3|17|11||23|59|.390|4|19|.211|3|8|.375|7|24|12|10|2|10|16
16|16|2011-01-05||Cal State Northridge|W|85|71|31|57|.544|5|15|.333|18|30|.600|13|36|17|9|3|19|17||25|57|.439|3|16|.188|18|26|.692|10|25|8|6|1|15|21
17|17|2011-01-08||California-Irvine|W|86|78|29|61|.475|6|20|.300|22|33|.667|10|38|15|4|0|10|15||27|62|.435|8|19|.421|16|22|.727|6|33|12|2|4|11|23
18|18|2011-01-12||California-Davis|W|60|56|22|49|.449|3|15|.200|13|19|.684|10|32|8|9|2|21|8||23|56|.411|7|24|.292|3|4|.750|6|24|10|12|3|16|20
19|19|2011-01-15||Pacific|W|70|69|24|51|.471|8|21|.381|14|21|.667|8|28|13|6|2|10|15||26|53|.491|8|20|.400|9|13|.692|9|26|12|4|1|12|17
20|20|2011-01-19|@|Cal State Fullerton|L|87|89|32|61|.525|9|21|.429|14|19|.737|10|31|14|1|0|15|22||31|60|.517|4|11|.364|23|33|.697|13|36|12|9|2|11|20
21|21|2011-01-22|@|California-Irvine|L|76|86|28|69|.406|4|23|.174|16|21|.762|13|33|8|1|1|13|24||25|50|.500|9|18|.500|27|29|.931|4|34|18|5|7|16|24
22|22|2011-01-26|@|Pacific|W|67|66|27|56|.482|3|12|.250|10|16|.625|8|26|16|8|5|12|17||25|49|.510|6|21|.286|10|18|.556|9|30|13|6|1|15|14
23|23|2011-01-29||Cal State Fullerton|W|75|60|25|57|.439|7|24|.292|18|25|.720|10|41|19|11|4|12|12||24|63|.381|5|17|.294|7|11|.636|9|30|8|7|2|15|19
24|24|2011-02-10|@|California-Davis|W|93|69|31|48|.646|9|16|.563|22|33|.667|7|33|20|7|0|13|15||22|51|.431|8|23|.348|17|21|.810|2|19|11|6|1|12|22
25|25|2011-02-12|@|Cal State Northridge|W|79|62|23|50|.460|9|21|.429|24|39|.615|11|40|14|5|3|16|23||20|55|.364|5|20|.250|17|30|.567|8|27|10|8|3|11|26
26|26|2011-02-16||California-Riverside|W|68|55|22|57|.386|6|20|.300|18|26|.692|9|40|10|7|3|13|15||22|60|.367|7|16|.438|4|11|.364|7|30|8|8|5|14|16
27|27|2011-02-19||Montana|W|74|56|28|52|.538|5|14|.357|13|17|.765|8|29|11|5|0|9|15||21|55|.382|4|18|.222|10|17|.588|12|29|11|8|1|10|16
28|28|2011-02-24||Cal Poly|W|61|55|23|54|.426|8|20|.400|7|14|.500|11|32|10|11|6|15|12||19|52|.365|8|23|.348|9|10|.900|10|33|12|6|0|19|16
29|29|2011-02-26||California-Santa Barbara|W|71|53|22|55|.400|6|19|.316|21|28|.750|15|47|11|6|2|16|14||22|61|.361|4|16|.250|5|8|.625|6|26|9|12|1|13|22
