ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-12||Morgan State|L|79|81|27|67|.403|4|16|.250|21|26|.808|15|43|16|10|7|19|16||31|68|.456|10|17|.588|9|14|.643|10|33|18|11|6|15|18
2|2|2010-11-14||La Sierra|W|100|62|32|65|.492|3|15|.200|33|44|.750|19|48|15|13|5|15|16||23|61|.377|7|16|.438|9|14|.643|9|28|11|4|1|24|30
3|3|2010-11-17|@|Bradley|L|57|59|21|55|.382|3|12|.250|12|18|.667|12|47|11|8|1|24|22||17|56|.304|4|19|.211|21|30|.700|7|31|7|7|4|13|17
4|4|2010-11-20|N|Dowling|W|78|71|29|56|.518|3|7|.429|17|23|.739|14|37|17|7|3|21|19||27|51|.529|8|14|.571|9|21|.429|6|22|19|16|1|18|20
5|5|2010-11-21|N|Rider|L|63|73|24|62|.387|2|14|.143|13|16|.813|12|29|14|5|4|12|18||26|51|.510|11|19|.579|10|16|.625|8|27|16|5|0|14|13
6|6|2010-11-24|@|Cal Poly|L|48|55|15|50|.300|2|10|.200|16|25|.640|9|33|6|10|4|15|20||16|49|.327|4|19|.211|19|24|.792|9|35|9|7|3|16|22
7|7|2010-11-27|@|Long Beach State|W (1 OT)|80|77|31|66|.470|1|11|.091|17|30|.567|20|50|7|7|8|17|18||29|76|.382|6|24|.250|13|22|.591|16|33|17|8|1|12|23
8|8|2010-12-01|@|California-Santa Barbara|L|67|77|24|55|.436|7|18|.389|12|18|.667|10|22|9|9|3|16|15||29|47|.617|7|15|.467|12|15|.800|5|23|15|10|4|16|14
9|9|2010-12-04||Cal Poly|W|67|48|22|50|.440|4|9|.444|19|24|.792|8|33|16|4|3|6|15||17|47|.362|7|19|.368|7|12|.583|6|22|9|2|1|8|18
10|10|2010-12-07||Sacramento State|W|69|49|23|53|.434|6|19|.316|17|26|.654|10|39|21|7|11|11|19||16|55|.291|4|14|.286|13|20|.650|14|37|13|7|1|14|22
11|11|2010-12-11||South Dakota|W|72|67|29|70|.414|3|12|.250|11|21|.524|15|43|22|10|4|8|17||25|59|.424|5|17|.294|12|19|.632|8|35|16|6|2|14|18
12|12|2010-12-18||Florida State|L|63|74|25|53|.472|5|18|.278|8|14|.571|6|25|14|8|3|13|15||28|60|.467|7|21|.333|11|15|.733|13|35|19|6|4|14|13
13|13|2010-12-22|@|South Dakota|L|70|82|31|69|.449|3|17|.176|5|8|.625|10|40|16|6|2|15|20||29|69|.420|7|22|.318|17|26|.654|10|40|13|9|3|10|9
14|14|2010-12-30|@|California-Irvine|W|87|80|30|54|.556|5|11|.455|22|30|.733|11|34|17|4|0|16|21||23|58|.397|8|24|.333|26|28|.929|11|28|10|8|3|13|22
15|15|2011-01-06||Saint Mary's (CA)|L|75|98|29|66|.439|7|12|.583|10|15|.667|13|30|17|8|1|12|14||36|59|.610|11|20|.550|15|16|.938|7|28|22|5|5|9|10
16|16|2011-01-08||San Diego|W|67|58|20|50|.400|5|11|.455|22|28|.786|18|39|15|4|5|14|19||20|58|.345|4|17|.235|14|20|.700|12|27|12|3|1|10|22
17|17|2011-01-13|@|Portland|L (2 OT)|78|79|26|71|.366|9|27|.333|17|23|.739|12|38|15|11|5|11|23||26|63|.413|7|22|.318|20|27|.741|9|38|18|6|6|15|18
18|18|2011-01-15|@|Gonzaga|L|59|79|15|55|.273|5|17|.294|24|30|.800|13|36|6|3|0|13|20||32|62|.516|3|12|.250|12|22|.545|11|33|15|8|7|8|22
19|19|2011-01-22|@|Pepperdine|L|75|78|28|57|.491|5|15|.333|14|21|.667|9|29|19|7|3|15|15||28|60|.467|8|15|.533|14|14|1.000|7|28|16|6|2|15|15
20|20|2011-01-27||San Francisco|L|60|61|23|56|.411|7|15|.467|7|11|.636|5|35|15|2|8|13|15||25|67|.373|4|22|.182|7|11|.636|9|39|9|1|0|7|14
21|21|2011-01-29||Santa Clara|L|72|79|22|57|.386|5|11|.455|23|32|.719|13|32|11|9|5|18|20||25|52|.481|8|15|.533|21|25|.840|7|30|17|14|1|16|25
22|22|2011-01-31||Seattle|W|81|64|27|61|.443|2|16|.125|25|34|.735|16|46|10|4|10|16|20||20|64|.313|4|15|.267|20|32|.625|16|34|16|8|4|12|27
23|23|2011-02-03|@|San Diego|L|63|66|21|47|.447|3|7|.429|18|24|.750|7|27|10|6|5|11|21||27|53|.509|4|8|.500|8|15|.533|8|30|17|4|3|11|17
24|24|2011-02-05|@|Saint Mary's (CA)|L|70|79|28|53|.528|4|10|.400|10|14|.714|4|19|11|6|5|8|17||28|57|.491|9|17|.529|14|17|.824|10|32|17|8|2|9|14
25|25|2011-02-10||Gonzaga|L|57|67|19|55|.345|4|13|.308|15|19|.789|6|25|11|10|3|19|24||20|47|.426|2|8|.250|25|34|.735|11|37|15|13|5|20|16
26|26|2011-02-12||Portland|L|48|71|18|58|.310|6|19|.316|6|18|.333|15|31|12|2|3|11|15||27|58|.466|4|16|.250|13|16|.813|11|41|17|5|5|12|16
27|27|2011-02-16||Pepperdine|W|82|79|28|52|.538|9|17|.529|17|25|.680|6|25|21|6|4|8|18||29|60|.483|8|18|.444|13|18|.722|14|33|16|1|1|13|19
28|28|2011-02-19|@|Portland State|L|75|84|28|59|.475|6|24|.250|13|22|.591|10|34|18|8|3|17|23||31|64|.484|8|22|.364|14|28|.500|13|33|20|7|0|10|22
29|29|2011-02-24|@|Santa Clara|L (2 OT)|88|94|34|69|.493|6|19|.316|14|22|.636|8|35|14|11|4|20|31||27|66|.409|3|18|.167|37|42|.881|16|46|16|9|4|18|20
30|30|2011-02-26|@|San Francisco|L|75|77|24|66|.364|5|15|.333|22|23|.957|11|38|12|3|4|14|18||26|62|.419|6|25|.240|19|26|.731|11|39|15|6|7|12|22
