ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-13|@|NJIT|W|75|70|19|41|.463|3|8|.375|34|46|.739|10|33|4|4|5|14|18||24|65|.369|9|33|.273|13|24|.542|18|35|16|4|3|9|32
2|2|2010-11-17||Pennsylvania|W|59|54|23|55|.418|3|9|.333|10|13|.769|10|36|11|4|2|6|15||20|48|.417|10|32|.313|4|8|.500|4|25|14|1|2|12|19
3|3|2010-11-20||Long Island University|L|80|91|30|65|.462|7|18|.389|13|16|.813|15|37|11|4|4|19|27||28|64|.438|7|20|.350|28|40|.700|18|37|17|8|5|14|19
4|4|2010-11-25|N|Wisconsin|L|35|50|14|49|.286|2|7|.286|5|10|.500|9|33|6|3|0|12|13||21|58|.362|5|21|.238|3|5|.600|11|36|15|6|3|8|12
5|5|2010-11-26|N|Texas A&M|L|45|74|17|55|.309|2|16|.125|9|16|.563|14|28|6|8|5|14|19||23|55|.418|10|26|.385|18|24|.750|15|40|17|8|1|13|18
6|6|2010-11-28|N|Georgia|L|58|61|21|58|.362|4|11|.364|12|15|.800|9|32|10|10|5|15|13||27|69|.391|1|12|.083|6|11|.545|19|46|15|6|10|17|12
7|7|2010-12-02||Rider|L|59|88|21|49|.429|1|12|.083|16|25|.640|9|28|12|6|3|17|13||33|54|.611|10|19|.526|12|19|.632|5|27|23|11|3|12|19
8|8|2010-12-04|@|Saint Peter's|L|49|66|15|44|.341|5|14|.357|14|19|.737|7|27|7|5|8|13|17||25|58|.431|9|18|.500|7|12|.583|8|29|19|6|3|9|16
9|9|2010-12-08|@|Fordham|L|59|73|22|67|.328|4|20|.200|11|16|.688|12|34|7|4|5|7|17||26|58|.448|5|13|.385|16|22|.727|10|41|14|1|7|9|15
10|10|2010-12-11||Binghamton|L|69|70|24|56|.429|4|14|.286|17|20|.850|13|33|14|4|4|10|10||27|55|.491|13|30|.433|3|5|.600|6|22|15|4|3|8|16
11|11|2010-12-18||Hofstra|L|58|71|19|47|.404|3|12|.250|17|26|.654|9|32|6|4|3|18|13||24|53|.453|12|21|.571|11|16|.688|5|28|14|9|2|11|21
12|12|2010-12-22|@|Bowling Green State|L|57|70|22|45|.489|4|7|.571|9|17|.529|13|32|15|6|3|24|15||27|53|.509|8|20|.400|8|14|.571|7|23|17|15|0|13|17
13|13|2011-01-03|@|Rider|L|78|88|28|62|.452|4|12|.333|18|25|.720|9|33|7|6|7|20|21||29|62|.468|7|21|.333|23|35|.657|11|34|19|12|4|12|21
14|14|2011-01-07||Loyola (MD)|L|67|82|23|52|.442|3|9|.333|18|24|.750|15|30|6|8|5|18|21||27|57|.474|12|23|.522|16|23|.696|16|33|19|10|6|16|17
15|15|2011-01-09||Marist|L|59|65|20|55|.364|5|21|.238|14|19|.737|13|31|15|7|2|9|14||22|51|.431|12|25|.480|9|12|.750|10|32|14|4|2|13|17
16|16|2011-01-11|@|Florida Atlantic|L|50|57|21|59|.356|2|9|.222|6|10|.600|18|36|9|8|4|12|10||24|56|.429|4|20|.200|5|13|.385|11|31|10|9|8|10|13
17|17|2011-01-15||Canisius|L|51|72|18|54|.333|3|11|.273|12|14|.857|11|34|9|4|4|16|15||28|60|.467|6|19|.316|10|14|.714|8|31|19|13|6|6|18
18|18|2011-01-17||Niagara|W|51|49|19|46|.413|3|13|.231|10|22|.455|16|37|13|6|4|16|13||17|43|.395|6|18|.333|9|17|.529|6|23|12|9|4|12|22
19|19|2011-01-20|@|Loyola (MD)|L|50|62|22|57|.386|1|4|.250|5|9|.556|14|28|5|8|3|12|18||21|49|.429|5|11|.455|15|21|.714|12|32|7|5|3|12|11
20|20|2011-01-23||Saint Peter's|L|53|62|20|63|.317|2|11|.182|11|18|.611|14|31|8|12|8|9|21||18|50|.360|9|18|.500|17|28|.607|14|43|10|4|6|14|17
21|21|2011-01-28|@|Fairfield|L|59|61|25|54|.463|3|8|.375|6|15|.400|11|27|9|9|5|12|13||24|49|.490|4|10|.400|9|13|.692|6|26|15|7|4|15|18
22|22|2011-01-30|@|Marist|W|60|59|24|57|.421|8|21|.381|4|10|.400|10|28|13|2|3|5|15||22|54|.407|9|26|.346|6|14|.429|12|32|16|2|4|9|15
23|23|2011-02-04|@|Siena|L|57|64|20|52|.385|3|11|.273|14|17|.824|7|32|9|6|4|13|20||23|58|.397|5|18|.278|13|25|.520|12|34|13|12|2|10|15
24|24|2011-02-07|@|Iona|L|67|85|24|56|.429|3|12|.250|16|18|.889|8|27|9|4|4|11|17||32|67|.478|10|25|.400|11|17|.647|15|36|22|6|4|11|15
25|25|2011-02-11||Fairfield|L|56|65|23|53|.434|5|11|.455|5|9|.556|7|27|16|7|7|12|18||22|54|.407|6|11|.545|15|22|.682|13|36|13|4|3|10|14
26|26|2011-02-13||Siena|W|84|81|28|55|.509|7|14|.500|21|28|.750|6|33|14|10|3|18|23||28|67|.418|7|21|.333|18|29|.621|15|36|10|8|1|16|23
27|27|2011-02-16||Iona|L|65|102|27|69|.391|3|15|.200|8|11|.727|11|21|13|9|3|9|15||36|54|.667|16|27|.593|14|18|.778|7|34|26|6|4|14|15
28|28|2011-02-19|@|Stony Brook|W (1 OT)|64|63|22|50|.440|9|15|.600|11|16|.688|7|30|11|5|1|12|21||21|59|.356|6|21|.286|15|27|.556|16|41|12|5|1|13|19
29|29|2011-02-25|@|Canisius|L|63|72|17|43|.395|1|8|.125|28|33|.848|6|23|5|7|1|13|22||20|45|.444|10|22|.455|22|29|.759|7|28|18|6|4|13|26
30|30|2011-02-27|@|Niagara|L|59|66|23|50|.460|3|12|.250|10|13|.769|7|24|10|9|3|16|19||19|45|.422|5|19|.263|23|27|.852|7|25|14|8|2|17|12
31|31|2011-03-04|N|Siena|L (1 OT)|66|68|26|60|.433|3|13|.231|11|15|.733|12|30|10|11|6|9|14||24|55|.436|8|19|.421|12|16|.750|14|33|13|5|5|17|13
