ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-12||Towson|W|60|57|19|46|.413|9|27|.333|13|19|.684|4|34|11|7|4|15|21||18|58|.310|2|17|.118|19|26|.731|11|35|5|7|1|9|17
2|2|2010-11-16|@|Duke|L|45|79|18|54|.333|6|25|.240|3|8|.375|5|27|7|7|2|15|22||25|58|.431|8|20|.400|21|31|.677|11|43|15|10|3|9|14
3|3|2010-11-20||IUPUI|W|59|58|21|47|.447|3|15|.200|14|21|.667|9|33|6|7|2|16|17||20|51|.392|7|20|.350|11|17|.647|7|28|8|6|4|9|22
4|4|2010-11-21||Green Bay|L|65|69|20|41|.488|7|18|.389|18|29|.621|5|19|11|7|2|15|19||25|50|.500|4|12|.333|15|21|.714|9|28|10|6|2|14|25
5|5|2010-11-22||San Diego State|L|56|77|18|49|.367|8|21|.381|12|15|.800|8|24|8|3|2|19|16||28|56|.500|7|16|.438|14|18|.778|11|30|13|7|4|12|16
6|6|2010-11-26|@|Ohio State|L|45|66|15|51|.294|5|19|.263|10|13|.769|12|29|7|3|1|14|15||25|48|.521|8|15|.533|8|14|.571|8|29|16|9|3|13|12
7|7|2010-12-01||Xavier|W|75|64|25|56|.446|8|21|.381|17|18|.944|9|31|12|2|4|10|24||21|50|.420|2|11|.182|20|23|.870|6|28|7|5|2|10|19
8|8|2010-12-04|@|Dayton|L|58|70|21|51|.412|5|21|.238|11|15|.733|9|32|10|4|3|20|18||24|54|.444|5|13|.385|17|23|.739|8|29|19|6|2|13|19
9|9|2010-12-07||Saginaw Valley State|W|76|57|28|51|.549|6|18|.333|14|18|.778|7|32|12|10|6|12|15||21|58|.362|4|22|.182|11|16|.688|8|21|10|5|3|10|12
10|10|2010-12-11||Troy|W|80|73|26|55|.473|11|28|.393|17|22|.773|7|32|15|4|3|9|9||29|65|.446|13|25|.520|2|5|.400|11|36|17|6|4|8|18
11|11|2010-12-18|@|Wright State|L|51|66|18|45|.400|6|18|.333|9|13|.692|6|23|9|4|0|14|12||26|54|.481|6|20|.300|8|12|.667|10|30|14|6|1|10|15
12|12|2010-12-21||Cincinnati|L|48|64|16|44|.364|6|20|.300|10|13|.769|4|25|9|3|3|14|19||21|54|.389|4|16|.250|18|27|.667|16|39|7|8|4|7|13
13|13|2010-12-30|@|Belmont|L|72|83|22|50|.440|10|21|.476|18|24|.750|6|27|11|5|1|13|23||28|59|.475|7|26|.269|20|30|.667|14|36|11|9|2|10|21
14|14|2011-01-02|@|Kansas|L|56|83|20|51|.392|8|28|.286|8|13|.615|5|16|13|9|3|13|14||35|61|.574|8|16|.500|5|7|.714|15|44|24|9|5|18|17
15|15|2011-01-09|@|Ohio|W (3 OT)|92|88|28|66|.424|11|27|.407|25|33|.758|16|43|15|5|1|17|23||28|64|.438|11|23|.478|21|26|.808|7|29|17|12|1|11|28
16|16|2011-01-13||Buffalo|W|70|67|24|45|.533|4|13|.308|18|23|.783|7|22|11|8|3|20|15||26|52|.500|3|9|.333|12|18|.667|9|23|10|9|2|18|19
17|17|2011-01-16|@|Bowling Green State|L|53|62|22|49|.449|7|21|.333|2|4|.500|7|28|18|2|2|20|15||26|57|.456|2|14|.143|8|9|.889|10|26|15|11|4|9|9
18|18|2011-01-19||Akron|W|84|76|26|60|.433|9|19|.474|23|28|.821|13|38|10|3|3|10|19||29|62|.468|7|24|.292|11|14|.786|8|29|13|5|2|8|24
19|19|2011-01-23|@|Kent State|L|57|78|20|48|.417|7|18|.389|10|15|.667|12|36|11|3|4|22|13||30|64|.469|11|23|.478|7|12|.583|7|24|21|14|2|8|14
20|20|2011-01-27|@|Central Michigan|W|68|58|28|44|.636|2|9|.222|10|16|.625|7|34|6|3|1|19|12||22|57|.386|8|17|.471|6|11|.545|11|22|7|11|1|9|17
21|21|2011-01-29||Western Michigan|L (1 OT)|68|73|24|57|.421|8|25|.320|12|18|.667|7|28|12|3|1|11|13||30|61|.492|5|15|.333|8|10|.800|10|32|15|4|3|10|16
22|22|2011-02-01||Ball State|W|89|75|32|59|.542|16|32|.500|9|13|.692|7|29|16|3|9|11|19||26|61|.426|8|22|.364|15|18|.833|9|27|15|5|2|7|19
23|23|2011-02-05|@|Eastern Michigan|W|58|56|20|62|.323|11|30|.367|7|7|1.000|10|30|15|6|1|11|13||18|44|.409|8|18|.444|12|18|.667|5|31|14|5|5|15|12
24|24|2011-02-09||Northern Illinois|W|84|72|30|57|.526|10|22|.455|14|18|.778|8|35|8|4|0|16|17||27|61|.443|6|19|.316|12|16|.750|7|25|13|7|1|11|17
25|25|2011-02-12|@|Toledo|W|68|66|23|46|.500|9|24|.375|13|18|.722|6|22|13|10|5|14|14||25|48|.521|7|17|.412|9|18|.500|6|22|22|6|1|12|18
26|26|2011-02-16||Kent State|W (1 OT)|86|80|26|65|.400|5|20|.250|29|35|.829|15|45|11|4|6|12|14||30|69|.435|10|23|.435|10|13|.769|11|34|13|7|5|11|27
27|27|2011-02-19|@|James Madison|L|69|70|25|53|.472|11|28|.393|8|12|.667|7|27|16|2|4|10|15||25|52|.481|8|14|.571|12|16|.750|7|27|14|4|2|6|11
28|28|2011-02-23|@|Akron|L|55|72|19|48|.396|5|23|.217|12|19|.632|4|25|8|4|2|10|19||26|54|.481|7|18|.389|13|22|.591|9|35|16|6|1|6|12
29|29|2011-02-26||Bowling Green State|W|84|77|25|52|.481|7|17|.412|27|36|.750|9|37|15|10|3|14|19||27|60|.450|8|18|.444|15|25|.600|11|28|14|5|5|13|23
30|30|2011-03-02|@|Buffalo|L|49|59|19|57|.333|7|23|.304|4|8|.500|8|29|11|7|3|10|13||21|60|.350|6|17|.353|11|15|.733|17|44|12|7|9|11|9
31|31|2011-03-04||Ohio|W|76|66|20|50|.400|6|15|.400|30|33|.909|6|32|8|2|2|8|23||20|53|.377|4|18|.222|22|29|.759|6|32|10|3|2|10|26
32|32|2011-03-10|N|Akron|L (2 OT)|75|82|24|60|.400|7|24|.292|20|36|.556|7|37|13|2|3|12|26||27|74|.365|7|24|.292|21|30|.700|15|47|14|7|2|11|28
33|33|2011-03-16|@|Rhode Island|L|59|76|21|53|.396|9|24|.375|8|12|.667|7|27|14|6|3|11|12||27|57|.474|12|23|.522|10|11|.909|7|36|20|6|3|10|11
