ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-13|@|Dayton|L|52|67|17|55|.309|3|19|.158|15|22|.682|7|25|10|6|2|9|12||28|69|.406|5|21|.238|6|13|.462|18|49|18|3|7|12|17
2|2|2010-11-15|@|Cincinnati|L|59|69|23|55|.418|1|9|.111|12|18|.667|9|29|11|7|2|19|19||22|57|.386|5|15|.333|20|30|.667|14|36|11|12|4|17|19
3|3|2010-11-20||Savannah State|W (1 OT)|68|62|21|47|.447|7|14|.500|19|28|.679|9|29|10|6|6|13|15||23|58|.397|5|20|.250|11|16|.688|12|27|12|7|4|11|20
4|4|2010-11-22|@|Niagara|L|63|65|25|54|.463|4|16|.250|9|13|.692|8|37|15|4|5|14|25||21|65|.323|6|20|.300|17|24|.708|13|32|8|5|3|8|20
5|5|2010-11-27||Florida A&M|W|70|61|25|51|.490|4|11|.364|16|29|.552|9|36|13|3|1|18|18||22|65|.338|5|21|.238|12|21|.571|16|39|9|10|2|14|24
6|6|2010-11-29||Navy|L|68|81|20|52|.385|4|20|.200|24|31|.774|16|37|14|5|3|20|23||25|55|.455|9|25|.360|22|31|.710|7|21|16|10|3|11|25
7|7|2010-12-02|@|Sacred Heart|W|66|52|20|42|.476|5|15|.333|21|27|.778|7|23|8|8|5|15|20||18|54|.333|5|15|.333|11|17|.647|16|31|7|6|2|19|19
8|8|2010-12-04|@|Quinnipiac|L|75|77|31|57|.544|3|9|.333|10|12|.833|8|29|19|3|3|12|19||30|63|.476|5|12|.417|12|22|.545|18|34|18|7|4|11|14
9|9|2010-12-07|@|Penn State|L|53|57|21|54|.389|5|13|.385|6|6|1.000|5|25|12|7|2|11|22||21|50|.420|4|12|.333|11|18|.611|12|35|10|2|5|15|11
10|10|2010-12-11|@|Loyola (MD)|L|42|65|17|59|.288|2|13|.154|6|9|.667|7|20|9|1|5|9|15||23|47|.489|5|11|.455|14|20|.700|4|34|14|4|6|11|14
11|11|2010-12-18|@|Albany (NY)|L|57|77|23|55|.418|4|19|.211|7|9|.778|4|16|14|6|3|10|18||29|58|.500|8|18|.444|11|16|.688|12|34|17|4|4|13|11
12|12|2010-12-20||American|L|64|69|23|47|.489|4|13|.308|14|20|.700|5|25|12|3|3|11|18||24|55|.436|8|18|.444|13|16|.813|7|26|15|3|0|9|21
13|13|2010-12-23|@|Northwestern|L|47|70|20|55|.364|6|17|.353|1|7|.143|7|28|12|10|2|14|14||29|61|.475|6|24|.250|6|10|.600|9|36|25|9|2|10|7
14|14|2010-12-29|@|Vermont|L (1 OT)|61|68|26|68|.382|5|16|.313|4|5|.800|10|31|11|7|3|16|23||26|53|.491|1|8|.125|15|26|.577|9|37|10|5|4|17|13
15|15|2011-01-02|@|Virginia Tech|L|34|99|9|53|.170|5|17|.294|11|21|.524|14|28|4|5|3|25|21||36|52|.692|6|15|.400|21|33|.636|8|38|21|15|9|13|20
16|16|2011-01-06||Saint Francis (PA)|W|63|56|19|44|.432|4|6|.667|21|34|.618|12|34|11|8|4|15|21||16|45|.356|3|12|.250|21|25|.840|7|25|7|4|5|14|26
17|17|2011-01-08||Robert Morris|L|48|51|16|48|.333|6|19|.316|10|15|.667|8|32|9|5|2|21|15||19|55|.345|5|13|.385|8|14|.571|11|33|10|6|4|18|19
18|18|2011-01-13|@|Long Island University|L|69|91|18|51|.353|3|13|.231|30|38|.789|12|33|8|10|3|19|24||32|63|.508|8|21|.381|19|32|.594|15|38|13|9|4|15|25
19|19|2011-01-15|@|St. Francis (NY)|W|70|61|25|43|.581|3|8|.375|17|25|.680|4|28|12|7|2|14|20||24|54|.444|6|20|.300|7|16|.438|7|20|10|9|3|11|25
20|20|2011-01-20||Sacred Heart|W|61|45|25|54|.463|6|20|.300|5|8|.625|8|34|15|3|2|13|19||14|48|.292|5|12|.417|12|21|.571|10|32|8|6|1|15|17
21|21|2011-01-22||Quinnipiac|W|72|63|23|51|.451|4|13|.308|22|33|.667|10|37|14|9|4|15|21||19|49|.388|8|15|.533|17|26|.654|7|28|10|6|3|16|25
22|22|2011-01-27|@|Central Connecticut State|L|52|71|18|47|.383|6|16|.375|10|15|.667|7|22|10|6|5|17|17||27|53|.509|7|12|.583|10|13|.769|7|29|16|10|2|13|16
23|23|2011-01-29|@|Bryant|L|60|62|20|53|.377|7|19|.368|13|17|.765|6|29|13|6|2|12|23||19|53|.358|3|16|.188|21|26|.808|11|36|10|7|2|14|15
24|24|2011-02-03||Monmouth|W|56|54|21|46|.457|9|21|.429|5|9|.556|5|23|12|5|4|12|18||17|44|.386|5|12|.417|15|21|.714|8|29|7|8|1|12|13
25|25|2011-02-05||Fairleigh Dickinson|W|70|59|26|61|.426|4|10|.400|14|19|.737|6|29|16|7|10|5|13||21|54|.389|6|15|.400|11|16|.688|8|34|12|1|3|15|15
26|26|2011-02-09||Wagner|W|71|57|24|43|.558|6|11|.545|17|22|.773|7|29|14|9|3|16|21||18|53|.340|5|20|.250|16|20|.800|12|24|10|8|0|15|20
27|27|2011-02-12|@|Wagner|L|65|70|19|41|.463|5|14|.357|22|30|.733|4|25|7|5|3|18|23||22|45|.489|4|13|.308|22|28|.786|5|22|15|7|2|17|25
28|28|2011-02-17||St. Francis (NY)|L|60|63|23|47|.489|8|18|.444|6|8|.750|2|23|15|5|1|14|19||25|51|.490|4|18|.222|9|17|.529|7|28|11|5|0|9|16
29|29|2011-02-19||Long Island University|L|64|84|27|59|.458|1|9|.111|9|23|.391|13|29|14|6|6|17|20||29|66|.439|7|23|.304|19|29|.655|23|50|17|8|2|18|22
30|30|2011-02-24|@|Robert Morris|L|57|65|18|52|.346|7|21|.333|14|21|.667|9|30|9|3|3|13|16||23|53|.434|5|16|.313|14|18|.778|7|30|11|5|3|13|20
31|31|2011-02-26|@|Saint Francis (PA)|W|64|55|25|51|.490|4|11|.364|10|16|.625|11|35|13|7|9|17|24||16|47|.340|2|13|.154|21|26|.808|6|24|11|8|2|14|17
32|32|2011-03-03|@|Quinnipiac|L|59|78|21|50|.420|5|12|.417|12|16|.750|7|22|12|5|1|9|20||32|64|.500|2|9|.222|12|16|.750|18|41|17|4|4|7|17
