ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-12|@|Houston|L (1 OT)|62|63|23|56|.411|4|17|.235|12|12|1.000|8|21|15|10|0|22|22||21|45|.467|7|23|.304|14|20|.700|13|32|10|12|7|26|20
2|2|2010-11-16|@|Louisiana State|W|62|53|19|53|.358|6|19|.316|18|27|.667|7|27|7|12|2|8|19||16|43|.372|6|18|.333|15|21|.714|7|36|8|3|4|18|22
3|3|2010-11-21|@|Oklahoma State|L|56|76|16|51|.314|7|23|.304|17|23|.739|8|18|9|7|0|10|17||31|49|.633|3|11|.273|11|14|.786|11|37|12|6|4|15|21
4|4|2010-11-26||Tulane|W|66|52|25|50|.500|5|12|.417|11|13|.846|8|28|17|7|1|17|20||17|48|.354|6|17|.353|12|18|.667|4|22|6|8|2|16|21
5|5|2010-11-29||Southern-New Orleans|W|89|52|33|63|.524|11|29|.379|12|18|.667|14|29|22|13|0|13|24||16|35|.457|0|3|.000|20|27|.741|7|24|3|7|3|29|20
6|6|2010-12-08||Loyola (LA)|W|75|41|27|54|.500|9|24|.375|12|17|.706|7|26|20|16|1|14|18||14|42|.333|3|10|.300|10|16|.625|9|28|7|6|1|28|19
7|7|2010-12-10|@|Wichita State|L|50|68|17|42|.405|6|19|.316|10|18|.556|7|23|10|3|0|12|20||23|54|.426|5|19|.263|17|19|.895|14|37|13|4|1|9|19
8|8|2010-12-13|@|Mississippi State|L|58|67|22|52|.423|5|23|.217|9|11|.818|7|22|8|8|1|5|16||24|47|.511|8|20|.400|11|14|.786|9|29|12|4|7|11|9
9|9|2010-12-16||Dillard|W|94|52|33|57|.579|12|19|.632|16|26|.615|12|28|23|12|1|11|25||16|45|.356|6|21|.286|14|20|.700|8|22|8|4|1|24|23
10|10|2010-12-21||Jarvis Christian|W|89|67|31|55|.564|3|14|.214|24|39|.615|10|31|23|13|0|22|22||20|52|.385|6|22|.273|21|26|.808|8|28|8|9|2|26|33
11|11|2011-01-03|@|Texas A&M|L|55|66|17|43|.395|7|23|.304|14|21|.667|4|18|12|9|3|10|20||22|44|.500|4|11|.364|18|26|.692|6|31|18|2|0|12|20
12|12|2011-01-08||Texas-Arlington|W|66|48|24|44|.545|5|16|.313|13|22|.591|8|18|18|9|0|15|17||18|29|.621|3|11|.273|9|14|.643|4|18|9|8|0|31|22
13|13|2011-01-12|@|Northwestern State|L|64|73|21|45|.467|9|17|.529|13|17|.765|5|22|12|7|3|17|26||21|46|.457|8|19|.421|23|29|.793|8|26|15|6|3|15|20
14|14|2011-01-15|@|Sam Houston State|L|56|74|18|62|.290|5|23|.217|15|22|.682|13|33|13|5|3|11|21||27|50|.540|7|14|.500|13|23|.565|11|44|24|6|2|16|20
15|15|2011-01-19||Central Arkansas|W|70|51|27|54|.500|1|15|.067|15|22|.682|7|28|18|11|2|9|17||17|44|.386|3|16|.188|14|24|.583|7|26|10|3|2|20|19
16|16|2011-01-22||Southeastern Louisiana|W|66|52|24|49|.490|8|15|.533|10|19|.526|10|30|13|4|1|10|16||21|54|.389|2|12|.167|8|12|.667|9|32|7|3|4|11|19
17|17|2011-01-26||McNeese State|L|65|66|22|49|.449|12|25|.480|9|14|.643|10|29|14|4|0|12|15||22|46|.478|5|14|.357|17|23|.739|6|27|7|7|1|7|13
18|18|2011-01-29||Lamar|W|78|71|28|60|.467|11|26|.423|11|15|.733|9|26|21|4|1|13|18||23|53|.434|7|22|.318|18|24|.750|10|31|11|7|5|18|18
19|19|2011-02-02|@|Texas A&M-Corpus Christi|W|72|52|28|54|.519|8|21|.381|8|13|.615|12|31|14|9|0|11|15||17|39|.436|1|10|.100|17|24|.708|7|21|7|7|3|15|14
20|20|2011-02-05|@|Texas State|L|60|75|21|60|.350|5|24|.208|13|18|.722|7|34|7|3|0|11|18||25|58|.431|7|23|.304|18|21|.857|10|42|14|4|4|12|18
21|21|2011-02-09||Stephen F. Austin|L|57|64|18|50|.360|11|29|.379|10|18|.556|3|15|11|14|2|6|17||21|43|.488|3|7|.429|19|25|.760|9|38|15|5|0|19|15
22|22|2011-02-12|@|Lamar|L|71|84|21|57|.368|9|30|.300|20|32|.625|7|31|15|8|1|13|26||25|55|.455|10|23|.435|24|35|.686|11|44|19|5|6|13|23
23|23|2011-02-19||Texas-San Antonio|W|54|52|17|43|.395|7|21|.333|13|19|.684|7|24|13|5|0|12|17||18|42|.429|5|12|.417|11|15|.733|6|25|12|5|3|17|18
24|24|2011-02-23|@|Central Arkansas|W|70|48|26|48|.542|6|17|.353|12|20|.600|9|35|18|4|2|11|17||16|46|.348|4|14|.286|12|21|.571|5|22|9|6|1|9|16
25|25|2011-02-26|@|McNeese State|L|51|71|19|47|.404|3|16|.188|10|11|.909|2|25|4|5|0|13|16||23|51|.451|8|19|.421|17|20|.850|6|30|14|5|6|8|13
26|26|2011-03-02||Northwestern State|W (1 OT)|83|81|23|44|.523|4|11|.364|33|40|.825|6|23|17|7|0|17|33||26|48|.542|5|11|.455|24|39|.615|8|24|12|9|2|17|29
27|27|2011-03-05|@|Southeastern Louisiana|L|43|50|15|42|.357|4|14|.286|9|12|.750|4|23|8|7|2|17|18||15|41|.366|2|11|.182|18|24|.750|10|32|11|9|1|18|15
