ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-12|@|Oregon|L (1 OT)|92|97|32|80|.400|9|20|.450|19|27|.704|20|42|14|2|2|17|21||35|79|.443|8|19|.421|19|23|.826|19|45|20|6|10|16|23
2|2|2010-11-13|N|California-Santa Barbara|W|68|60|22|40|.550|8|12|.667|16|29|.552|3|35|15|2|0|20|13||24|72|.333|5|22|.227|7|8|.875|12|33|6|9|3|12|25
3|3|2010-11-14|N|Denver|W|65|54|22|46|.478|3|7|.429|18|22|.818|8|26|8|3|1|10|13||19|42|.452|6|21|.286|10|12|.833|3|19|11|1|1|13|20
4|4|2010-11-20||Mayville State|W|103|63|36|62|.581|11|19|.579|20|28|.714|12|41|25|12|5|14|16||23|59|.390|9|30|.300|8|14|.571|9|21|13|7|2|19|22
5|5|2010-11-24|@|Minnesota|L|65|84|24|65|.369|8|21|.381|9|11|.818|10|30|18|8|1|14|22||27|60|.450|9|19|.474|21|32|.656|16|44|23|7|12|14|13
6|6|2010-11-27|@|Green Bay|L|69|71|27|56|.482|3|11|.273|12|18|.667|9|34|15|4|1|14|20||28|57|.491|2|10|.200|13|20|.650|7|28|9|4|7|8|17
7|7|2010-11-29||Valley City State|W|88|55|30|46|.652|7|12|.583|21|32|.656|6|27|17|8|5|15|20||18|44|.409|4|13|.308|15|20|.750|5|16|13|8|3|21|23
8|8|2010-12-04|@|South Dakota State|W|82|75|33|72|.458|4|13|.308|12|17|.706|23|50|6|5|5|18|22||26|71|.366|7|27|.259|16|22|.727|13|31|10|7|4|9|17
9|9|2010-12-11||North Dakota|W|81|55|31|60|.517|4|13|.308|15|29|.517|13|42|21|5|3|9|20||19|62|.306|1|13|.077|16|22|.727|15|34|5|4|2|15|23
10|10|2010-12-16||California-Davis|W|76|71|29|59|.492|5|12|.417|13|24|.542|12|33|14|6|1|12|15||26|51|.510|9|21|.429|10|12|.833|5|27|20|2|4|13|22
11|11|2010-12-18|@|Fresno State|L|69|82|22|59|.373|8|17|.471|17|24|.708|6|32|11|7|5|12|21||28|64|.438|6|16|.375|20|27|.741|10|39|15|10|6|10|16
12|12|2010-12-28|@|Missouri-Kansas City|L|73|75|29|65|.446|4|15|.267|11|14|.786|5|31|14|5|3|7|16||27|64|.422|8|24|.333|13|19|.684|12|40|11|3|5|12|16
13|13|2010-12-30|@|Southern Utah|L|68|77|20|56|.357|4|15|.267|24|33|.727|12|37|8|4|3|18|30||28|59|.475|2|6|.333|19|30|.633|7|27|17|8|8|10|30
14|14|2011-01-06||Oral Roberts|W|80|74|28|50|.560|7|17|.412|17|21|.810|6|22|17|7|4|10|19||27|53|.509|6|15|.400|14|18|.778|6|22|10|6|4|15|17
15|15|2011-01-08||Centenary (LA)|W|76|60|20|44|.455|12|25|.480|24|36|.667|10|25|17|12|3|16|16||23|52|.442|2|9|.222|12|17|.706|9|28|11|9|4|18|20
16|16|2011-01-13|@|IUPUI|L|64|67|24|51|.471|6|15|.400|10|14|.714|9|26|11|4|3|12|14||27|57|.474|3|10|.300|10|11|.909|12|29|9|9|1|8|11
17|17|2011-01-15|@|Western Illinois|L|62|67|22|58|.379|6|20|.300|12|17|.706|10|28|12|6|0|11|21||19|44|.432|8|15|.533|21|24|.875|8|31|9|1|2|15|18
18|18|2011-01-20||IPFW|L|80|84|25|48|.521|7|19|.368|23|33|.697|5|21|9|7|1|10|22||25|46|.543|9|13|.692|25|28|.893|5|23|6|4|1|16|27
19|19|2011-01-22||Oakland|L|76|83|32|69|.464|1|14|.071|11|16|.688|13|38|7|5|0|13|20||32|60|.533|7|16|.438|12|21|.571|7|31|12|6|6|13|19
20|20|2011-01-27||Southern Utah|W|87|75|32|57|.561|3|9|.333|20|21|.952|9|28|15|4|3|9|21||26|50|.520|3|9|.333|20|25|.800|7|23|13|3|5|13|20
21|21|2011-01-29||Missouri-Kansas City|W (2 OT)|89|88|29|60|.483|5|15|.333|26|34|.765|10|39|13|5|4|11|27||30|68|.441|9|25|.360|19|34|.559|15|37|13|3|3|10|23
22|22|2011-02-03|@|Centenary (LA)|W|83|63|36|64|.563|3|12|.250|8|16|.500|17|37|19|8|3|11|21||22|43|.512|3|6|.500|16|22|.727|3|18|7|5|3|15|18
23|23|2011-02-05|@|Oral Roberts|L|73|81|25|53|.472|5|12|.417|18|26|.692|9|26|12|6|2|18|21||28|56|.500|4|9|.444|21|32|.656|14|37|13|9|2|15|18
24|24|2011-02-10||Western Illinois|W|68|48|23|51|.451|6|14|.429|16|21|.762|9|27|11|10|2|14|12||19|43|.442|2|7|.286|8|11|.727|1|19|6|6|5|17|17
25|25|2011-02-12||IUPUI|L|72|76|27|58|.466|5|14|.357|13|19|.684|8|27|17|3|5|8|18||28|55|.509|4|11|.364|16|17|.941|6|25|5|5|9|7|16
26|26|2011-02-17|@|Oakland|L|69|71|25|61|.410|6|13|.462|13|18|.722|11|38|14|1|2|15|24||23|57|.404|5|21|.238|20|31|.645|10|34|13|6|7|10|16
27|27|2011-02-19|@|IPFW|L|61|73|20|53|.377|3|14|.214|18|27|.667|4|32|8|8|5|14|19||27|60|.450|5|21|.238|14|18|.778|6|35|21|2|3|15|20
28|28|2011-02-25||South Dakota State|W|84|61|30|60|.500|8|17|.471|16|24|.667|13|44|15|9|1|13|22||19|58|.328|4|18|.222|19|30|.633|11|29|5|5|3|12|19
29|29|2011-03-05|N|Oral Roberts|L|65|72|23|48|.479|4|15|.267|15|23|.652|7|27|13|4|3|13|20||24|57|.421|3|8|.375|21|25|.840|13|35|10|10|2|9|19
