ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-12|@|Portland State|L|81|83|31|59|.525|8|14|.571|11|24|.458|13|34|12|7|3|19|26||22|52|.423|8|17|.471|31|38|.816|9|28|14|5|3|16|22
2|2|2010-11-15|@|UCLA|L|69|79|26|51|.510|5|12|.417|12|17|.706|7|23|18|9|3|18|20||30|57|.526|5|16|.313|14|25|.560|12|32|21|7|2|13|18
3|3|2010-11-16|N|Nevada|W|76|75|25|58|.431|7|18|.389|19|27|.704|7|28|16|5|1|8|19||29|58|.500|9|19|.474|8|15|.533|7|29|18|3|1|13|22
4|4|2010-11-20||Cal State Bakersfield|L|64|66|25|62|.403|3|15|.200|11|18|.611|15|33|12|4|3|9|17||23|52|.442|7|20|.350|13|18|.722|7|25|12|4|4|7|13
5|5|2010-11-22|@|Missouri State|L|60|80|21|49|.429|6|14|.429|12|20|.600|6|21|12|8|1|11|25||26|43|.605|8|18|.444|20|28|.714|4|30|18|5|2|12|19
6|6|2010-11-23|N|Arkansas State|W|69|62|19|47|.404|6|14|.429|25|30|.833|11|35|9|5|6|13|19||21|53|.396|6|17|.353|14|22|.636|9|24|13|8|3|11|21
7|7|2010-11-28||Northern Arizona|L|74|88|26|63|.413|8|23|.348|14|18|.778|9|29|14|3|8|7|10||37|69|.536|8|14|.571|6|8|.750|11|37|28|5|6|5|17
8|8|2010-12-01|@|Pacific|W|70|60|23|45|.511|6|14|.429|18|25|.720|6|31|13|5|5|14|16||21|54|.389|5|24|.208|13|19|.684|8|24|13|3|2|11|17
9|9|2010-12-04||Texas-San Antonio|L|81|86|22|58|.379|8|28|.286|29|39|.744|17|41|10|4|1|12|25||28|58|.483|11|25|.440|19|29|.655|8|27|19|4|3|8|24
10|10|2010-12-07|@|Utah|L|60|67|25|65|.385|3|17|.176|7|15|.467|14|39|11|6|4|16|17||25|59|.424|6|23|.261|11|19|.579|9|34|15|12|7|11|14
11|11|2010-12-09||Redlands|W|89|71|29|61|.475|5|21|.238|26|36|.722|12|43|16|6|2|15|22||22|60|.367|7|26|.269|20|22|.909|6|26|16|5|2|14|27
12|12|2010-12-11|@|Fresno State|L|51|64|18|49|.367|4|20|.200|11|21|.524|9|33|9|6|3|27|23||22|60|.367|3|21|.143|17|28|.607|14|37|10|15|2|17|18
13|13|2010-12-18||California-Irvine|W|76|69|23|63|.365|7|19|.368|23|29|.793|12|42|13|5|3|11|22||19|61|.311|5|29|.172|26|32|.813|9|34|10|6|2|14|26
14|14|2010-12-21||Cal Poly|L|64|70|22|56|.393|6|20|.300|14|17|.824|8|28|10|6|5|8|20||22|48|.458|8|18|.444|18|25|.720|5|26|15|6|3|9|16
