ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-12||Occidental|W|83|66|30|51|.588|9|16|.563|14|18|.778|3|22|19|7|1|9|18||23|49|.469|5|8|.625|15|21|.714|9|26|7|7|4|13|17
2|2|2010-11-15|@|Stanford|L|48|64|17|45|.378|6|22|.273|8|9|.889|5|25|9|6|4|18|20||24|59|.407|3|16|.188|13|23|.565|16|36|14|7|4|11|14
3|3|2010-11-19||Boise State|L|60|65|20|48|.417|8|17|.471|12|15|.800|3|23|12|5|8|14|16||22|57|.386|6|17|.353|15|21|.714|12|38|12|7|5|15|13
4|4|2010-11-21||Cal State Fullerton|L|59|62|20|52|.385|6|15|.400|13|22|.591|11|32|12|3|3|15|20||19|48|.396|6|20|.300|18|23|.783|11|36|10|9|1|18|22
5|5|2010-11-28|@|New Mexico|L|46|75|20|54|.370|3|18|.167|3|6|.500|5|24|10|4|1|17|19||25|50|.500|8|17|.471|17|24|.708|8|32|18|12|3|14|14
6|6|2010-12-01||California-Irvine|L|82|90|30|65|.462|8|27|.296|14|23|.609|12|33|13|8|4|18|23||31|57|.544|9|17|.529|19|27|.704|5|30|15|14|0|20|26
7|7|2010-12-04|@|Cal State Fullerton|L|76|90|21|43|.488|5|15|.333|29|35|.829|5|23|7|1|1|17|27||27|46|.587|8|15|.533|28|38|.737|6|25|19|3|1|9|22
8|8|2010-12-07||Fresno State|L|70|74|25|50|.500|6|16|.375|14|23|.609|8|28|14|7|9|16|24||25|58|.431|7|22|.318|17|28|.607|14|34|12|8|4|16|23
9|9|2010-12-11|@|San Diego State|L|49|77|20|52|.385|3|15|.200|6|9|.667|7|28|6|1|1|10|17||28|60|.467|5|16|.313|16|20|.800|11|33|15|6|4|4|10
10|10|2010-12-13||La Verne|W|82|57|26|55|.473|9|16|.563|21|26|.808|7|34|12|8|0|13|15||20|47|.426|4|14|.286|13|23|.565|4|31|8|8|2|18|19
11|11|2010-12-22|N|Baylor|L|50|83|17|52|.327|3|19|.158|13|16|.813|7|20|10|3|2|18|14||35|64|.547|5|16|.313|8|15|.533|16|39|14|11|3|14|13
12|12|2010-12-23|N|Mississippi State|L|52|69|18|60|.300|9|30|.300|7|16|.438|9|38|11|6|0|16|18||24|62|.387|5|23|.217|16|21|.762|12|44|12|7|4|13|15
13|13|2010-12-25|N|Utah|W|67|64|23|49|.469|4|9|.444|17|29|.586|12|32|9|7|4|12|21||22|57|.386|2|16|.125|18|26|.692|17|37|7|3|3|16|23
14|14|2011-01-01|@|North Carolina State|L|54|76|20|59|.339|5|17|.294|9|15|.600|7|22|10|7|1|12|13||32|58|.552|3|11|.273|9|13|.692|11|44|17|6|4|17|15
