ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-12||Seattle|W|97|76|32|67|.478|8|20|.400|25|34|.735|18|49|20|10|0|13|27||26|62|.419|10|26|.385|14|28|.500|14|34|12|6|1|18|23
2|2|2010-11-17|@|San Jose State|L|64|74|24|58|.414|7|23|.304|9|18|.500|8|30|15|2|7|9|21||22|60|.367|11|26|.423|19|22|.864|10|35|13|2|1|7|18
3|3|2010-11-20||Colorado|W (1 OT)|83|81|26|59|.441|12|19|.632|19|27|.704|12|39|15|2|4|17|23||29|68|.426|6|20|.300|17|28|.607|11|35|9|10|6|9|19
4|4|2010-11-24|@|Montana State|L|59|76|21|52|.404|2|14|.143|15|26|.577|10|37|4|4|1|14|21||24|57|.421|10|32|.313|18|26|.692|9|31|11|6|4|7|20
5|5|2010-11-27||Loyola (IL)|L|62|63|21|45|.467|8|18|.444|12|19|.632|9|35|13|8|6|21|15||18|57|.316|9|25|.360|18|20|.900|10|24|10|10|2|11|18
6|6|2010-12-01||Holy Names|W|89|86|31|52|.596|6|13|.462|21|28|.750|11|42|16|3|4|23|21||30|66|.455|9|31|.290|17|24|.708|7|21|10|14|3|7|25
7|7|2010-12-04|@|Cal State Bakersfield|L|69|77|25|56|.446|4|17|.235|15|21|.714|8|31|10|4|0|16|24||28|56|.500|5|11|.455|16|27|.593|11|33|20|5|3|15|21
8|8|2010-12-08|@|Louisville|L|35|61|14|45|.311|2|14|.143|5|11|.455|8|36|5|2|2|15|21||22|61|.361|10|36|.278|7|16|.438|17|41|17|7|1|5|15
9|9|2010-12-12||Montana|W (1 OT)|50|48|17|42|.405|5|15|.333|11|22|.500|11|40|6|4|4|25|15||19|55|.345|5|25|.200|5|11|.455|7|25|8|11|9|13|17
10|10|2010-12-18|@|Washington|L|52|80|20|52|.385|5|15|.333|7|10|.700|8|30|11|1|1|16|18||33|72|.458|6|26|.231|8|13|.615|15|37|21|9|8|4|9
11|11|2010-12-21|N|San Diego State|L|56|62|21|50|.420|6|16|.375|8|14|.571|8|26|11|10|0|14|19||24|47|.511|5|17|.294|9|13|.692|8|27|10|6|6|15|13
12|12|2010-12-23|N|IUPUI|L|68|69|26|55|.473|11|25|.440|5|9|.556|4|30|23|5|5|9|13||25|57|.439|13|30|.433|6|9|.667|4|26|15|5|1|7|13
13|13|2010-12-28||Colorado State|L|61|69|20|50|.400|11|24|.458|10|14|.714|12|30|12|5|1|20|16||26|46|.565|6|19|.316|11|15|.733|4|24|13|12|3|17|17
14|14|2010-12-30||Hampton|W|69|57|23|58|.397|9|20|.450|14|16|.875|11|39|11|3|3|7|18||22|57|.386|7|23|.304|6|15|.400|14|38|9|1|8|10|17
15|15|2011-01-01||Dominican (CA)|W|68|47|23|54|.426|5|20|.250|17|23|.739|14|44|16|9|3|20|23||18|53|.340|0|4|.000|11|21|.524|9|29|6|6|1|19|17
16|16|2011-01-08|@|Santa Clara|W|74|67|24|51|.471|5|13|.385|21|35|.600|11|43|9|7|1|18|17||21|59|.356|12|37|.324|13|21|.619|10|34|15|6|7|13|23
17|17|2011-01-13|@|Saint Mary's (CA)|L|57|71|24|52|.462|4|15|.267|5|10|.500|7|29|10|8|0|15|12||28|62|.452|9|22|.409|6|11|.545|11|31|14|10|3|10|14
18|18|2011-01-15|@|San Diego|W|65|55|19|49|.388|6|18|.333|21|25|.840|9|39|12|6|3|19|18||20|55|.364|3|20|.150|12|17|.706|6|25|11|6|3|14|19
19|19|2011-01-20||Portland|W|81|74|28|49|.571|10|22|.455|15|23|.652|2|23|18|3|2|7|23||23|60|.383|7|22|.318|21|23|.913|14|37|11|2|3|8|22
20|20|2011-01-22||Gonzaga|W (1 OT)|96|91|31|68|.456|7|22|.318|27|32|.844|14|39|9|2|4|10|21||34|76|.447|8|21|.381|15|27|.556|18|43|22|4|5|9|27
21|21|2011-01-27|@|Loyola Marymount|W|61|60|25|67|.373|4|22|.182|7|11|.636|9|39|9|1|0|7|14||23|56|.411|7|15|.467|7|11|.636|5|35|15|2|8|13|15
22|22|2011-01-29|@|Pepperdine|L|88|94|33|66|.500|8|26|.308|14|24|.583|9|27|23|7|1|15|27||29|53|.547|7|18|.389|29|38|.763|4|30|21|9|1|16|22
23|23|2011-02-05||Santa Clara|W|68|62|23|55|.418|6|19|.316|16|23|.696|11|37|13|4|2|12|22||20|60|.333|3|20|.150|19|22|.864|13|38|8|6|4|10|22
24|24|2011-02-10||San Diego|W|61|47|23|55|.418|4|16|.250|11|19|.579|8|35|16|8|2|7|14||16|49|.327|2|12|.167|13|15|.867|5|32|7|5|3|14|20
25|25|2011-02-12||Saint Mary's (CA)|L|68|86|22|55|.400|2|15|.133|22|30|.733|10|28|3|9|2|14|23||28|51|.549|8|20|.400|22|25|.880|4|28|15|3|3|14|24
26|26|2011-02-17|@|Portland|W|82|73|25|53|.472|9|25|.360|23|35|.657|7|38|13|9|2|9|18||27|60|.450|9|20|.450|10|17|.588|6|29|18|6|1|12|23
27|27|2011-02-19|@|Gonzaga|L|53|70|20|53|.377|6|17|.353|7|10|.700|5|30|8|4|1|18|13||28|65|.431|8|25|.320|6|8|.750|10|34|16|7|6|7|15
28|28|2011-02-24||Pepperdine|W (1 OT)|79|78|26|69|.377|9|25|.360|18|22|.818|14|42|15|6|7|13|15||33|83|.398|4|19|.211|8|14|.571|20|49|12|8|8|8|18
29|29|2011-02-26||Loyola Marymount|W|77|75|26|62|.419|6|25|.240|19|26|.731|11|39|15|6|7|12|22||24|66|.364|5|15|.333|22|23|.957|11|38|12|3|4|14|18
30|30|2011-03-05|N|Pepperdine|W|76|59|30|54|.556|9|21|.429|7|18|.389|7|40|13|4|2|10|21||17|53|.321|8|22|.364|17|28|.607|8|31|8|5|0|8|16
31|31|2011-03-06|N|Gonzaga|L|67|71|21|46|.457|5|17|.294|20|26|.769|7|30|9|4|0|16|22||22|54|.407|3|14|.214|24|29|.828|7|25|8|10|1|8|20
32|32|2011-03-16||Idaho|W|81|73|23|50|.460|10|26|.385|25|28|.893|9|43|17|8|4|24|20||26|61|.426|8|25|.320|13|20|.650|6|24|17|11|3|17|21
33|33|2011-03-20|@|Hawaii|W|77|74|25|72|.347|6|29|.207|21|24|.875|14|40|10|10|1|11|19||28|58|.483|2|12|.167|16|25|.640|6|35|12|5|7|18|19
34|34|2011-03-22||Santa Clara|L|91|95|36|68|.529|10|28|.357|9|15|.600|9|36|20|4|1|12|22||31|63|.492|9|21|.429|24|33|.727|10|33|14|5|5|6|16
