ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-12||Arkansas-Little Rock|L|47|57|13|48|.271|8|30|.267|13|15|.867|7|30|8|4|3|13|20||18|46|.391|5|7|.714|16|21|.762|6|31|12|7|2|11|17
2|2|2010-11-16|@|Texas Christian|L|64|84|25|52|.481|6|22|.273|8|14|.571|3|25|16|7|1|17|13||35|65|.538|11|18|.611|3|4|.750|8|31|19|9|2|11|15
3|3|2010-11-19||Portland State|W|69|53|24|51|.471|10|24|.417|11|14|.786|9|27|18|6|2|7|17||18|44|.409|5|18|.278|12|16|.750|7|23|6|2|2|13|14
4|4|2010-11-20||California-Riverside|L (1 OT)|69|73|22|48|.458|16|37|.432|9|13|.692|2|15|19|4|1|14|18||27|46|.587|6|11|.545|13|19|.684|5|26|15|7|2|19|19
5|5|2010-11-21||Lamar|W|102|70|34|47|.723|9|15|.600|25|29|.862|4|28|20|3|2|12|19||24|59|.407|7|21|.333|15|26|.577|12|22|12|4|0|11|26
6|6|2010-11-24||Wayland Baptist|W|65|32|23|48|.479|13|26|.500|6|9|.667|4|20|14|9|4|8|17||10|41|.244|5|15|.333|7|11|.636|16|39|6|3|1|24|15
7|7|2010-11-28||Central Arkansas|W|76|72|27|50|.540|5|16|.313|17|20|.850|7|27|10|7|2|13|10||28|58|.483|12|26|.462|4|8|.500|9|23|17|10|2|11|18
8|8|2010-12-01|@|Louisiana Tech|L|64|69|21|56|.375|8|28|.286|14|16|.875|4|23|9|9|0|11|24||23|48|.479|9|16|.563|14|24|.583|8|34|15|1|1|22|20
9|9|2010-12-04||Grambling|W|71|51|27|44|.614|10|18|.556|7|11|.636|3|26|21|9|1|19|14||19|49|.388|5|18|.278|8|11|.727|6|21|10|8|2|19|16
10|10|2010-12-18|@|McMurry|W|70|67|27|55|.491|7|21|.333|9|9|1.000|7|30|19|5|6|18|11||27|66|.409|8|20|.400|5|8|.625|17|36|14|7|1|17|16
11|11|2010-12-22||Alabama State|W|49|38|13|39|.333|7|22|.318|16|18|.889|3|23|10|8|3|13|12||14|50|.280|5|17|.294|5|6|.833|10|28|8|5|4|13|17
12|12|2010-12-29||Southeast Missouri State|W|71|59|20|45|.444|7|13|.538|24|33|.727|8|33|9|5|2|12|23||19|53|.358|7|19|.368|14|28|.500|13|34|10|4|2|16|24
13|13|2011-01-01||Dallas Christian|W|82|49|26|50|.520|12|26|.462|18|20|.900|7|35|14|5|2|16|10||18|52|.346|5|17|.294|8|11|.727|6|21|9|11|3|17|20
14|14|2011-01-05||Mississippi|L|57|75|20|46|.435|11|27|.407|6|13|.462|7|21|11|4|2|11|15||30|53|.566|6|16|.375|9|12|.750|10|33|9|7|2|8|18
15|15|2011-01-08|@|Tulane|L|70|79|27|50|.540|6|15|.400|10|14|.714|6|26|16|5|4|12|21||25|54|.463|9|21|.429|20|21|.952|7|23|18|5|0|9|13
16|16|2011-01-12||Memphis|W|64|58|20|42|.476|9|16|.563|15|22|.682|5|22|10|7|1|15|16||25|53|.472|5|13|.385|3|13|.231|14|33|8|7|1|18|23
17|17|2011-01-15||Houston|L|68|70|26|52|.500|6|21|.286|10|16|.625|9|28|16|6|7|11|15||23|57|.404|11|19|.579|13|15|.867|14|31|10|4|1|9|15
18|18|2011-01-19|@|Alabama-Birmingham|L|53|67|20|51|.392|5|16|.313|8|9|.889|7|25|13|3|2|14|15||24|49|.490|8|24|.333|11|15|.733|6|27|10|9|4|9|16
19|19|2011-01-22||Southern Mississippi|W|79|65|30|43|.698|12|18|.667|7|13|.538|2|17|19|5|5|11|16||21|49|.429|7|20|.350|16|18|.889|10|25|10|2|1|15|18
20|20|2011-01-26|@|Tulsa|W|59|58|24|53|.453|7|15|.467|4|4|1.000|3|22|13|8|6|10|14||21|46|.457|10|19|.526|6|14|.429|5|30|15|2|4|18|8
21|21|2011-01-29|@|Rice|W|75|68|27|48|.563|11|26|.423|10|14|.714|2|18|22|11|4|15|19||22|50|.440|6|15|.400|18|24|.750|11|30|12|9|1|19|17
22|22|2011-02-02||East Carolina|W|46|41|17|45|.378|5|17|.294|7|10|.700|3|25|9|7|2|9|12||12|47|.255|6|29|.207|11|14|.786|11|38|7|2|0|14|17
23|23|2011-02-09||Tulane|W|66|61|23|36|.639|10|17|.588|10|17|.588|4|23|14|5|4|16|14||22|51|.431|8|20|.400|9|12|.750|6|19|10|7|0|11|19
24|24|2011-02-12|@|Texas-El Paso|L|57|67|23|48|.479|7|21|.333|4|5|.800|4|24|15|5|2|13|17||23|45|.511|6|17|.353|15|19|.789|4|26|15|2|0|9|12
25|25|2011-02-16|@|Houston|W|65|51|25|44|.568|6|17|.353|9|11|.818|5|23|18|13|3|12|12||22|47|.468|6|14|.429|1|1|1.000|5|19|13|7|3|15|11
26|26|2011-02-19||Tulsa|L|66|74|18|40|.450|7|14|.500|23|30|.767|6|21|10|10|4|18|23||25|50|.500|5|12|.417|19|30|.633|15|32|9|5|4|16|22
