ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-12||Howard Payne|W|114|49|37|75|.493|8|19|.421|32|46|.696|26|58|23|15|3|10|31||14|51|.275|1|18|.056|20|36|.556|9|26|7|3|3|21|32
2|2|2010-11-15||Longwood|W|80|54|28|59|.475|6|18|.333|18|26|.692|10|36|18|12|2|15|23||17|46|.370|4|20|.200|16|27|.593|4|30|11|2|1|24|24
3|3|2010-11-19|@|Texas Tech|L|58|70|24|58|.414|3|11|.273|7|15|.467|13|36|10|4|1|13|17||29|56|.518|3|16|.188|9|16|.563|6|27|13|8|8|7|15
4|4|2010-11-23|@|Louisiana-Monroe|W|65|64|22|44|.500|6|13|.462|15|19|.789|3|17|16|4|2|12|16||23|51|.451|6|16|.375|12|15|.800|13|31|11|7|2|16|18
5|5|2010-11-27||Science and Arts of Oklahoma|W|86|47|34|61|.557|2|8|.250|16|22|.727|14|43|15|7|3|11|16||16|53|.302|7|24|.292|8|12|.667|5|17|14|2|3|15|19
6|6|2010-12-02|@|Texas A&M|L|53|62|18|51|.353|3|16|.188|14|19|.737|9|24|10|8|0|10|18||21|45|.467|8|17|.471|12|16|.750|8|33|14|3|5|16|17
7|7|2010-12-10||Grambling|W|62|41|23|57|.404|1|8|.125|15|22|.682|13|42|17|13|3|14|11||18|55|.327|2|11|.182|3|9|.333|11|31|5|4|5|22|18
8|8|2010-12-11||Chicago State|W|94|38|29|53|.547|10|19|.526|26|31|.839|11|29|20|15|0|10|14||16|46|.348|4|12|.333|2|3|.667|9|21|9|3|2|26|24
9|9|2010-12-18||Jarvis Christian|W|76|45|28|62|.452|1|13|.077|19|26|.731|12|43|10|9|5|11|10||17|59|.288|6|20|.300|5|6|.833|6|31|10|9|2|18|26
10|10|2010-12-20|@|Texas-El Paso|L|52|61|21|55|.382|5|19|.263|5|13|.385|7|29|15|6|0|16|27||19|41|.463|2|10|.200|21|32|.656|3|31|12|8|4|18|19
11|11|2010-12-29||Louisiana-Monroe|W|60|36|23|50|.460|7|17|.412|7|14|.500|12|34|15|5|2|16|16||15|41|.366|1|10|.100|5|11|.455|5|22|4|8|3|16|18
12|12|2011-01-03||Wiley|W|86|49|30|56|.536|4|11|.364|22|26|.846|13|37|18|12|2|18|14||19|53|.358|2|7|.286|9|12|.750|7|18|8|12|2|23|20
13|13|2011-01-08|@|Southeastern Louisiana|L|54|64|19|54|.352|3|15|.200|13|18|.722|16|31|5|8|1|15|22||19|40|.475|6|16|.375|20|29|.690|9|25|10|8|3|14|18
14|14|2011-01-12||Central Arkansas|W|75|63|26|51|.510|3|8|.375|20|26|.769|15|42|16|4|3|16|22||22|52|.423|4|12|.333|15|25|.600|8|20|11|10|2|10|20
15|15|2011-01-15|@|Texas-San Antonio|W|68|59|23|49|.469|2|11|.182|20|26|.769|10|28|10|6|1|12|23||21|46|.457|4|10|.400|13|19|.684|8|23|10|4|3|17|25
16|16|2011-01-22||Texas-Arlington|L|52|62|21|56|.375|7|20|.350|3|7|.429|13|23|13|7|0|14|15||20|41|.488|8|19|.421|14|16|.875|6|26|9|5|1|16|12
17|17|2011-01-26|@|Sam Houston State|W|63|49|25|42|.595|4|8|.500|9|11|.818|8|26|19|9|0|19|21||17|42|.405|0|11|.000|15|19|.789|9|20|13|11|0|17|18
18|18|2011-01-29||Texas A&M-Corpus Christi|L|45|46|18|50|.360|1|10|.100|8|11|.727|13|28|13|10|0|11|16||20|36|.556|3|7|.429|3|11|.273|5|22|12|5|3|19|17
19|19|2011-02-02|@|Texas State|L|61|66|24|49|.490|4|14|.286|9|11|.818|5|24|15|0|1|17|23||20|48|.417|3|10|.300|23|29|.793|8|24|8|9|2|10|15
20|20|2011-02-05||McNeese State|W|65|50|26|49|.531|4|12|.333|9|13|.692|12|36|18|2|0|14|9||20|54|.370|5|21|.238|5|8|.625|9|18|12|5|3|10|19
21|21|2011-02-09|@|Nicholls State|W|64|57|21|43|.488|3|7|.429|19|25|.760|9|38|15|5|0|19|15||18|50|.360|11|29|.379|10|18|.556|3|15|11|14|2|6|17
22|22|2011-02-12||Texas-San Antonio|W|70|66|23|43|.535|4|10|.400|20|21|.952|4|20|14|6|3|17|21||21|49|.429|4|20|.200|20|22|.909|9|22|11|4|1|15|20
23|23|2011-02-16|@|Texas-Arlington|L (1 OT)|65|66|26|60|.433|4|11|.364|9|15|.600|13|41|20|2|1|14|18||26|60|.433|8|23|.348|6|14|.429|8|30|10|4|5|10|22
24|24|2011-02-19||Texas State|W (1 OT)|73|70|25|57|.439|2|12|.167|21|31|.677|11|35|16|3|1|9|17||27|59|.458|4|18|.222|12|17|.706|6|28|17|4|2|8|25
25|25|2011-02-23||Lamar|W|60|55|21|49|.429|3|7|.429|15|19|.789|6|24|17|8|3|13|18||22|56|.393|1|8|.125|10|13|.769|12|33|5|4|4|17|19
26|26|2011-02-27|@|Texas A&M-Corpus Christi|W|75|68|28|50|.560|1|10|.100|18|21|.857|9|25|13|6|1|9|15||24|47|.511|6|14|.429|14|20|.700|8|20|10|2|3|13|18
27|27|2011-03-02||Sam Houston State|L|40|55|17|43|.395|2|12|.167|4|7|.571|2|19|13|5|0|14|7||26|50|.520|2|18|.111|1|2|.500|7|33|15|10|0|15|11
28|28|2011-03-05|@|Northwestern State|L|65|70|24|63|.381|4|11|.364|13|21|.619|15|37|9|6|1|17|21||24|51|.471|8|22|.364|14|20|.700|7|30|10|9|8|12|19
29|29|2011-03-09|N|Sam Houston State|L|45|61|19|47|.404|5|10|.500|2|4|.500|6|22|11|3|1|8|15||24|42|.571|5|12|.417|8|13|.615|4|25|15|5|2|8|9
