ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-12||Jackson State|W|86|62|31|54|.574|11|20|.550|13|22|.591|3|26|24|10|2|9|21||21|50|.420|6|19|.316|14|20|.700|9|29|14|4|1|18|19
2|2|2010-11-16||Southern Methodist|W|84|64|35|65|.538|11|18|.611|3|4|.750|8|31|19|9|2|11|15||25|52|.481|6|22|.273|8|14|.571|3|25|16|7|1|17|13
3|3|2010-11-20|N|Rider|L|61|76|22|60|.367|4|19|.211|13|22|.591|11|30|11|8|2|12|18||28|49|.571|7|18|.389|13|21|.619|5|33|14|7|6|16|19
4|4|2010-11-21|N|Bradley|W|74|68|26|54|.481|6|16|.375|16|19|.842|4|22|17|10|5|13|20||23|53|.434|5|16|.313|17|23|.739|11|33|14|5|1|17|17
5|5|2010-11-22|N|Massachusetts|L|48|67|17|57|.298|3|20|.150|11|17|.647|9|29|5|5|2|17|21||27|57|.474|4|15|.267|9|18|.500|10|34|11|8|4|13|18
6|6|2010-11-27||Houston|W|79|63|29|64|.453|4|14|.286|17|26|.654|12|36|11|8|2|11|22||21|52|.404|8|19|.421|13|25|.520|7|29|11|2|2|19|21
7|7|2010-11-29||Southern California|W|81|69|30|59|.508|5|19|.263|16|20|.800|11|39|15|6|3|13|23||27|60|.450|4|17|.235|11|23|.478|9|29|15|7|1|10|19
8|8|2010-12-01||Prairie View|W|78|61|31|60|.517|7|18|.389|9|19|.474|10|40|18|5|4|17|12||24|64|.375|8|23|.348|5|9|.556|10|36|11|6|3|18|17
9|9|2010-12-04||Northern Iowa|L|60|64|21|50|.420|6|19|.316|12|15|.800|7|30|13|3|2|9|20||22|47|.468|6|17|.353|14|22|.636|3|26|13|6|3|8|15
10|10|2010-12-08|@|Texas Tech|W|81|77|30|69|.435|5|17|.294|16|25|.640|18|42|13|6|4|14|22||26|65|.400|2|16|.125|23|24|.958|12|33|12|8|9|10|21
11|11|2010-12-11|@|Nebraska|L|56|70|22|58|.379|11|28|.393|1|5|.200|7|22|13|9|1|12|15||24|48|.500|10|17|.588|12|15|.800|7|37|9|5|3|17|14
12|12|2010-12-21||Northwestern State|W|96|79|32|56|.571|7|16|.438|25|32|.781|10|35|19|4|2|19|24||28|60|.467|7|21|.333|16|26|.615|8|19|18|6|3|18|28
13|13|2010-12-28||Chicago State|W|99|72|35|61|.574|12|22|.545|17|24|.708|7|36|25|11|2|15|24||25|59|.424|2|11|.182|20|28|.714|8|29|17|5|2|16|23
14|14|2010-12-30|@|Tulsa|L|66|69|22|62|.355|6|19|.316|16|20|.800|10|36|7|5|1|5|18||22|62|.355|7|20|.350|18|24|.750|11|41|13|1|4|8|18
15|15|2011-01-02|@|Rice|L|61|70|23|47|.489|7|20|.350|8|15|.533|3|24|14|7|2|16|22||21|50|.420|2|16|.125|26|30|.867|6|31|12|7|2|11|16
16|16|2011-01-05||San Diego State|L|53|66|20|55|.364|5|21|.238|8|12|.667|11|34|11|3|1|12|13||29|65|.446|4|22|.182|4|6|.667|13|38|17|8|5|9|12
17|17|2011-01-08|@|Nevada-Las Vegas|L|49|83|16|51|.314|7|22|.318|10|13|.769|10|29|10|1|1|23|23||30|59|.508|3|16|.188|20|29|.690|12|36|17|13|4|10|16
18|18|2011-01-12||Wyoming|W|78|60|29|55|.527|10|21|.476|10|13|.769|8|28|21|7|3|10|17||22|48|.458|4|18|.222|12|17|.706|5|22|12|4|1|14|10
19|19|2011-01-15|@|Colorado State|L|69|79|25|54|.463|5|17|.294|14|21|.667|5|29|11|6|1|15|19||32|53|.604|4|12|.333|11|24|.458|3|30|22|10|2|11|16
20|20|2011-01-18|@|Brigham Young|L|67|83|25|65|.385|8|18|.444|9|14|.643|10|33|16|5|2|11|20||27|55|.491|8|18|.444|21|26|.808|6|40|14|6|3|13|16
21|21|2011-01-22||Utah|L|62|75|27|63|.429|3|13|.231|5|12|.417|9|25|12|4|6|7|17||29|53|.547|7|17|.412|10|16|.625|8|34|12|2|6|15|12
22|22|2011-01-26|@|New Mexico|L|46|71|19|56|.339|4|18|.222|4|7|.571|10|28|12|6|0|11|15||27|56|.482|10|28|.357|7|7|1.000|9|34|21|5|3|12|9
23|23|2011-01-29||Air Force|L (1 OT)|65|66|25|58|.431|8|27|.296|7|8|.875|10|36|17|3|2|14|17||25|51|.490|10|22|.455|6|15|.400|3|25|19|4|1|11|12
