ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-08||Navy|W|83|52|30|59|.508|4|17|.235|19|34|.559|10|45|16|5|5|15|17||19|63|.302|4|23|.174|10|18|.556|5|26|8|5|5|16|24
2|2|2010-11-10||Louisiana Tech|W|89|58|34|74|.459|4|16|.250|17|22|.773|12|40|18|12|7|14|21||21|64|.328|3|14|.214|13|20|.650|13|38|4|6|5|22|21
3|3|2010-11-18|N|Illinois|W (1 OT)|90|84|31|69|.449|3|12|.250|25|44|.568|15|37|15|6|10|10|18||28|73|.384|10|29|.345|18|28|.643|13|37|10|4|7|12|29
4|4|2010-11-19|N|Pittsburgh|L|66|68|21|50|.420|6|13|.462|18|26|.692|12|33|11|6|3|17|18||24|57|.421|7|14|.500|13|24|.542|13|31|16|5|2|11|23
5|5|2010-11-23||Sam Houston State|W|84|50|33|60|.550|3|10|.300|15|19|.789|7|39|12|4|6|14|15||21|72|.292|1|10|.100|7|8|.875|15|36|6|4|2|15|19
6|6|2010-11-27||Rice|W|62|59|20|49|.408|11|25|.440|11|18|.611|11|30|15|1|3|7|13||21|51|.412|6|15|.400|11|16|.688|8|25|10|4|1|6|12
7|7|2010-12-01||Lamar|W|76|55|24|53|.453|5|18|.278|23|37|.622|10|45|15|7|9|23|18||18|70|.257|1|9|.111|18|23|.783|15|37|3|12|2|21|24
8|8|2010-12-05|@|Southern California|L|56|73|18|56|.321|4|15|.267|16|20|.800|7|27|10|3|2|7|19||23|47|.489|4|10|.400|23|29|.793|6|33|10|2|4|10|16
9|9|2010-12-11||Texas State|W|101|65|35|67|.522|11|19|.579|20|30|.667|18|41|19|9|3|12|18||26|56|.464|5|13|.385|8|18|.444|8|23|13|7|2|17|26
10|10|2010-12-14||North Florida|W|70|48|22|63|.349|5|17|.294|21|30|.700|17|50|12|6|8|15|20||15|53|.283|3|16|.188|15|23|.652|7|29|5|7|0|18|25
11|11|2010-12-18|N|North Carolina|W|78|76|30|68|.441|5|14|.357|13|19|.684|15|39|13|3|1|10|22||29|65|.446|3|10|.300|15|20|.750|10|33|13|3|2|12|19
12|12|2010-12-22|@|Michigan State|W|67|55|26|63|.413|4|13|.308|11|21|.524|10|39|12|11|3|10|17||18|62|.290|3|16|.188|16|20|.800|16|45|10|4|5|16|20
13|13|2010-12-31||Coppin State|W|95|75|31|61|.508|13|29|.448|20|28|.714|20|42|19|5|4|12|13||25|56|.446|13|27|.481|12|13|.923|4|16|8|3|1|9|21
14|14|2011-01-04||Arkansas|W|79|46|32|70|.457|9|18|.500|6|13|.462|13|37|15|13|8|10|13||17|49|.347|3|13|.231|9|12|.750|6|28|5|8|5|23|17
15|15|2011-01-08||Connecticut|L (1 OT)|81|82|31|68|.456|5|13|.385|14|23|.609|11|38|15|5|6|9|15||32|84|.381|6|15|.400|12|14|.857|20|48|10|6|3|9|19
16|16|2011-01-11|@|Texas Tech|W|83|52|29|53|.547|3|12|.250|22|35|.629|11|39|14|6|3|14|16||23|59|.390|0|11|.000|6|10|.600|7|23|2|3|3|13|28
17|17|2011-01-15||Oklahoma|W|66|46|24|53|.453|7|12|.583|11|21|.524|10|33|14|8|1|10|11||20|51|.392|1|15|.067|5|9|.556|9|30|7|4|0|15|21
18|18|2011-01-19||Texas A&M|W|81|60|29|50|.580|4|9|.444|19|22|.864|8|31|16|3|7|7|17||22|53|.415|6|14|.429|10|17|.588|12|23|7|2|0|8|21
19|19|2011-01-22|@|Kansas|W|74|63|22|48|.458|5|11|.455|25|31|.806|7|40|6|7|9|15|21||23|64|.359|6|19|.316|11|18|.611|11|33|13|5|2|12|23
20|20|2011-01-26|@|Oklahoma State|W|61|46|21|45|.467|6|11|.545|13|19|.684|8|33|13|6|3|14|13||18|56|.321|1|11|.091|9|14|.643|12|31|6|6|3|9|17
21|21|2011-01-29||Missouri|W|71|58|26|50|.520|3|10|.300|16|34|.471|13|40|15|7|1|15|20||19|56|.339|4|18|.222|16|21|.762|9|28|6|7|3|13|24
22|22|2011-01-31|@|Texas A&M|W|69|49|27|54|.500|2|8|.250|13|22|.591|9|36|15|5|9|9|21||17|55|.309|1|12|.083|14|21|.667|11|31|7|3|1|10|18
23|23|2011-02-05||Texas Tech|W|76|60|28|56|.500|8|16|.500|12|19|.632|10|32|15|7|4|16|14||21|55|.382|5|11|.455|13|21|.619|13|30|8|5|0|17|19
24|24|2011-02-09|@|Oklahoma|W|68|52|25|47|.532|4|13|.308|14|19|.737|5|35|12|2|5|13|15||18|56|.321|5|13|.385|11|15|.733|5|21|10|4|3|8|17
25|25|2011-02-12||Baylor|W|69|60|22|52|.423|3|10|.300|22|37|.595|10|38|7|6|8|13|15||26|65|.400|3|14|.214|5|8|.625|8|34|7|7|4|13|24
26|26|2011-02-16||Oklahoma State|W|73|55|25|57|.439|7|18|.389|16|28|.571|10|36|11|9|7|9|15||21|56|.375|3|9|.333|10|18|.556|10|33|8|5|3|17|19
27|27|2011-02-19|@|Nebraska|L|67|70|20|55|.364|8|19|.421|19|28|.679|14|28|10|5|3|12|22||24|51|.471|4|10|.400|18|25|.720|9|31|12|6|2|11|22
28|28|2011-02-22||Iowa State|W|76|53|29|62|.468|5|12|.417|13|21|.619|14|45|12|5|5|11|13||22|66|.333|6|24|.250|3|8|.375|12|33|11|9|4|13|19
29|29|2011-02-26|@|Colorado|L|89|91|29|68|.426|11|23|.478|20|34|.588|14|36|19|5|3|6|26||32|60|.533|8|21|.381|19|32|.594|8|40|21|2|4|10|23
30|30|2011-02-28||Kansas State|L|70|75|23|68|.338|5|18|.278|19|26|.731|16|36|12|3|7|8|21||27|54|.500|5|14|.357|16|21|.762|8|32|10|7|10|9|20
31|31|2011-03-05|@|Baylor|W|60|54|21|59|.356|2|15|.133|16|27|.593|21|42|7|3|3|7|16||20|47|.426|4|15|.267|10|13|.769|6|26|9|3|4|13|22
32|32|2011-03-10|N|Oklahoma|W|74|54|29|57|.509|6|14|.429|10|17|.588|12|36|18|7|4|13|14||19|47|.404|3|13|.231|13|13|1.000|1|19|12|6|4|13|21
33|33|2011-03-11|N|Texas A&M|W|70|58|26|53|.491|6|15|.400|12|18|.667|15|36|13|6|3|12|21||17|48|.354|3|11|.273|21|27|.778|13|28|7|8|0|10|19
34|34|2011-03-12|N|Kansas|L|73|85|27|66|.409|7|20|.350|12|15|.800|9|30|12|2|4|7|17||33|58|.569|7|17|.412|12|18|.667|8|38|19|4|4|10|19
35|35|2011-03-18|N|Oakland|W|85|81|30|63|.476|4|9|.444|21|26|.808|12|35|14|4|9|10|14||33|75|.440|7|29|.241|8|11|.727|14|34|12|7|3|7|17
36|36|2011-03-20|N|Arizona|L|69|70|24|53|.453|3|11|.273|18|22|.818|7|29|13|5|7|13|17||24|54|.444|8|14|.571|14|22|.636|9|30|17|8|2|11|20
