ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2010-11-13||McNeese State|W|118|64|43|92|.467|12|30|.400|20|42|.476|28|67|24|12|5|12|27||18|55|.327|7|20|.350|21|38|.553|6|26|5|6|5|27|25
2|2|2010-11-16||Eastern Washington|W|98|72|37|76|.487|13|33|.394|11|17|.647|15|33|28|14|5|10|20||26|57|.456|3|12|.250|17|27|.630|11|37|8|8|3|23|17
3|3|2010-11-22|N|Virginia|W|106|63|40|69|.580|17|26|.654|9|13|.692|10|38|22|8|4|9|21||22|58|.379|4|16|.250|15|26|.577|13|33|9|4|2|17|17
4|4|2010-11-23|N|Kentucky|L|67|74|25|65|.385|3|13|.231|14|22|.636|10|32|9|8|7|14|23||25|64|.391|3|17|.176|21|34|.618|17|45|7|8|9|15|22
5|5|2010-11-24|N|Michigan State|L|71|76|25|52|.481|6|15|.400|15|25|.600|7|22|13|7|2|15|19||25|51|.490|8|23|.348|18|25|.720|9|24|11|8|5|19|22
6|6|2010-11-30||Long Beach State|W|102|75|41|67|.612|14|26|.538|6|10|.600|9|34|24|10|7|15|22||26|61|.426|8|19|.421|15|25|.600|13|29|14|7|2|18|14
7|7|2010-12-04||Texas Tech|W|108|79|41|73|.562|9|17|.529|17|23|.739|16|36|21|9|8|14|19||29|63|.460|3|10|.300|18|25|.720|10|26|11|4|3|20|20
8|8|2010-12-06||Portland|W|94|72|31|58|.534|13|23|.565|19|27|.704|10|35|20|8|2|9|16||27|61|.443|8|25|.320|10|16|.625|8|28|12|1|1|13|23
9|9|2010-12-11|@|Texas A&M|L|62|63|20|53|.377|6|22|.273|16|16|1.000|8|28|11|9|3|20|24||23|56|.411|0|8|.000|17|25|.680|15|35|11|10|5|18|20
10|10|2010-12-18||San Francisco|W|80|52|33|72|.458|6|26|.231|8|13|.615|15|37|21|9|8|4|9||20|52|.385|5|15|.333|7|10|.700|8|30|11|1|1|16|18
11|11|2010-12-22||Nevada|W|90|60|35|83|.422|11|29|.379|9|15|.600|21|55|18|7|7|5|23||17|60|.283|2|12|.167|24|33|.727|12|40|5|2|4|11|17
12|12|2010-12-29|@|Southern California|W (1 OT)|73|67|22|55|.400|7|19|.368|22|31|.710|12|40|7|3|3|17|27||19|55|.345|5|21|.238|24|32|.750|7|26|10|9|2|10|22
13|13|2010-12-31|@|UCLA|W|74|63|29|58|.500|4|15|.267|12|15|.800|10|33|17|4|1|9|23||18|51|.353|2|11|.182|25|36|.694|10|30|11|5|0|10|17
14|14|2011-01-06||Oregon|W|87|69|36|70|.514|10|26|.385|5|10|.500|11|34|19|9|7|12|12||24|61|.393|7|17|.412|14|15|.933|9|27|14|5|3|15|15
15|15|2011-01-08||Oregon State|W|103|72|39|70|.557|10|26|.385|15|24|.625|15|41|20|9|10|10|19||22|61|.361|8|18|.444|20|27|.741|13|30|9|6|2|14|21
16|16|2011-01-13|@|Stanford|L|56|58|21|58|.362|8|26|.308|6|12|.500|13|33|11|4|1|14|18||21|51|.412|2|11|.182|14|21|.667|8|26|3|6|3|11|15
17|17|2011-01-16|@|California|W|92|71|34|65|.523|13|29|.448|11|15|.733|9|38|20|6|3|11|26||26|57|.456|2|10|.200|17|30|.567|6|25|14|4|2|12|17
18|18|2011-01-20||Arizona|W|85|68|29|60|.483|7|23|.304|20|31|.645|10|37|16|5|7|14|19||24|60|.400|5|15|.333|15|23|.652|7|29|11|5|1|12|24
19|19|2011-01-22||Arizona State|W|88|75|31|57|.544|6|20|.300|20|26|.769|8|28|16|10|5|10|14||26|52|.500|9|15|.600|14|19|.737|3|22|14|4|1|15|22
20|20|2011-01-30|@|Washington State|L|80|87|23|62|.371|11|31|.355|23|29|.793|14|44|12|8|5|24|26||30|62|.484|8|17|.471|19|30|.633|5|28|18|13|3|12|21
21|21|2011-02-03|@|Oregon State|L|56|68|20|62|.323|7|29|.241|9|19|.474|7|31|12|2|1|13|25||21|48|.438|2|7|.286|24|38|.632|8|44|14|6|1|16|18
22|22|2011-02-05|@|Oregon|L|76|81|30|59|.508|11|27|.407|5|11|.455|8|35|19|2|5|15|17||28|62|.452|6|21|.286|19|23|.826|7|28|21|9|2|8|14
23|23|2011-02-10||California|W|109|77|43|76|.566|17|31|.548|6|7|.857|13|36|30|4|11|9|29||28|58|.483|2|7|.286|19|37|.514|11|27|13|3|1|16|15
24|24|2011-02-12||Stanford|W|87|76|30|63|.476|10|29|.345|17|28|.607|11|30|16|6|6|15|16||29|60|.483|8|21|.381|10|16|.625|10|34|8|4|3|19|21
25|25|2011-02-17|@|Arizona State|W|79|62|25|56|.446|8|26|.308|21|30|.700|12|41|21|2|10|9|22||26|66|.394|4|17|.235|6|19|.316|16|38|14|4|3|9|23
26|26|2011-02-19|@|Arizona|L|86|87|34|63|.540|5|16|.313|13|18|.722|6|22|20|8|11|11|17||30|67|.448|11|18|.611|16|18|.889|16|35|11|7|5|19|16
27|27|2011-02-22|@|Seattle|W|95|74|31|60|.517|4|18|.222|29|42|.690|19|47|16|5|9|17|20||24|58|.414|5|14|.357|21|36|.583|10|23|10|13|3|16|27
28|28|2011-02-27||Washington State|L|69|80|23|68|.338|8|27|.296|15|24|.625|23|42|13|5|4|16|26||21|53|.396|6|21|.286|32|36|.889|12|35|9|5|1|14|21
29|29|2011-03-03||UCLA|W|70|63|22|61|.361|6|15|.400|20|28|.714|16|36|13|5|5|13|15||23|58|.397|5|13|.385|12|13|.923|12|39|9|7|6|18|19
