ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-11||North Florida|W|64|44|22|54|.407|5|16|.313|15|17|.882|13|40|13|4|7|14|23||13|56|.232|3|21|.143|15|26|.577|17|35|8|4|1|12|15
2|2|2011-11-14||Oakland|W|74|57|28|55|.509|3|8|.375|15|20|.750|10|36|13|4|4|14|17||20|50|.400|4|18|.222|13|24|.542|5|24|5|8|1|12|18
3|3|2011-11-17|N|Maryland|W|62|42|24|56|.429|7|16|.438|7|14|.500|13|44|12|3|4|14|20||13|49|.265|2|12|.167|14|25|.560|9|28|8|3|5|9|19
4|4|2011-11-18|N|Wichita State|W|70|60|23|53|.434|1|8|.125|23|28|.821|9|36|11|8|14|13|20||22|65|.338|7|20|.350|9|15|.600|17|40|9|7|5|17|21
5|5|2011-11-20|N|Purdue|W|65|56|23|53|.434|5|19|.263|14|18|.778|9|38|15|4|1|9|21||20|57|.351|5|22|.227|11|19|.579|13|35|11|5|3|8|17
6|6|2011-11-23||Alabama A&M|W|82|45|27|69|.391|6|21|.286|22|32|.688|22|47|12|14|6|6|20||11|46|.239|1|12|.083|22|30|.733|7|27|4|2|4|16|24
7|7|2011-11-27||Virginia Commonwealth|W|72|64|26|50|.520|1|11|.091|19|26|.731|11|32|11|7|6|13|17||22|55|.400|6|21|.286|14|19|.737|12|27|12|5|2|14|21
8|8|2011-12-01||Georgetown|L|55|57|19|43|.442|3|16|.188|14|19|.737|6|26|10|5|3|9|13||21|48|.438|7|17|.412|8|10|.800|7|26|13|5|2|10|16
9|9|2011-12-07|@|Dayton|L|62|74|27|54|.500|4|16|.250|4|8|.500|8|20|18|7|3|11|15||28|46|.609|10|19|.526|8|11|.727|5|26|18|4|1|14|14
10|10|2011-12-11||Detroit Mercy|W|62|54|24|50|.480|2|15|.133|12|17|.706|5|26|16|7|3|13|23||17|53|.321|0|12|.000|20|26|.769|18|38|7|4|4|13|15
11|11|2011-12-17|N|Kansas State|L|58|71|24|54|.444|2|14|.143|8|12|.667|7|28|14|5|3|18|27||23|52|.442|3|12|.250|22|33|.667|9|32|16|8|4|13|14
12|12|2011-12-21|N|Oklahoma State|W|69|52|26|56|.464|7|15|.467|10|18|.556|7|32|16|10|7|11|16||18|55|.327|3|15|.200|13|16|.813|8|33|9|2|5|15|15
13|13|2011-12-29||Jacksonville|W|72|55|25|48|.521|6|15|.400|16|26|.615|7|32|14|10|2|11|18||20|55|.364|4|13|.308|11|21|.524|14|30|9|8|2|16|18
14|14|2012-01-03|@|Georgia Tech|W|73|48|29|54|.537|3|12|.250|12|16|.750|9|33|17|14|5|13|16||20|49|.408|4|14|.286|4|12|.333|10|28|12|4|3|22|14
15|15|2012-01-07|@|Georgia|W|74|59|27|49|.551|6|17|.353|14|15|.933|8|31|16|7|1|17|16||21|52|.404|4|17|.235|13|16|.813|6|17|7|9|2|12|14
16|16|2012-01-11||Louisiana State|W|69|53|30|59|.508|3|12|.250|6|12|.500|15|37|12|7|5|15|16||19|53|.358|4|10|.400|11|17|.647|11|27|8|4|2|15|16
17|17|2012-01-14|@|Mississippi State|L|52|56|23|51|.451|1|9|.111|5|5|1.000|4|27|11|4|4|10|14||22|55|.400|3|17|.176|9|12|.750|10|32|8|4|3|9|9
18|18|2012-01-19||Vanderbilt|L|59|69|23|70|.329|6|24|.250|7|10|.700|12|30|13|13|5|8|22||20|50|.400|8|18|.444|21|29|.724|11|40|12|2|6|16|12
19|19|2012-01-21|@|Kentucky|L|71|77|24|50|.480|5|7|.714|18|25|.720|9|32|11|3|2|14|27||22|51|.431|6|14|.429|27|40|.675|12|30|9|9|9|8|18
20|20|2012-01-25|@|South Carolina|L|54|56|21|49|.429|4|18|.222|8|12|.667|10|37|11|4|6|15|14||22|68|.324|5|31|.161|7|9|.778|15|32|8|6|4|9|10
21|21|2012-01-28||Arkansas|W|72|66|25|50|.500|2|15|.133|20|25|.800|9|33|12|11|8|17|12||24|56|.429|6|17|.353|12|17|.706|9|26|13|12|2|16|20
22|22|2012-02-04||Mississippi|W (2 OT)|69|67|27|68|.397|3|17|.176|12|18|.667|14|39|11|9|5|12|18||26|61|.426|6|11|.545|9|16|.563|10|38|12|5|6|17|14
23|23|2012-02-07|@|Auburn|W|68|50|24|52|.462|6|14|.429|14|20|.700|10|30|15|11|3|16|19||17|41|.415|4|14|.286|12|26|.462|6|26|9|8|6|19|11
24|24|2012-02-11|@|Louisiana State|L|58|67|22|54|.407|5|17|.294|9|13|.692|8|26|11|9|1|12|18||24|49|.490|2|11|.182|17|21|.810|7|28|15|5|2|12|11
25|25|2012-02-14||Florida|L|52|61|18|45|.400|4|16|.250|12|24|.500|8|29|9|6|4|17|18||21|52|.404|6|21|.286|13|16|.813|9|25|13|8|3|12|17
26|26|2012-02-18||Tennessee|W|62|50|17|46|.370|5|18|.278|23|30|.767|11|30|10|15|7|14|19||15|44|.341|4|20|.200|16|24|.667|12|30|9|4|3|17|22
27|27|2012-02-23|@|Arkansas|W|79|68|27|49|.551|6|11|.545|19|28|.679|5|27|10|6|3|14|19||22|45|.489|8|17|.471|16|25|.640|5|24|13|7|2|18|24
28|28|2012-02-25||Mississippi State|W|67|50|25|47|.532|6|11|.545|11|12|.917|5|29|11|8|4|10|18||18|47|.383|6|16|.375|8|15|.533|6|22|11|6|2|13|13
29|29|2012-02-29||Auburn|W|55|49|14|45|.311|3|11|.273|24|32|.750|8|38|7|6|1|9|16||20|48|.417|4|21|.190|5|12|.417|3|30|7|3|7|11|20
30|30|2012-03-03|@|Mississippi|L|51|60|19|55|.345|5|20|.250|8|14|.571|12|34|11|5|3|13|27||21|49|.429|2|10|.200|16|34|.471|12|35|8|5|7|7|15
31|31|2012-03-08|N|South Carolina|W|63|57|19|41|.463|1|6|.167|24|29|.828|6|28|7|7|2|14|12||22|52|.423|8|24|.333|5|6|.833|7|22|11|5|3|17|25
32|32|2012-03-09|N|Florida|L|63|66|24|45|.533|3|8|.375|12|16|.750|5|30|13|1|1|10|17||20|52|.385|10|30|.333|16|19|.842|8|25|15|6|4|5|14
33|33|2012-03-16|N|Creighton|L|57|58|22|48|.458|7|17|.412|6|12|.500|6|29|9|5|4|9|18||22|50|.440|9|21|.429|5|13|.385|7|30|14|4|3|7|11
