ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-11||South Carolina Upstate|W|83|63|30|58|.517|3|9|.333|20|27|.741|12|36|16|10|4|23|18||25|68|.368|5|19|.263|8|15|.533|14|31|14|11|3|18|27
2|2|2011-11-16||Oakland|W|91|68|37|69|.536|8|20|.400|9|12|.750|7|35|21|10|8|11|16||25|72|.347|12|36|.333|6|8|.750|17|39|14|3|1|18|15
3|3|2011-11-18|N|Houston|L|78|87|28|65|.431|4|17|.235|18|29|.621|10|27|10|12|7|10|22||31|59|.525|7|16|.438|18|23|.783|11|38|15|1|7|20|23
4|4|2011-11-22||Utah Valley|W|67|59|20|60|.333|7|21|.333|20|24|.833|12|37|9|10|5|15|15||25|72|.347|3|16|.188|6|12|.500|22|49|15|5|3|17|21
5|5|2011-11-26||Grambling|W|86|44|34|77|.442|8|25|.320|10|14|.714|18|41|25|16|9|9|17||15|55|.273|6|14|.429|8|12|.667|10|32|10|4|10|27|10
6|6|2011-11-30||Mississippi Valley State|W|97|64|35|59|.593|11|23|.478|16|28|.571|11|38|17|5|7|11|19||20|63|.317|7|25|.280|17|24|.708|13|31|11|2|1|13|21
7|7|2011-12-03|@|Connecticut|L|62|75|24|77|.312|8|22|.364|6|14|.429|23|40|12|4|2|12|17||28|49|.571|5|8|.625|14|21|.667|4|33|17|6|11|14|14
8|8|2011-12-10|@|Oklahoma|L|63|78|20|58|.345|7|27|.259|16|20|.800|8|22|10|7|5|13|20||26|50|.520|8|16|.500|18|23|.783|10|35|16|6|4|16|16
9|9|2011-12-17||Southeastern Louisiana|W|62|55|23|49|.469|5|12|.417|11|23|.478|6|28|14|11|8|15|17||18|55|.327|4|13|.308|15|22|.682|14|39|11|8|3|20|19
10|10|2011-12-20||Eastern Kentucky|W|71|57|18|57|.316|6|18|.333|29|35|.829|15|37|12|5|4|9|20||17|50|.340|8|25|.320|15|24|.625|11|31|10|5|2|17|28
11|11|2011-12-22||Louisiana Tech|W|77|63|31|64|.484|6|17|.353|9|11|.818|7|30|13|2|5|8|10||26|69|.377|5|23|.217|6|8|.750|9|29|9|3|5|8|17
12|12|2011-12-28||Charlotte|W|80|67|26|60|.433|6|20|.300|22|31|.710|13|45|20|9|7|16|21||22|63|.349|5|24|.208|18|32|.563|13|37|9|7|1|17|23
13|13|2011-12-30||Texas Southern|W|77|49|25|61|.410|6|25|.240|21|33|.636|12|40|21|14|11|18|20||18|56|.321|3|15|.200|10|20|.500|12|35|4|7|4|25|24
14|14|2012-01-03||Savannah State|W|83|66|24|48|.500|4|8|.500|31|39|.795|12|40|13|9|10|22|18||25|65|.385|7|22|.318|9|20|.450|11|23|15|13|3|15|25
15|15|2012-01-07||Mississippi State|W|98|88|35|62|.565|6|15|.400|22|28|.786|7|26|22|9|5|9|23||27|52|.519|9|20|.450|25|31|.806|8|31|9|6|2|18|19
16|16|2012-01-11|@|Mississippi|L|63|71|24|61|.393|6|19|.316|9|17|.529|10|22|13|13|1|13|27||26|52|.500|0|7|.000|19|26|.731|18|46|15|2|4|23|17
17|17|2012-01-14||Louisiana State|W|69|60|22|52|.423|9|18|.500|16|28|.571|7|33|10|12|9|14|16||24|69|.348|3|18|.167|9|13|.692|16|41|9|6|5|16|27
18|18|2012-01-17|@|Kentucky|L|63|86|23|57|.404|5|15|.333|12|18|.667|5|23|5|4|3|11|19||32|56|.571|3|11|.273|19|25|.760|9|38|13|5|13|12|13
19|19|2012-01-21||Michigan|W|66|64|24|48|.500|5|11|.455|13|21|.619|5|28|15|6|5|8|13||25|61|.410|8|28|.286|6|7|.857|11|33|15|2|1|10|18
20|20|2012-01-25||Auburn|W|56|53|19|54|.352|6|19|.316|12|19|.632|13|29|14|13|4|11|18||21|52|.404|5|17|.294|6|10|.600|14|42|10|2|2|21|17
21|21|2012-01-28|@|Alabama|L|66|72|24|56|.429|6|17|.353|12|17|.706|9|26|13|12|2|16|20||25|50|.500|2|15|.133|20|25|.800|9|33|12|11|8|17|12
22|22|2012-01-31||Vanderbilt|W|82|74|28|61|.459|9|23|.391|17|24|.708|11|32|13|5|4|8|21||26|52|.500|6|21|.286|16|23|.696|6|28|15|1|7|11|18
23|23|2012-02-04|@|Louisiana State|L|65|71|23|57|.404|3|13|.231|16|23|.696|5|31|8|7|5|19|24||24|58|.414|2|13|.154|21|33|.636|12|39|10|9|12|16|17
24|24|2012-02-08|@|Georgia|L|59|81|18|49|.367|9|25|.360|14|17|.824|4|20|7|5|3|8|17||30|57|.526|9|20|.450|12|18|.667|13|42|15|4|2|11|20
