ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-11|@|Minnesota|L|58|70|16|46|.348|7|16|.438|19|23|.826|6|29|8|2|1|12|28||22|55|.400|3|15|.200|23|35|.657|11|35|13|7|6|10|21
2|2|2011-11-15|@|Vanderbilt|L|68|80|24|51|.471|4|10|.400|16|20|.800|2|27|10|3|2|8|19||31|68|.456|10|30|.333|8|15|.533|13|36|13|2|3|5|16
3|3|2011-11-19||Saint Francis (PA)|W|73|42|29|59|.492|3|13|.231|12|20|.600|13|40|20|6|2|13|16||16|50|.320|2|14|.143|8|12|.667|4|23|7|4|3|15|20
4|4|2011-11-22|@|Marist|W|74|68|33|62|.532|4|12|.333|4|6|.667|8|31|16|7|4|9|19||23|50|.460|11|25|.440|11|18|.611|7|26|15|2|5|12|15
5|5|2011-11-25||Princeton|W|62|56|22|45|.489|2|6|.333|16|26|.615|7|33|8|2|3|11|15||19|51|.373|9|32|.281|9|14|.643|6|26|11|3|1|10|23
6|6|2011-11-26||West Alabama|W|87|50|30|59|.508|17|34|.500|10|15|.667|8|41|23|3|8|14|15||17|62|.274|5|19|.263|11|19|.579|11|29|6|7|1|10|14
7|7|2011-11-27||Morehead State|W|54|50|15|46|.326|10|22|.455|14|18|.778|9|34|14|3|5|9|10||18|50|.360|9|20|.450|5|6|.833|3|26|10|7|0|8|15
8|8|2011-11-30|@|George Mason|L|57|61|22|54|.407|5|18|.278|8|12|.667|10|35|12|5|3|13|17||20|50|.400|2|12|.167|19|25|.760|7|29|12|4|2|8|16
9|9|2011-12-03|@|La Salle|L|52|78|20|61|.328|4|17|.235|8|10|.800|13|34|13|4|4|14|12||29|59|.492|12|27|.444|8|8|1.000|2|27|16|10|2|8|14
10|10|2011-12-06|@|Binghamton|W|77|63|27|44|.614|6|10|.600|17|31|.548|5|34|14|8|1|15|18||17|51|.333|9|23|.391|20|26|.769|6|23|13|7|0|12|20
11|11|2011-12-17||Richmond|W|79|65|26|44|.591|6|14|.429|21|21|1.000|4|31|16|3|2|16|14||22|57|.386|9|25|.360|12|15|.800|7|19|11|6|3|7|13
12|12|2011-12-20|@|Syracuse|L|61|80|22|59|.373|7|22|.318|10|12|.833|9|23|19|6|2|12|16||28|53|.528|8|17|.471|16|21|.762|10|35|19|10|7|11|10
13|13|2011-12-22|@|Boston University|W|75|61|26|48|.542|5|14|.357|18|21|.857|8|30|11|4|2|11|19||22|44|.500|6|13|.462|11|20|.550|2|15|9|5|2|9|19
14|14|2011-12-28||Loyola (MD)|L|67|72|23|50|.460|4|8|.500|17|24|.708|6|23|14|4|2|9|12||27|51|.529|4|12|.333|14|21|.667|7|33|12|8|8|10|16
15|15|2011-12-31||Cornell|W|63|60|22|58|.379|3|15|.200|16|24|.667|16|38|10|2|2|11|19||18|48|.375|6|18|.333|18|24|.750|6|29|9|5|3|11|24
16|16|2012-01-03|@|Dartmouth|W|67|59|23|45|.511|7|14|.500|14|18|.778|7|30|18|6|5|13|17||21|51|.412|6|17|.353|11|14|.786|8|24|12|9|0|10|16
17|17|2012-01-07|@|Army|W|75|59|22|49|.449|7|12|.583|24|31|.774|11|37|13|3|5|10|25||17|51|.333|4|7|.571|21|30|.700|10|28|5|3|0|11|26
18|18|2012-01-11||Colgate|W|70|57|27|51|.529|6|13|.462|10|16|.625|9|37|15|4|4|13|15||20|54|.370|6|18|.333|11|14|.786|4|23|10|4|0|8|16
19|19|2012-01-14|@|Lafayette|W|79|65|30|52|.577|4|8|.500|15|15|1.000|6|33|13|3|1|8|14||23|50|.460|8|21|.381|11|15|.733|2|17|9|2|1|6|18
20|20|2012-01-18|@|Lehigh|W|68|61|20|51|.392|8|19|.421|20|23|.870|5|28|17|1|3|8|17||21|59|.356|7|24|.292|12|16|.750|10|35|14|4|1|8|19
21|21|2012-01-21||Holy Cross|W|75|41|25|56|.446|9|18|.500|16|22|.727|9|49|11|6|3|16|18||14|57|.246|2|14|.143|11|19|.579|7|30|7|7|4|14|17
22|22|2012-01-25||American|W|67|61|23|45|.511|5|11|.455|16|23|.696|3|25|12|1|6|8|18||20|53|.377|6|16|.375|15|18|.833|7|30|10|2|4|10|19
23|23|2012-01-28|@|Navy|W|66|51|26|51|.510|4|13|.308|10|10|1.000|7|31|16|3|1|12|15||20|55|.364|3|19|.158|8|9|.889|10|26|9|6|3|11|12
24|24|2012-02-04||Army|W|81|68|27|44|.614|6|11|.545|21|28|.750|4|26|13|6|4|12|20||20|45|.444|8|14|.571|20|25|.800|3|15|13|6|0|13|24
25|25|2012-02-08|@|Colgate|W|66|50|21|52|.404|3|14|.214|21|24|.875|8|41|5|4|3|13|23||14|54|.259|5|19|.263|17|28|.607|5|29|10|7|1|7|22
26|26|2012-02-11||Lafayette|W|90|78|30|52|.577|7|14|.500|23|29|.793|8|37|15|3|2|10|18||25|57|.439|11|26|.423|17|24|.708|4|19|12|6|1|5|24
27|27|2012-02-16||Lehigh|L|53|56|21|57|.368|3|16|.188|8|10|.800|11|35|11|5|3|12|15||17|51|.333|6|23|.261|16|17|.941|8|30|8|4|3|9|12
28|28|2012-02-18|@|Holy Cross|L|52|54|23|54|.426|3|15|.200|3|5|.600|6|30|12|7|5|9|15||20|52|.385|6|19|.316|8|13|.615|8|31|13|7|5|10|13
29|29|2012-02-23|@|American|W|55|50|18|54|.333|7|15|.467|12|18|.667|9|34|13|4|3|5|13||19|52|.365|4|9|.444|8|12|.667|6|32|9|0|1|7|17
30|30|2012-02-25||Navy|W|64|55|19|46|.413|5|17|.294|21|24|.875|8|30|12|4|6|16|13||21|54|.389|6|22|.273|7|12|.583|7|22|9|12|3|9|24
31|31|2012-02-29||Navy|W|87|63|32|51|.627|8|15|.533|15|19|.789|10|21|20|10|2|14|13||21|40|.525|10|22|.455|11|16|.688|7|16|13|10|1|20|15
32|32|2012-03-03||Lafayette|W|79|52|27|58|.466|6|17|.353|19|19|1.000|9|34|14|6|4|10|15||19|54|.352|7|24|.292|7|9|.778|4|22|7|3|1|16|23
33|33|2012-03-07||Lehigh|L|77|82|23|55|.418|6|13|.462|25|31|.806|7|33|14|4|4|12|21||28|56|.500|7|15|.467|19|28|.679|7|24|12|10|5|10|24
34|34|2012-03-14|@|Arizona|W|65|54|20|49|.408|7|15|.467|18|22|.818|9|34|13|4|4|13|19||17|48|.354|6|20|.300|14|18|.778|6|28|13|4|3|12|17
35|35|2012-03-18|@|Nevada|L|67|75|22|55|.400|8|25|.320|15|17|.882|5|27|13|6|1|16|22||24|48|.500|3|10|.300|24|32|.750|6|32|12|4|2|14|16
