ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-11||Redlands|W|118|68|41|74|.554|11|27|.407|25|39|.641|17|54|21|17|1|23|21||22|66|.333|7|22|.318|17|25|.680|8|26|14|9|0|24|24
2|2|2011-11-18|N|Nicholls State|W|73|63|21|45|.467|7|21|.333|24|35|.686|8|32|15|7|4|21|22||23|49|.469|5|13|.385|12|21|.571|5|19|8|5|3|17|23
3|3|2011-11-19|@|Louisiana-Lafayette|W|69|63|22|52|.423|8|20|.400|17|29|.586|11|33|11|4|3|22|32||24|51|.471|1|9|.111|14|27|.519|7|27|8|6|2|20|26
4|4|2011-11-20|N|Houston Baptist|L|83|88|28|60|.467|2|15|.133|25|39|.641|19|45|8|2|1|15|21||32|64|.500|10|19|.526|14|17|.824|8|25|9|2|3|10|23
5|5|2011-11-26||Cal State Bakersfield|L|66|73|24|55|.436|5|18|.278|13|21|.619|9|32|12|9|1|21|21||29|60|.483|2|13|.154|13|24|.542|14|36|10|7|8|15|20
6|6|2011-12-01|@|Wichita State|L|60|75|24|51|.471|4|18|.222|8|15|.533|4|25|9|13|2|23|19||27|56|.482|5|17|.294|16|23|.696|10|34|17|9|2|18|15
7|7|2011-12-03|@|Southern Illinois-Edwardsville|W|79|57|25|50|.500|10|21|.476|19|24|.792|12|38|15|5|0|15|18||20|52|.385|5|19|.263|12|18|.667|7|22|7|4|0|13|21
8|8|2011-12-07|@|Utah|W|81|50|29|51|.569|11|24|.458|12|15|.800|10|44|21|3|1|14|18||18|51|.353|6|16|.375|8|16|.500|3|16|12|7|3|7|14
9|9|2011-12-11||Eastern Washington|W|91|76|28|53|.528|11|20|.550|24|32|.750|8|35|20|2|4|13|13||30|70|.429|11|29|.379|5|11|.455|12|30|13|6|8|10|26
10|10|2011-12-17||La Verne|W|86|44|34|59|.576|6|16|.375|12|20|.600|10|40|16|4|4|13|11||16|63|.254|8|30|.267|4|7|.571|10|27|5|2|1|19|21
11|11|2011-12-22||Portland State|W|92|86|33|67|.493|11|25|.440|15|18|.833|10|34|16|3|1|10|15||34|64|.531|7|17|.412|11|13|.846|7|28|13|1|2|12|17
12|12|2011-12-29||California-Davis|W|65|64|22|56|.393|5|14|.357|16|23|.696|13|29|14|3|3|9|13||25|53|.472|8|18|.444|6|8|.750|9|33|11|1|1|14|21
13|13|2012-01-02||Pacific|W|78|73|27|50|.540|12|25|.480|12|14|.857|8|32|14|4|1|16|17||27|57|.474|9|22|.409|10|16|.625|9|23|15|0|2|12|14
14|14|2012-01-05|@|California-Santa Barbara|L|64|77|23|67|.343|7|24|.292|11|18|.611|16|39|12|5|2|12|23||25|54|.463|8|16|.500|19|29|.655|12|41|16|9|7|12|18
15|15|2012-01-07|@|Cal Poly|L|67|73|21|43|.488|8|17|.471|17|30|.567|4|28|12|5|6|15|21||24|59|.407|5|14|.357|20|30|.667|14|33|8|5|3|7|20
16|16|2012-01-14|@|Cal State Bakersfield|L|65|67|20|52|.385|7|23|.304|18|27|.667|11|30|14|10|5|19|21||23|51|.451|3|11|.273|18|26|.692|8|30|13|11|5|14|20
17|17|2012-01-18||California-Riverside|W|72|61|28|54|.519|8|20|.400|8|11|.727|9|32|13|7|3|16|19||23|54|.426|6|20|.300|9|15|.600|4|17|10|5|3|11|16
