ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-11||North Carolina Central|W|73|57|26|57|.456|7|18|.389|14|22|.636|11|40|16|7|6|18|23||21|52|.404|5|14|.357|10|22|.455|6|26|8|7|4|19|23
2|2|2011-11-15|@|Central Michigan|W (2 OT)|77|75|26|70|.371|5|29|.172|20|30|.667|14|53|10|10|3|18|20||26|73|.356|10|29|.345|13|25|.520|10|40|12|8|8|15|23
3|3|2011-11-19|@|Lamar|L|54|72|19|58|.328|8|22|.364|8|18|.444|6|24|13|8|0|13|25||23|52|.442|4|12|.333|22|31|.710|12|49|16|8|6|17|20
4|4|2011-11-22||East Tennessee State|L|69|70|22|53|.415|8|26|.308|17|22|.773|5|25|16|11|5|21|15||27|53|.509|5|17|.294|11|17|.647|7|28|7|8|1|23|21
5|5|2011-11-26|@|Wright State|W|70|66|24|43|.558|5|16|.313|17|24|.708|7|31|15|6|4|20|21||22|60|.367|9|24|.375|13|20|.650|8|20|15|10|1|11|21
6|6|2011-12-03|@|East Carolina|W|76|64|27|58|.466|8|18|.444|14|24|.583|10|36|20|11|6|13|18||22|69|.319|10|33|.303|10|14|.714|17|40|11|11|4|14|21
7|7|2011-12-06|@|Radford|W|57|49|19|51|.373|4|16|.250|15|22|.682|12|42|11|8|8|17|14||18|62|.290|1|19|.053|12|18|.667|12|33|7|12|4|14|17
8|8|2011-12-10||Davidson|W|84|61|29|56|.518|9|23|.391|17|25|.680|6|30|16|13|5|12|14||21|59|.356|8|24|.333|11|12|.917|11|35|12|4|1|19|21
9|9|2011-12-19||Coppin State|W|74|63|25|60|.417|8|28|.286|16|23|.696|12|37|15|10|3|9|13||22|58|.379|9|27|.333|10|11|.909|8|32|14|3|1|12|16
10|10|2011-12-22||Miami (FL)|L|61|76|19|59|.322|8|23|.348|15|21|.714|12|26|10|9|1|8|17||27|50|.540|8|19|.421|14|18|.778|9|38|11|2|5|12|17
11|11|2011-12-28|@|Arkansas|L|67|80|22|63|.349|5|24|.208|18|32|.563|13|37|9|7|1|17|23||26|60|.433|6|20|.300|22|31|.710|13|45|20|9|7|16|21
12|12|2011-12-31|@|Memphis|L|58|67|16|65|.246|9|26|.346|17|22|.773|19|33|10|10|1|9|21||21|47|.447|6|13|.462|19|25|.760|10|39|10|3|13|16|19
13|13|2012-01-04||Richmond|W|75|70|29|55|.527|1|6|.167|16|28|.571|10|34|11|9|5|10|17||23|56|.411|10|29|.345|14|18|.778|8|29|10|4|5|13|21
14|14|2012-01-07|@|Saint Joseph's|W|57|52|20|59|.339|4|14|.286|13|22|.591|11|38|10|13|4|9|13||23|57|.404|2|21|.095|4|7|.571|3|30|13|4|8|15|14
15|15|2012-01-11|@|Massachusetts|L|75|85|27|67|.403|11|30|.367|10|13|.769|9|25|21|13|0|12|23||26|47|.553|7|19|.368|26|31|.839|8|36|16|6|4|19|14
16|16|2012-01-14||Saint Louis|L|67|68|25|46|.543|7|14|.500|10|15|.667|3|26|16|11|4|22|17||26|57|.456|9|22|.409|7|11|.636|9|28|17|12|1|17|18
17|17|2012-01-18||Kennesaw State|W|74|63|21|45|.467|9|20|.450|23|38|.605|8|36|18|5|2|10|14||23|59|.390|11|29|.379|6|9|.667|8|32|13|8|1|10|23
18|18|2012-01-21|@|George Washington|L|52|60|22|60|.367|4|18|.222|4|9|.444|10|33|11|6|3|11|25||19|48|.396|4|10|.400|18|34|.529|13|41|13|7|1|12|16
19|19|2012-01-25||Temple|L|57|79|18|55|.327|7|22|.318|14|17|.824|10|29|9|4|2|16|17||29|53|.547|10|24|.417|11|18|.611|5|28|20|10|4|13|17
20|20|2012-01-28||Xavier|L|70|74|20|50|.400|10|24|.417|20|23|.870|8|32|13|5|2|14|16||29|59|.492|5|15|.333|11|16|.688|8|28|18|6|0|9|19
21|21|2012-02-01|@|La Salle|L|72|85|28|56|.500|5|17|.294|11|17|.647|6|30|16|7|3|13|19||29|55|.527|10|21|.476|17|20|.850|3|23|19|4|1|12|13
22|22|2012-02-04|@|Fordham|W|69|62|22|55|.400|6|12|.500|19|29|.655|13|44|12|6|3|16|17||21|68|.309|6|26|.231|14|17|.824|11|33|15|5|11|6|22
23|23|2012-02-11||Rhode Island|W|73|66|24|50|.480|6|19|.316|19|38|.500|4|32|17|11|2|17|19||23|65|.354|5|22|.227|15|20|.750|14|40|7|8|2|20|24
24|24|2012-02-15|@|Dayton|L|65|75|23|55|.418|2|14|.143|17|20|.850|11|30|9|6|0|14|21||22|50|.440|11|27|.407|20|24|.833|11|31|17|2|3|15|17
25|25|2012-02-18|@|Richmond|L|52|53|20|51|.392|3|11|.273|9|19|.474|9|36|8|8|2|16|17||18|47|.383|7|22|.318|10|15|.667|5|32|11|6|3|19|18
26|26|2012-02-22||George Washington|W|72|62|22|47|.468|8|14|.571|20|27|.741|9|26|13|6|1|12|17||24|60|.400|5|18|.278|9|15|.600|18|36|10|6|3|16|19
27|27|2012-02-25||St. Bonaventure|L|56|72|21|55|.382|4|22|.182|10|15|.667|9|25|8|6|3|10|15||26|54|.481|7|16|.438|13|15|.867|9|33|18|5|4|11|15
28|28|2012-02-29||Duquesne|L|77|88|25|56|.446|11|25|.440|16|20|.800|11|29|15|7|3|20|18||32|54|.593|8|22|.364|16|18|.889|4|24|19|11|2|13|17
29|29|2012-03-03|@|Xavier|L|63|72|24|60|.400|5|20|.250|10|13|.769|12|37|11|3|1|14|22||25|57|.439|3|15|.200|19|28|.679|11|33|11|9|8|8|16
30|30|2012-03-06|@|Saint Joseph's|L|64|80|28|68|.412|5|19|.263|3|8|.375|5|26|13|7|2|5|17||29|53|.547|10|21|.476|12|19|.632|5|40|19|1|8|9|10
