ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-11|@|Rutgers|L|56|62|19|52|.365|4|22|.182|14|16|.875|6|21|8|5|0|11|20||22|46|.478|2|4|.500|16|23|.696|8|31|9|7|6|16|17
2|2|2011-11-16||Vermont|L|53|65|18|51|.353|4|14|.286|13|18|.722|10|22|5|10|3|14|16||23|50|.460|7|16|.438|12|16|.750|16|40|10|7|5|19|17
3|3|2011-11-19||Bryant|W|66|62|22|53|.415|9|26|.346|13|19|.684|13|33|17|9|4|12|23||20|43|.465|6|13|.462|16|20|.800|5|25|13|5|1|17|19
4|4|2011-11-24|N|San Francisco|L|69|71|23|52|.442|10|23|.435|13|16|.813|2|28|19|4|6|16|22||22|57|.386|6|14|.429|21|27|.778|6|30|14|9|0|12|18
5|5|2011-11-25|@|Alaska-Anchorage|W|64|52|21|47|.447|6|16|.375|16|26|.615|7|37|13|6|3|21|20||19|58|.328|5|24|.208|9|13|.692|5|20|13|4|5|12|24
6|6|2011-11-26|N|Central Michigan|L|48|65|16|52|.308|6|22|.273|10|18|.556|6|27|13|3|4|13|18||22|55|.400|3|11|.273|18|26|.692|11|41|12|8|8|9|20
7|7|2011-11-30|@|New Hampshire|L|50|53|20|46|.435|1|6|.167|9|15|.600|4|30|5|2|3|14|20||18|51|.353|4|18|.222|13|26|.500|8|30|9|5|1|10|15
8|8|2011-12-10|@|Notre Dame|L|47|65|15|50|.300|4|14|.286|13|15|.867|8|32|10|4|1|14|15||24|59|.407|3|20|.150|14|15|.933|8|34|16|8|11|7|15
9|9|2011-12-13|@|IPFW|L|51|56|18|50|.360|7|16|.438|8|12|.667|3|30|10|7|3|20|26||21|50|.420|1|11|.091|13|24|.542|9|32|8|5|4|14|16
10|10|2011-12-17||Elon|W|62|54|23|53|.434|2|12|.167|14|20|.700|11|42|11|7|1|15|18||16|55|.291|9|26|.346|13|19|.684|11|33|11|4|2|15|20
11|11|2011-12-19|@|Colgate|L (1 OT)|55|61|16|59|.271|7|25|.280|16|27|.593|8|33|8|9|2|8|29||18|47|.383|2|11|.182|23|34|.676|5|41|6|4|1|14|23
12|12|2011-12-21|@|Army|L|64|67|22|53|.415|12|28|.429|8|17|.471|8|33|12|4|0|14|22||21|51|.412|8|20|.400|17|21|.810|7|29|12|8|3|9|17
13|13|2011-12-23|@|Albany (NY)|L|74|82|27|55|.491|12|20|.600|8|11|.727|8|27|11|7|3|10|15||26|54|.481|10|18|.556|20|21|.952|10|30|13|5|4|9|16
14|14|2011-12-31||Holy Cross|L|61|65|24|55|.436|7|15|.467|6|8|.750|7|27|13|4|2|8|14||26|54|.481|5|14|.357|8|12|.667|9|33|12|2|4|11|13
15|15|2012-01-03||Bucknell|L|59|67|21|51|.412|6|17|.353|11|14|.786|8|24|12|9|0|10|16||23|45|.511|7|14|.500|14|18|.778|7|30|18|6|5|13|17
16|16|2012-01-07|@|Harvard|L|47|63|18|48|.375|3|14|.214|8|10|.800|7|25|5|1|0|10|14||21|43|.488|8|20|.400|13|17|.765|5|28|14|9|3|9|15
17|17|2012-01-14||Longwood|W|83|67|29|53|.547|10|16|.625|15|20|.750|9|41|10|2|4|11|19||23|70|.329|8|28|.286|13|17|.765|15|30|8|6|1|6|17
18|18|2012-01-21||Harvard|L|38|54|13|41|.317|4|15|.267|8|13|.615|9|30|6|5|0|17|13||20|46|.435|8|17|.471|6|9|.667|7|28|10|7|5|12|15
19|19|2012-01-27|@|Brown|L|59|66|20|54|.370|3|12|.250|16|19|.842|10|31|10|8|3|13|21||22|54|.407|6|17|.353|16|20|.800|12|35|14|7|7|13|17
20|20|2012-01-28|@|Yale|L|52|62|21|61|.344|4|16|.250|6|9|.667|11|30|11|3|2|14|23||20|44|.455|6|13|.462|16|24|.667|6|34|11|7|6|19|16
21|21|2012-02-03||Columbia|L|62|64|21|49|.429|4|7|.571|16|20|.800|5|27|8|6|3|11|17||21|45|.467|5|14|.357|17|19|.895|6|30|14|4|6|13|21
22|22|2012-02-04||Cornell|L|59|68|19|54|.352|3|17|.176|18|24|.750|7|35|10|4|4|14|21||22|53|.415|5|19|.263|19|27|.704|7|39|11|8|1|12|23
23|23|2012-02-10|@|Princeton|L|47|59|19|49|.388|2|8|.250|7|14|.500|5|33|5|4|2|13|17||19|51|.373|8|17|.471|13|20|.650|8|35|9|8|4|10|18
24|24|2012-02-11|@|Pennsylvania|L|55|58|16|36|.444|4|8|.500|19|23|.826|8|28|10|0|3|19|13||24|54|.444|8|20|.400|2|5|.400|7|17|16|12|3|8|19
25|25|2012-02-17||Yale|L|61|70|23|57|.404|0|5|.000|15|22|.682|6|30|6|8|3|11|25||19|49|.388|2|15|.133|30|33|.909|8|39|8|5|3|15|18
26|26|2012-02-18||Brown|W|58|53|19|41|.463|6|14|.429|14|17|.824|5|32|9|8|4|17|14||19|45|.422|8|15|.533|7|13|.538|3|21|13|7|0|15|16
27|27|2012-02-24||Pennsylvania|L|54|57|17|42|.405|5|13|.385|15|28|.536|11|37|10|8|3|17|16||21|50|.420|3|14|.214|12|17|.706|6|26|8|9|2|11|20
28|28|2012-02-25||Princeton|L|61|85|19|51|.373|5|16|.313|18|21|.857|8|25|10|8|1|12|9||34|52|.654|12|17|.706|5|8|.625|3|27|25|9|4|11|14
29|29|2012-03-02|@|Cornell|L|57|70|16|47|.340|3|15|.200|22|35|.629|12|33|8|7|3|16|20||22|56|.393|11|23|.478|15|19|.789|9|32|15|8|2|12|25
30|30|2012-03-03|@|Columbia|L|55|61|17|42|.405|1|11|.091|20|25|.800|9|25|6|1|3|11|21||21|46|.457|7|15|.467|12|18|.667|11|31|14|4|3|8|20
