ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-11|@|Radford|L|54|58|15|52|.288|2|14|.143|22|36|.611|8|37|8|3|5|12|19||19|58|.328|8|27|.296|12|21|.571|8|43|7|6|4|11|25
2|2|2011-11-18|@|Villanova|L|69|79|27|65|.415|10|32|.313|5|7|.714|11|30|18|5|2|13|23||27|56|.482|8|22|.364|17|22|.773|9|29|19|8|4|10|16
3|3|2011-11-22||Cornell|W|72|64|24|54|.444|6|19|.316|18|26|.692|7|43|12|4|3|17|15||24|64|.375|7|27|.259|9|15|.600|7|29|6|10|4|10|20
4|4|2011-11-26||Lafayette|W|81|78|30|56|.536|7|16|.438|14|19|.737|8|33|11|3|6|12|15||28|63|.444|11|29|.379|11|17|.647|11|27|12|7|3|10|15
5|5|2011-11-30|@|Boston University|L|67|73|25|61|.410|6|21|.286|11|15|.733|12|33|7|5|9|11|15||28|59|.475|8|16|.500|9|12|.750|8|31|17|4|3|10|16
6|6|2011-12-03||Drexel|W|71|60|23|50|.460|5|14|.357|20|28|.714|7|36|4|1|3|9|24||20|54|.370|3|15|.200|17|24|.708|7|31|5|2|4|5|21
7|7|2011-12-07|@|Pennsylvania|L|60|69|23|52|.442|4|14|.286|10|17|.588|8|28|12|4|6|17|19||21|57|.368|7|21|.333|20|23|.870|11|31|12|10|3|9|19
8|8|2011-12-10|@|Delaware State|W|58|42|21|49|.429|6|18|.333|10|11|.909|4|32|9|2|5|14|16||15|58|.259|4|13|.308|8|11|.727|9|30|4|8|4|9|13
9|9|2011-12-19||La Salle|W|70|66|24|56|.429|4|14|.286|18|27|.667|10|38|8|5|6|18|11||28|67|.418|2|16|.125|8|13|.615|12|37|10|8|4|16|21
10|10|2011-12-22|@|Howard|L (1 OT)|83|88|29|66|.439|5|17|.294|20|37|.541|16|44|11|3|6|15|22||27|70|.386|10|22|.455|24|30|.800|16|41|13|5|4|11|28
11|11|2011-12-30||Temple|L|63|66|25|56|.446|6|17|.353|7|8|.875|6|30|9|1|3|13|15||25|64|.391|6|19|.316|10|14|.714|14|36|13|7|4|9|11
12|12|2012-01-02|@|North Carolina-Wilmington|L|75|80|23|60|.383|7|19|.368|22|30|.733|12|32|9|3|3|4|23||25|61|.410|4|15|.267|26|30|.867|12|42|9|1|2|5|20
