ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-13||Canisius|W|82|73|29|66|.439|7|24|.292|17|22|.773|11|38|15|7|4|16|16||31|71|.437|2|16|.125|9|13|.692|13|37|10|11|4|15|20
2|2|2011-11-19|@|La Salle|L|83|92|32|71|.451|7|14|.500|12|16|.750|10|31|9|3|0|9|28||30|61|.492|6|11|.545|26|33|.788|8|35|11|3|5|8|17
3|3|2011-11-22||Robert Morris|L|77|82|22|53|.415|16|34|.471|17|28|.607|12|26|17|6|6|11|26||25|51|.490|3|12|.250|29|35|.829|12|35|10|6|2|12|25
4|4|2011-11-25|N|Rider|W|86|69|29|52|.558|15|21|.714|13|19|.684|7|32|21|10|1|18|24||23|52|.442|9|21|.429|14|27|.519|8|27|17|6|1|19|16
5|5|2011-11-26|@|Pennsylvania|W|60|58|20|46|.435|8|20|.400|12|19|.632|8|31|9|7|2|14|15||20|50|.400|10|22|.455|8|13|.615|9|27|17|6|1|14|22
6|6|2011-12-03|@|Hofstra|W|62|60|24|57|.421|6|21|.286|8|10|.800|11|32|11|4|4|13|18||22|54|.407|6|16|.375|10|14|.714|7|26|17|7|4|9|13
7|7|2011-12-06||Kent State|L|51|71|21|63|.333|6|23|.261|3|7|.429|10|24|10|15|2|19|12||27|52|.519|7|17|.412|10|14|.714|8|38|17|13|3|23|11
8|8|2011-12-19||Citadel|W|67|49|27|52|.519|8|22|.364|5|8|.625|8|33|17|9|4|11|17||19|53|.358|6|21|.286|5|16|.313|12|29|12|6|1|12|15
9|9|2011-12-22|@|George Washington|W|62|57|23|47|.489|8|19|.421|8|13|.615|5|24|13|6|2|14|17||23|56|.411|3|12|.250|8|17|.471|13|34|11|2|3|12|15
10|10|2011-12-29|N|Rhode Island|L|60|79|21|60|.350|8|24|.333|10|17|.588|10|25|11|9|3|16|24||27|54|.500|7|17|.412|18|29|.621|15|38|10|7|4|19|19
11|11|2011-12-30|N|Stetson|W (1 OT)|71|69|27|72|.375|6|21|.286|11|14|.786|8|31|13|8|2|11|17||23|52|.442|7|24|.292|16|24|.667|7|40|16|6|2|21|17
12|12|2012-01-02||Old Dominion|L (1 OT)|61|67|22|58|.379|8|28|.286|9|13|.692|7|29|13|5|3|10|24||22|61|.361|9|20|.450|14|29|.483|19|46|15|5|3|13|15
13|13|2012-01-04|@|William & Mary|L|61|68|21|58|.362|2|23|.087|17|23|.739|12|28|6|12|4|11|21||20|42|.476|6|12|.500|22|25|.880|6|31|10|8|2|19|17
14|14|2012-01-07||Northeastern|L|56|68|20|50|.400|1|10|.100|15|19|.789|9|26|13|5|1|14|16||25|50|.500|7|16|.438|11|16|.688|6|24|13|7|1|11|16
15|15|2012-01-09||Hampton|W|74|67|26|58|.448|7|18|.389|15|24|.625|9|34|14|9|0|13|15||25|62|.403|8|24|.333|9|14|.643|12|34|13|5|8|16|18
16|16|2012-01-12|@|Virginia Commonwealth|L|45|65|17|51|.333|4|17|.235|7|12|.583|6|26|12|7|3|14|19||20|55|.364|8|20|.400|17|22|.773|14|42|10|8|4|13|18
17|17|2012-01-14||George Mason|L|83|89|25|65|.385|6|21|.286|27|41|.659|12|31|12|8|3|11|32||26|45|.578|4|9|.444|33|48|.688|5|35|13|5|6|21|31
18|18|2012-01-18|@|North Carolina-Wilmington|W|69|61|27|58|.466|6|13|.462|9|20|.450|10|34|15|6|4|11|16||22|55|.400|6|18|.333|11|23|.478|13|38|10|8|8|9|15
