ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-11||Arkansas State|W|65|62|21|61|.344|5|14|.357|18|25|.720|16|40|14|13|8|18|22||21|54|.389|6|13|.462|14|24|.583|7|32|13|7|5|20|23
2|2|2011-11-13|@|Louisville|L|48|68|15|65|.231|3|19|.158|15|27|.556|18|41|6|8|4|11|20||23|57|.404|3|11|.273|19|24|.792|12|46|13|5|5|14|20
3|3|2011-11-15|@|Ohio|L (1 OT)|78|85|26|60|.433|7|24|.292|19|26|.731|8|32|17|4|5|15|23||28|74|.378|8|20|.400|21|26|.808|18|42|7|7|4|12|19
4|4|2011-11-19||Charlotte|W|72|54|23|52|.442|4|12|.333|22|31|.710|12|49|16|8|6|17|20||19|58|.328|8|22|.364|8|18|.444|6|24|13|8|0|13|25
5|5|2011-11-22|@|Tennessee-Martin|W|80|69|28|46|.609|3|6|.500|21|25|.840|4|26|14|4|4|14|17||24|56|.429|5|12|.417|16|19|.842|11|27|13|6|3|14|19
6|6|2011-11-25|@|Tennessee Tech|W|85|65|28|63|.444|6|12|.500|23|27|.852|11|35|15|7|7|7|18||23|50|.460|3|11|.273|16|21|.762|1|21|12|3|3|12|22
7|7|2011-11-30|@|Texas Christian|L|72|77|25|65|.385|3|13|.231|19|22|.864|15|39|11|3|4|12|22||26|65|.400|5|15|.333|20|29|.690|15|38|13|7|4|12|20
8|8|2011-12-03||Louisiana-Lafayette|W|80|63|27|58|.466|4|10|.400|22|30|.733|15|38|16|12|1|14|17||22|55|.400|5|16|.313|14|18|.778|9|26|13|6|3|18|21
9|9|2011-12-05||Texas-Pan American|W|60|49|18|57|.316|3|11|.273|21|31|.677|19|53|13|4|10|16|13||18|54|.333|6|19|.316|7|15|.467|6|26|13|7|4|13|25
10|10|2011-12-14||Huston-Tillotson|W|88|59|33|71|.465|5|14|.357|17|27|.630|19|50|21|15|6|13|15||21|65|.323|5|15|.333|12|14|.857|12|32|10|7|4|18|18
11|11|2011-12-17|@|Rice|W|87|81|21|51|.412|8|11|.727|37|44|.841|10|34|10|11|4|17|26||29|61|.475|4|17|.235|19|31|.613|10|29|19|6|5|16|29
12|12|2011-12-20|@|Ohio State|L|50|70|20|57|.351|0|12|.000|10|14|.714|9|35|6|3|2|14|17||28|62|.452|6|17|.353|8|19|.421|11|39|19|4|4|9|14
13|13|2011-12-28|@|Kentucky|L|64|86|25|65|.385|2|12|.167|12|15|.800|9|30|9|12|5|15|21||26|53|.491|7|14|.500|27|33|.818|10|35|15|4|10|17|13
14|14|2011-12-31||Lyon|W|102|58|37|65|.569|8|17|.471|20|28|.714|10|39|23|13|6|10|11||24|59|.407|8|20|.400|2|7|.286|8|26|10|8|1|23|20
15|15|2012-01-04|@|Texas A&M-Corpus Christi|W|74|58|26|57|.456|8|15|.533|14|23|.609|12|30|8|10|3|12|21||20|50|.400|1|10|.100|17|29|.586|13|33|9|7|4|17|16
