ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-11||Tennessee Tech|W|69|58|21|54|.389|7|22|.318|20|25|.800|11|39|10|7|3|14|18||19|47|.404|8|17|.471|12|19|.632|5|24|7|5|5|15|22
2|2|2011-11-15||Rutgers|W|72|57|25|51|.490|10|23|.435|12|21|.571|11|31|13|7|7|8|11||24|65|.369|9|23|.391|0|6|.000|17|32|12|3|2|14|17
3|3|2011-11-19||North Florida|W|75|62|24|54|.444|7|18|.389|20|26|.769|13|33|13|5|8|8|15||23|57|.404|8|21|.381|8|14|.571|14|31|14|3|2|13|20
4|4|2011-11-22||Florida Gulf Coast|W|60|50|18|56|.321|7|27|.259|17|23|.739|10|32|12|7|4|6|12||20|49|.408|3|15|.200|7|11|.636|8|36|7|1|5|17|22
5|5|2011-11-25|@|Mississippi|L (1 OT)|61|64|22|60|.367|9|26|.346|8|13|.615|7|32|13|11|3|16|21||19|50|.380|7|21|.333|19|30|.633|7|35|11|6|7|16|19
6|6|2011-11-29|@|Purdue|L|65|76|21|54|.389|8|23|.348|15|20|.750|9|25|12|4|1|11|22||26|47|.553|4|16|.250|20|29|.690|6|26|10|4|5|10|17
7|7|2011-12-03||Massachusetts|W|83|75|24|59|.407|8|17|.471|27|36|.750|9|34|14|6|7|11|23||24|66|.364|7|24|.292|20|27|.741|13|41|12|6|3|14|27
8|8|2011-12-06||Memphis|L|54|71|20|56|.357|5|18|.278|9|18|.500|7|29|6|3|5|13|15||28|60|.467|1|12|.083|14|20|.700|11|38|12|10|7|7|19
9|9|2011-12-10|@|West Virginia|L|66|77|24|55|.436|9|23|.391|9|15|.600|7|22|10|4|0|9|20||27|50|.540|8|20|.400|15|18|.833|5|31|19|3|3|10|15
10|10|2011-12-17|N|Florida Atlantic|W (2 OT)|93|90|31|50|.620|14|20|.700|17|25|.680|2|22|20|7|10|18|17||32|71|.451|15|29|.517|11|14|.786|11|28|21|10|3|16|18
11|11|2011-12-22|@|Charlotte|W|76|61|27|50|.540|8|19|.421|14|18|.778|9|38|11|2|5|12|17||19|59|.322|8|23|.348|15|21|.714|12|26|10|9|1|8|17
12|12|2011-12-30||Appalachian State|W|84|54|28|51|.549|7|16|.438|21|27|.778|4|31|12|8|3|9|15||20|57|.351|6|22|.273|8|16|.500|9|27|15|6|2|11|21
13|13|2012-01-02||North Carolina-Greensboro|W|99|89|31|59|.525|7|20|.350|30|38|.789|12|35|12|11|4|18|17||32|66|.485|11|21|.524|14|18|.778|10|28|21|13|0|20|28
14|14|2012-01-07|@|Virginia|L|51|52|18|51|.353|5|17|.294|10|13|.769|12|36|5|4|1|11|14||21|55|.382|4|13|.308|6|10|.600|10|30|10|5|1|7|15
15|15|2012-01-10|@|North Carolina|L|56|73|23|55|.418|3|16|.188|7|10|.700|5|27|10|8|1|17|17||31|69|.449|2|16|.125|9|14|.643|15|44|15|10|2|12|11
16|16|2012-01-18||Clemson|W|76|73|27|52|.519|9|20|.450|13|14|.929|5|28|19|10|3|14|16||27|57|.474|6|20|.300|13|20|.650|9|26|12|10|5|11|13
17|17|2012-01-22||North Carolina State|L|73|78|27|61|.443|2|20|.100|17|23|.739|11|34|10|11|5|14|22||24|52|.462|6|10|.600|24|31|.774|6|29|14|10|4|15|16
18|18|2012-01-24|@|Georgia Tech|W|64|49|26|54|.481|9|17|.529|3|3|1.000|5|27|15|3|3|7|16||20|56|.357|4|15|.267|5|11|.455|12|33|8|4|3|7|7
19|19|2012-01-29|@|Boston College|W|76|54|27|63|.429|7|21|.333|15|17|.882|11|29|13|10|5|5|14||17|43|.395|7|19|.368|13|17|.765|7|31|10|3|2|17|15
