ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-12||Southwest State (MN)|W|71|65|20|57|.351|9|22|.409|22|30|.733|13|35|8|5|1|9|18||22|51|.431|3|12|.250|18|25|.720|6|32|13|4|2|9|25
2|2|2011-11-14|@|Northern Illinois|W|59|57|20|55|.364|6|20|.300|13|25|.520|11|32|10|7|0|14|19||20|54|.370|2|12|.167|15|18|.833|12|40|7|8|5|23|25
3|3|2011-11-18||IUPUI|W|62|49|24|55|.436|2|14|.143|12|16|.750|11|35|14|6|4|14|18||15|50|.300|3|15|.200|16|22|.727|10|24|6|4|6|12|17
4|4|2011-11-20||Texas Southern|W|73|38|27|63|.429|11|26|.423|8|11|.727|15|40|20|10|2|11|9||16|45|.356|4|15|.267|2|3|.667|2|19|4|5|4|16|15
5|5|2011-11-23|@|Michigan State|L|55|68|22|57|.386|5|25|.200|6|13|.462|10|31|11|5|1|18|28||21|48|.438|4|13|.308|22|36|.611|10|38|14|7|3|16|19
6|6|2011-11-26|@|Arkansas-Little Rock|W|59|54|18|44|.409|12|24|.500|11|21|.524|3|29|13|3|2|13|17||19|55|.345|3|17|.176|13|18|.722|11|31|8|7|5|10|20
7|7|2011-12-01||Loyola (IL)|W|59|41|24|55|.436|4|17|.235|7|14|.500|14|38|12|4|6|7|13||15|42|.357|2|8|.250|9|15|.600|3|19|8|5|3|10|16
8|8|2011-12-03||Illinois-Chicago|W (1 OT)|73|71|24|55|.436|6|21|.286|19|33|.576|7|34|12|4|6|10|19||26|67|.388|3|15|.200|16|23|.696|9|42|8|5|4|10|27
9|9|2011-12-05|@|DePaul|W|87|76|29|47|.617|11|20|.550|18|30|.600|5|28|15|6|0|17|14||32|64|.500|3|18|.167|9|16|.563|11|27|11|12|1|12|25
10|10|2011-12-10|@|Northern Iowa|L|51|67|18|42|.429|5|19|.263|10|13|.769|5|25|6|2|1|15|16||20|54|.370|9|19|.474|18|22|.818|13|31|8|7|1|6|16
11|11|2011-12-13||Wisconsin|L|54|60|21|55|.382|5|22|.227|7|17|.412|9|31|11|5|1|4|16||19|46|.413|6|14|.429|16|20|.800|4|29|9|1|3|7|12
12|12|2011-12-17||Nebraska-Omaha|W|86|50|31|64|.484|15|29|.517|9|17|.529|11|37|21|13|1|9|15||21|53|.396|3|18|.167|5|9|.556|7|29|10|5|2|19|16
13|13|2011-12-22|@|Marquette|L|50|64|16|60|.267|4|28|.143|14|19|.737|17|37|8|6|6|16|19||22|56|.393|2|11|.182|18|20|.900|13|38|12|5|4|12|22
14|14|2011-12-29|@|Valparaiso|W|57|55|20|51|.392|8|21|.381|9|18|.500|9|31|10|4|3|11|16||22|55|.400|1|17|.059|10|17|.588|11|35|10|6|4|13|16
15|15|2011-12-31|@|Butler|L|50|54|16|47|.340|6|25|.240|12|19|.632|10|37|6|5|0|16|16||22|53|.415|4|17|.235|6|14|.429|8|30|10|7|2|12|22
16|16|2012-01-03|@|Western Michigan|L|61|72|24|65|.369|10|36|.278|3|9|.333|13|31|15|6|5|10|24||19|45|.422|4|9|.444|30|37|.811|8|38|8|7|3|14|18
17|17|2012-01-07||Green Bay|W|64|63|25|61|.410|3|14|.214|11|19|.579|12|39|13|7|2|16|15||27|61|.443|3|14|.214|6|8|.750|6|32|9|11|8|14|18
18|18|2012-01-12||Wright State|W|58|38|22|47|.468|6|23|.261|8|13|.615|7|36|17|5|2|16|16||13|51|.255|2|16|.125|10|17|.588|11|31|5|9|1|15|17
19|19|2012-01-14||Detroit Mercy|W|84|74|24|41|.585|14|24|.583|22|34|.647|3|24|19|7|2|18|18||27|65|.415|4|17|.235|16|19|.842|14|32|13|11|1|12|27
20|20|2012-01-20|@|Youngstown State|L|66|68|25|59|.424|6|24|.250|10|21|.476|12|30|9|7|2|9|17||22|49|.449|9|19|.474|15|21|.714|9|34|10|6|6|15|25
21|21|2012-01-22|@|Cleveland State|L|57|83|18|51|.353|4|16|.250|17|24|.708|11|26|6|8|0|15|16||33|52|.635|7|13|.538|10|14|.714|5|27|22|5|1|14|23
22|22|2012-01-26||Butler|W|53|42|21|55|.382|5|20|.250|6|18|.333|10|37|16|4|7|14|14||16|57|.281|1|16|.063|9|15|.600|12|35|7|10|5|13|20
23|23|2012-01-28||Valparaiso|L|52|55|17|48|.354|6|22|.273|12|19|.632|10|33|9|4|7|12|17||20|57|.351|5|19|.263|10|14|.714|11|26|9|8|4|12|20
24|24|2012-01-31||Youngstown State|L|65|73|25|62|.403|6|20|.300|9|21|.429|13|34|14|7|1|9|17||26|55|.473|9|21|.429|12|19|.632|8|37|17|5|3|13|22
25|25|2012-02-04|@|Green Bay|W|81|75|27|55|.491|12|23|.522|15|18|.833|9|26|13|5|3|14|18||27|54|.500|4|9|.444|17|21|.810|7|23|14|8|6|12|20
26|26|2012-02-10|@|Detroit Mercy|L|57|58|19|45|.422|8|19|.421|11|15|.733|8|26|8|10|3|23|21||21|58|.362|0|13|.000|16|25|.640|14|31|6|12|3|19|19
27|27|2012-02-12|@|Wright State|L|46|70|14|44|.318|6|20|.300|12|21|.571|6|22|9|7|0|15|16||24|42|.571|7|10|.700|15|17|.882|1|27|11|6|3|12|21
28|28|2012-02-14||Cleveland State|W|86|84|20|45|.444|13|28|.464|33|40|.825|10|23|16|5|1|13|21||28|46|.609|8|17|.471|20|24|.833|5|20|10|9|2|13|27
29|29|2012-02-18||Fairfield|W|67|63|24|50|.480|6|19|.316|13|22|.591|4|25|15|7|5|15|16||24|61|.393|4|19|.211|11|16|.688|14|35|6|9|3|18|19
30|30|2012-02-23|@|Illinois-Chicago|W|72|61|22|48|.458|14|25|.560|14|18|.778|2|24|18|6|5|10|14||22|54|.407|8|20|.400|9|9|1.000|5|24|16|5|3|11|18
31|31|2012-02-25|@|Loyola (IL)|W|78|69|26|44|.591|11|20|.550|15|22|.682|5|23|16|3|1|10|16||26|48|.542|6|12|.500|11|18|.611|7|23|11|1|0|11|20
32|32|2012-02-28||Illinois-Chicago|W|68|55|22|51|.431|11|25|.440|13|24|.542|9|36|13|9|4|18|14||18|55|.327|6|22|.273|13|16|.813|7|28|6|12|3|14|22
33|33|2012-03-02|N|Butler|L|49|71|15|47|.319|6|23|.261|13|22|.591|6|23|7|7|1|14|18||29|58|.500|2|12|.167|11|20|.550|13|42|11|9|3|14|19
34|34|2012-03-13|@|Texas Christian|L|73|83|28|67|.418|8|30|.267|9|15|.600|14|34|16|10|2|16|21||27|54|.500|10|21|.476|19|24|.792|6|35|16|7|2|19|15
