ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-07||Eastern Kentucky|W|76|66|28|58|.483|8|22|.364|12|19|.632|10|40|16|9|6|14|9||26|65|.400|10|33|.303|4|6|.667|6|27|11|6|1|10|18
2|2|2011-11-09||Akron|L|58|68|19|55|.345|2|13|.154|18|25|.720|17|39|5|4|5|19|12||30|62|.484|2|10|.200|6|8|.750|11|32|6|8|6|15|22
3|3|2011-11-12||South Alabama|W|80|65|28|69|.406|8|27|.296|16|21|.762|16|37|13|6|5|6|11||26|57|.456|4|10|.400|9|11|.818|8|32|10|4|5|14|20
4|4|2011-11-17|N|Texas A&M|W|69|60|22|54|.407|6|13|.462|19|31|.613|11|36|9|12|2|12|16||22|54|.407|6|15|.400|10|14|.714|7|30|9|7|0|16|23
5|5|2011-11-18|N|Arizona|W|67|57|26|57|.456|4|16|.250|11|17|.647|9|35|11|4|2|9|13||23|57|.404|6|20|.300|5|9|.556|7|31|9|6|6|10|17
6|6|2011-11-21||Louisiana-Monroe|W|78|63|31|61|.508|10|27|.370|6|8|.750|9|31|20|8|3|8|9||25|51|.490|6|16|.375|7|9|.778|5|24|11|6|1|13|9
7|7|2011-11-25||Tennessee-Martin|W|76|50|32|54|.593|4|16|.250|8|17|.471|8|32|10|5|7|13|11||22|58|.379|3|12|.250|3|7|.429|9|28|8|10|1|16|17
8|8|2011-11-27||North Texas|W|82|59|27|52|.519|9|19|.474|19|27|.704|11|39|13|12|4|17|14||20|62|.323|5|20|.250|14|16|.875|11|29|8|9|3|17|21
9|9|2011-12-03||West Virginia|W|75|62|25|51|.490|5|17|.294|20|24|.833|6|29|12|9|2|12|18||23|58|.397|2|15|.133|14|20|.700|13|34|8|4|0|11|24
10|10|2011-12-10||Troy|W|106|68|40|71|.563|16|31|.516|10|13|.769|10|43|30|9|4|13|14||27|83|.325|8|35|.229|6|10|.600|19|41|11|7|2|13|17
11|11|2011-12-13||Florida Atlantic|W|75|68|27|54|.500|4|16|.250|17|22|.773|9|34|7|4|6|11|15||26|61|.426|9|20|.450|7|18|.389|11|29|10|7|2|8|20
12|12|2011-12-17|@|Detroit Mercy|W|80|75|30|61|.492|8|24|.333|12|19|.632|11|35|17|2|2|8|16||26|59|.441|7|20|.350|16|21|.762|6|33|12|6|3|9|19
13|13|2011-12-22|N|Northwestern State|W|82|67|31|68|.456|4|12|.333|16|19|.842|16|44|14|9|5|11|13||27|63|.429|5|18|.278|8|15|.533|12|34|3|5|3|15|14
14|14|2011-12-28|N|Baylor|L|52|54|22|54|.407|5|17|.294|3|7|.429|8|31|12|9|4|14|15||19|55|.345|5|17|.294|11|17|.647|14|38|8|10|4|15|10
15|15|2011-12-31||Utah State|W|66|64|26|60|.433|7|16|.438|7|12|.583|12|34|14|2|3|9|9||27|56|.482|4|11|.364|6|9|.667|5|30|9|2|0|9|17
16|16|2012-01-07|@|Arkansas|L|88|98|27|52|.519|9|20|.450|25|31|.806|8|31|9|6|2|18|19||35|62|.565|6|15|.400|22|28|.786|7|26|22|9|5|9|23
17|17|2012-01-12||Tennessee|W|62|58|22|50|.440|5|16|.313|13|17|.765|6|26|12|8|10|9|10||23|54|.426|7|14|.500|5|7|.714|8|29|9|4|3|14|19
18|18|2012-01-14||Alabama|W|56|52|22|55|.400|3|17|.176|9|12|.750|10|32|8|4|3|9|9||23|51|.451|1|9|.111|5|5|1.000|4|27|11|4|4|10|14
19|19|2012-01-18|@|Mississippi|L|68|75|23|61|.377|10|29|.345|12|16|.750|10|31|15|4|1|7|23||27|54|.500|4|13|.308|17|30|.567|9|37|14|2|5|5|13
20|20|2012-01-21|@|Vanderbilt|W (1 OT)|78|77|27|62|.435|10|20|.500|14|21|.667|10|34|12|10|2|10|11||29|60|.483|14|27|.519|5|9|.556|5|32|16|4|5|13|16
21|21|2012-01-25||Louisiana State|W|76|71|24|55|.436|5|14|.357|23|31|.742|15|40|14|5|4|16|12||26|60|.433|11|21|.524|8|13|.615|7|23|13|5|2|10|21
22|22|2012-01-28|@|Florida|L|57|69|21|48|.438|7|16|.438|8|14|.571|6|30|10|2|1|14|14||27|56|.482|11|24|.458|4|7|.571|5|25|15|5|3|5|11
23|23|2012-02-04||Auburn|W|91|88|29|48|.604|12|19|.632|21|35|.600|3|30|21|2|3|10|22||28|61|.459|6|20|.300|26|36|.722|7|31|10|6|1|3|23
24|24|2012-02-09||Mississippi|W|70|60|28|61|.459|9|25|.360|5|7|.714|10|36|17|5|2|11|14||25|58|.431|3|9|.333|7|15|.467|7|31|9|7|1|6|12
25|25|2012-02-11||Georgia|L (1 OT)|68|70|23|50|.460|8|23|.348|14|20|.700|7|30|8|3|5|9|11||27|67|.403|11|26|.423|5|11|.455|16|37|9|7|1|4|13
26|26|2012-02-14|@|Louisiana State|L (1 OT)|67|69|27|60|.450|6|18|.333|7|10|.700|11|42|9|8|1|21|17||27|65|.415|5|19|.263|10|13|.769|8|30|12|15|4|11|13
27|27|2012-02-18|@|Auburn|L|55|65|19|54|.352|5|22|.227|12|17|.706|9|29|9|4|3|8|14||25|53|.472|4|15|.267|11|14|.786|8|34|13|4|1|10|18
