ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-11|@|Colorado State|L|58|64|21|52|.404|5|16|.313|11|16|.688|3|21|12|3|3|10|26||19|49|.388|4|13|.308|22|29|.759|11|39|4|5|2|13|18
2|2|2011-11-14||Great Falls|W|60|59|18|50|.360|2|13|.154|22|31|.710|18|41|7|6|1|21|18||21|51|.412|5|19|.263|12|16|.750|9|25|8|15|4|16|20
3|3|2011-11-17||Idaho|W|57|52|18|57|.316|8|19|.421|13|21|.619|11|33|11|5|6|8|21||17|49|.347|4|14|.286|14|22|.636|10|41|10|2|7|15|20
4|4|2011-11-20|@|San Diego|W|73|60|30|50|.600|4|9|.444|9|12|.750|2|29|16|9|4|18|15||23|62|.371|5|14|.357|9|17|.529|12|28|11|7|2|15|12
5|5|2011-11-23|@|North Dakota|L (1 OT)|81|88|27|70|.386|6|22|.273|21|31|.677|17|37|13|13|3|18|33||23|43|.535|5|12|.417|37|56|.661|7|39|11|8|5|22|24
6|6|2011-11-26||Long Beach State|W|73|71|26|51|.510|5|15|.333|16|23|.696|9|31|14|4|4|15|25||19|47|.404|5|16|.313|28|36|.778|7|27|9|8|3|12|21
7|7|2011-12-01||San Francisco|L|62|65|25|57|.439|5|16|.313|7|10|.700|10|33|13|1|8|10|17||24|57|.421|6|11|.545|11|19|.579|12|35|8|5|5|9|13
8|8|2011-12-04|@|Oregon State|L|46|71|17|54|.315|3|14|.214|9|15|.600|11|31|8|5|1|18|24||20|51|.392|8|20|.400|23|30|.767|11|37|16|9|6|12|17
9|9|2011-12-07||Montana Tech|W|64|49|25|53|.472|4|16|.250|10|15|.667|8|25|20|10|3|10|14||20|44|.455|4|10|.400|5|8|.625|5|28|7|2|2|21|14
10|10|2011-12-10||Nevada|L|64|70|19|51|.373|5|15|.333|21|29|.724|10|33|10|7|3|10|18||25|56|.446|7|15|.467|13|19|.684|12|39|13|3|7|11|21
11|11|2011-12-17|@|Portland|W|80|65|24|57|.421|9|18|.500|23|34|.676|8|29|15|7|4|5|17||26|55|.473|2|10|.200|11|14|.786|8|37|8|3|8|13|25
12|12|2011-12-22||Utah Valley|W|65|52|24|53|.453|7|24|.292|10|14|.714|9|28|17|7|7|12|15||20|48|.417|4|12|.333|8|15|.533|7|23|9|11|3|15|13
13|13|2011-12-28||Portland State|W|75|64|25|47|.532|9|13|.692|16|19|.842|6|30|15|4|5|13|16||23|61|.377|4|17|.235|14|15|.933|12|30|7|8|3|11|18
14|14|2011-12-30||Eastern Washington|W|79|71|23|48|.479|6|18|.333|27|37|.730|9|32|17|3|4|10|17||25|58|.431|9|26|.346|12|19|.632|13|32|7|4|2|9|26
15|15|2012-01-07|@|Idaho State|W|68|44|27|45|.600|6|11|.545|8|10|.800|3|23|12|11|2|17|14||16|43|.372|4|12|.333|8|14|.571|7|23|9|8|2|21|11
16|16|2012-01-12|@|Northern Arizona|W|78|53|33|56|.589|6|15|.400|6|11|.545|5|35|19|5|2|15|20||17|55|.309|3|12|.250|16|23|.696|11|33|11|9|1|17|15
17|17|2012-01-14|@|Weber State|L|64|80|20|52|.385|7|17|.412|17|24|.708|10|32|9|2|2|9|21||27|58|.466|8|19|.421|18|22|.818|10|32|12|3|6|4|19
18|18|2012-01-19||Northern Colorado|W|76|58|26|57|.456|9|24|.375|15|21|.714|7|21|16|15|0|13|16||19|40|.475|5|13|.385|15|20|.750|7|30|11|7|2|28|17
19|19|2012-01-21||Sacramento State|W|85|56|28|43|.651|5|15|.333|24|29|.828|3|25|11|12|3|14|16||21|53|.396|2|12|.167|12|16|.750|9|23|9|6|0|17|20
20|20|2012-01-26|@|Eastern Washington|W|74|60|26|57|.456|7|18|.389|15|19|.789|8|37|19|6|6|11|20||18|53|.340|5|14|.357|19|27|.704|11|35|8|7|4|14|17
21|21|2012-01-29|@|Portland State|W|69|67|25|50|.500|3|13|.231|16|21|.762|2|21|12|8|3|10|21||22|52|.423|6|12|.500|17|24|.708|10|37|11|6|2|15|16
22|22|2012-02-04|@|Montana State|W|67|58|24|58|.414|8|20|.400|11|16|.688|8|33|9|3|1|10|21||20|53|.377|2|16|.125|16|25|.640|11|37|9|5|6|13|18
23|23|2012-02-06||Idaho State|W|76|40|28|54|.519|5|13|.385|15|17|.882|6|35|12|7|7|13|19||14|57|.246|2|12|.167|10|16|.625|13|25|5|3|3|15|18
24|24|2012-02-09|@|Northern Colorado|W|75|68|27|56|.482|10|18|.556|11|20|.550|7|21|16|13|0|11|19||24|41|.585|6|11|.545|14|20|.700|7|29|9|3|4|26|16
