ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-11|@|Longwood|W|78|70|27|50|.540|6|15|.400|18|28|.643|6|36|20|4|2|14|18||25|61|.410|5|21|.238|15|24|.625|10|32|7|3|3|8|23
2|2|2011-11-13||Penn State-Altoona|W|88|54|35|62|.565|6|18|.333|12|17|.706|11|37|21|14|4|16|14||19|50|.380|8|22|.364|8|14|.571|6|22|6|8|4|21|21
3|3|2011-11-16|@|Siena|L|56|65|23|54|.426|5|22|.227|5|9|.556|8|28|14|5|0|14|25||23|47|.489|2|10|.200|17|27|.630|8|29|13|6|1|12|12
4|4|2011-11-19|@|Quinnipiac|L|54|78|19|50|.380|5|22|.227|11|15|.733|3|27|9|6|0|22|20||30|68|.441|10|30|.333|8|20|.400|17|46|18|8|5|13|16
5|5|2011-11-22||Tulane|L|55|57|17|44|.386|5|19|.263|16|23|.696|3|29|9|6|1|15|17||21|53|.396|6|23|.261|9|16|.563|9|32|13|7|5|14|15
6|6|2011-11-25|@|Albany (NY)|L|62|69|22|50|.440|6|17|.353|12|17|.706|11|22|9|7|1|15|15||23|46|.500|10|24|.417|13|17|.765|11|30|13|5|4|17|16
7|7|2011-11-27||Mount St. Mary's|W|64|56|22|48|.458|6|13|.462|14|18|.778|9|25|15|11|4|16|13||20|43|.465|5|14|.357|11|14|.786|6|22|9|8|4|20|18
8|8|2011-11-30|@|Maryland-Eastern Shore|L|46|59|16|49|.327|3|17|.176|11|13|.846|10|26|7|11|0|14|11||23|51|.451|6|19|.316|7|12|.583|9|31|13|6|1|15|12
9|9|2011-12-03|@|Elon|L|48|51|14|51|.275|4|21|.190|16|21|.762|9|37|6|9|1|18|19||17|51|.333|5|20|.250|12|16|.750|5|29|8|4|2|14|18
10|10|2011-12-06||Monmouth|L|67|69|24|51|.471|10|28|.357|9|12|.750|11|20|18|9|3|12|15||29|50|.580|5|15|.333|6|9|.667|7|23|16|7|1|16|13
11|11|2011-12-10|@|Missouri|L|59|84|23|55|.418|8|25|.320|5|12|.417|6|27|17|6|2|14|23||27|55|.491|7|18|.389|23|28|.821|8|31|16|6|1|12|12
12|12|2011-12-22|@|Presbyterian|L|42|58|16|46|.348|1|15|.067|9|14|.643|14|30|4|4|2|13|12||23|45|.511|5|15|.333|7|12|.583|9|25|12|10|4|13|16
13|13|2011-12-30||Mercer|L|56|65|19|50|.380|5|20|.250|13|18|.722|7|15|13|10|1|13|18||24|36|.667|5|10|.500|12|18|.667|3|26|17|6|4|21|20
14|14|2012-01-01||Norfolk State|L|65|71|25|52|.481|8|24|.333|7|12|.583|11|25|18|4|2|11|20||24|47|.511|6|14|.429|17|22|.773|8|26|14|8|2|10|15
15|15|2012-01-07||Lafayette|L|63|65|19|48|.396|5|18|.278|20|22|.909|10|29|10|6|2|9|21||21|53|.396|7|22|.318|16|21|.762|11|30|11|3|4|9|21
16|16|2012-01-11|@|Holy Cross|L|69|73|24|57|.421|9|27|.333|12|16|.750|10|27|16|4|2|9|25||21|45|.467|4|12|.333|27|32|.844|6|26|13|4|4|11|22
17|17|2012-01-14||Army|L|62|75|20|47|.426|6|23|.261|16|26|.615|9|28|14|8|0|19|22||22|43|.512|13|23|.565|18|22|.818|2|24|18|7|0|16|21
18|18|2012-01-18||American|L|60|67|22|52|.423|4|20|.200|12|15|.800|6|21|12|10|3|9|18||21|41|.512|10|15|.667|15|19|.789|6|29|14|3|0|15|18
