ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-11||New Orleans|W|92|40|33|56|.589|6|16|.375|20|34|.588|11|44|26|10|3|14|17||14|55|.255|6|24|.250|6|12|.500|8|23|5|6|4|16|28
2|2|2011-11-16||New Mexico State|L|53|62|14|50|.280|7|19|.368|18|27|.667|11|33|12|8|3|20|28||19|45|.422|3|11|.273|21|38|.553|8|32|17|9|3|18|24
3|3|2011-11-18|@|Arizona State|W|76|71|25|50|.500|9|23|.391|17|25|.680|8|28|20|7|2|17|23||23|51|.451|7|14|.500|18|25|.720|9|30|10|9|1|19|23
4|4|2011-11-24|N|Santa Clara|L (1 OT)|76|79|18|50|.360|9|21|.429|31|33|.939|11|28|12|2|4|11|28||21|48|.438|11|25|.440|26|34|.765|9|23|11|2|1|14|20
5|5|2011-11-25|N|Washington State|W|72|62|24|55|.436|9|19|.474|15|20|.750|8|30|19|8|4|15|22||22|50|.440|5|18|.278|13|22|.591|7|31|13|5|1|18|17
6|6|2011-11-27|N|Boston College|W|75|57|29|51|.569|6|20|.300|11|16|.688|6|33|24|4|2|16|13||20|57|.351|9|26|.346|8|10|.800|7|22|13|7|0|14|17
7|7|2011-11-30||Idaho State|W|65|41|24|58|.414|5|23|.217|12|24|.500|14|42|14|11|0|15|11||16|54|.296|7|22|.318|2|4|.500|8|25|6|9|4|16|20
8|8|2011-12-03||Missouri State|W|76|60|21|55|.382|10|22|.455|24|35|.686|12|39|14|8|3|10|14||26|62|.419|5|25|.200|3|5|.600|7|30|14|2|0|12|24
9|9|2011-12-10|@|Southern California|W|44|41|13|39|.333|3|15|.200|15|20|.750|8|31|8|9|1|24|12||17|51|.333|4|14|.286|3|5|.600|8|22|7|8|3|15|20
10|10|2011-12-17|N|Oklahoma State|W|66|56|22|61|.361|5|17|.294|17|25|.680|13|44|9|8|4|8|18||18|56|.321|8|19|.421|12|16|.750|8|39|10|4|1|15|22
11|11|2011-12-20||Montana State|W|91|46|34|61|.557|11|22|.500|12|15|.800|10|38|24|15|3|12|13||18|60|.300|5|21|.238|5|10|.500|10|28|12|5|3|21|19
12|12|2011-12-22||Missouri-Kansas City|W|87|62|31|58|.534|7|17|.412|18|25|.720|12|32|24|8|6|14|11||25|62|.403|8|31|.258|4|7|.571|12|30|10|8|1|20|20
13|13|2011-12-28|@|New Mexico State|W|89|69|30|66|.455|12|24|.500|17|20|.850|14|41|19|9|4|15|26||23|69|.333|1|14|.071|22|35|.629|24|47|8|4|6|17|16
14|14|2011-12-31||Saint Louis|W|64|60|19|39|.487|2|7|.286|24|35|.686|5|30|7|4|3|11|17||23|53|.434|3|18|.167|11|16|.688|7|27|10|4|0|8|28
15|15|2012-01-03||Houston Baptist|W|98|61|37|58|.638|11|24|.458|13|20|.650|9|35|24|12|7|10|12||23|67|.343|6|19|.316|9|14|.643|14|29|14|6|1|13|19
16|16|2012-01-07||North Dakota|W|85|57|28|57|.491|11|23|.478|18|24|.750|9|32|20|10|11|10|14||20|58|.345|7|20|.350|10|18|.556|13|35|12|3|3|18|22
17|17|2012-01-14|@|Wyoming|W|72|62|23|44|.523|8|14|.571|18|22|.818|6|27|11|7|2|14|15||22|52|.423|6|19|.316|12|13|.923|6|20|7|8|7|9|19
18|18|2012-01-18||San Diego State|L|70|75|27|69|.391|13|31|.419|3|7|.429|14|35|22|3|2|9|17||27|56|.482|9|20|.450|12|15|.800|8|31|14|7|3|6|14
19|19|2012-01-21|@|Nevada-Las Vegas|L|63|80|22|57|.386|7|22|.318|12|15|.800|19|34|11|5|4|21|17||30|58|.517|7|21|.333|13|19|.684|14|29|17|11|6|14|16
20|20|2012-01-25||Colorado State|W|85|52|35|67|.522|9|21|.429|6|8|.750|13|36|23|8|7|12|20||16|43|.372|3|14|.214|17|23|.739|6|23|5|7|1|20|15
21|21|2012-01-28||Texas Christian|W|71|54|28|58|.483|7|19|.368|8|16|.500|10|34|14|6|2|11|19||17|42|.405|8|19|.421|12|21|.571|2|25|11|4|4|17|16
22|22|2012-01-31|@|Air Force|W|81|42|32|54|.593|9|21|.429|8|12|.667|7|37|21|8|4|16|17||15|51|.294|5|28|.179|7|8|.875|4|20|11|4|2|15|17
23|23|2012-02-04|@|Boise State|W|65|49|24|54|.444|8|24|.333|9|14|.643|8|41|15|7|2|15|14||19|61|.311|6|28|.214|5|11|.455|10|29|11|7|4|13|16
24|24|2012-02-11||Wyoming|W|48|38|16|41|.390|3|11|.273|13|23|.565|10|41|10|6|4|17|16||14|54|.259|5|16|.313|5|8|.625|9|29|9|7|3|11|20
25|25|2012-02-15|@|San Diego State|W|77|67|28|56|.500|10|19|.526|11|17|.647|8|33|13|5|3|11|22||25|55|.455|3|14|.214|14|20|.700|7|29|12|1|2|12|14
26|26|2012-02-18||Nevada-Las Vegas|W|65|45|25|59|.424|4|16|.250|11|16|.688|9|36|13|9|0|10|18||14|45|.311|6|21|.286|11|21|.524|6|28|12|6|5|17|16
27|27|2012-02-21|@|Colorado State|L|63|71|22|60|.367|6|23|.261|13|18|.722|12|33|12|6|3|17|18||23|52|.442|5|11|.455|20|23|.870|5|31|13|9|0|13|16
28|28|2012-02-25|@|Texas Christian|L|64|83|23|55|.418|4|17|.235|14|21|.667|11|34|15|4|2|16|20||26|57|.456|11|26|.423|20|25|.800|10|35|17|8|3|11|21
29|29|2012-02-29||Air Force|W|86|56|29|59|.492|12|29|.414|16|25|.640|9|43|21|5|3|7|19||19|52|.365|8|22|.364|10|19|.526|4|28|12|3|0|10|24
30|30|2012-03-03||Boise State|W|76|61|26|48|.542|8|20|.400|16|23|.696|3|26|18|5|4|5|14||20|49|.408|6|22|.273|15|16|.938|4|25|11|4|0|12|21
31|31|2012-03-08|N|Air Force|W|79|64|20|43|.465|8|22|.364|31|37|.838|5|29|11|4|1|9|23||22|44|.500|5|13|.385|15|22|.682|1|19|11|4|2|11|27
32|32|2012-03-09|N|Nevada-Las Vegas|W|72|67|26|50|.520|5|16|.313|15|17|.882|5|38|20|1|2|13|19||21|59|.356|8|24|.333|17|22|.773|6|24|11|4|1|3|21
33|33|2012-03-10|N|San Diego State|W|68|59|20|52|.385|8|18|.444|20|27|.741|9|35|15|7|3|11|14||23|62|.371|6|19|.316|7|11|.636|12|36|9|3|3|15|23
34|34|2012-03-15|N|Long Beach State|W|75|68|25|50|.500|7|21|.333|18|24|.750|7|30|19|6|7|14|16||28|65|.431|4|16|.250|8|14|.571|14|34|13|6|2|15|19
35|35|2012-03-17|N|Louisville|L|56|59|23|58|.397|5|23|.217|5|8|.625|15|34|13|5|2|13|12||22|48|.458|7|15|.467|8|12|.667|6|23|9|9|5|11|14
