ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-12||Mississippi Valley State|W|80|67|24|54|.444|8|19|.421|24|29|.828|10|37|19|5|2|11|12||28|63|.444|8|23|.348|3|8|.375|7|28|16|5|0|12|23
2|2|2011-11-14||Detroit Mercy|W|59|53|19|47|.404|4|15|.267|17|31|.548|7|39|12|4|3|13|12||21|68|.309|6|21|.286|5|8|.625|15|40|13|5|7|11|26
3|3|2011-11-16||Sam Houston State|W|74|41|27|51|.529|10|19|.526|10|20|.500|3|30|21|10|3|9|10||18|53|.340|3|15|.200|2|5|.400|5|31|11|3|1|18|17
4|4|2011-11-18||Delaware State|W|93|69|30|61|.492|11|23|.478|22|28|.786|17|41|20|1|1|9|17||22|54|.407|8|17|.471|17|26|.654|7|21|12|6|7|8|22
5|5|2011-11-21|N|Missouri|L|58|87|20|54|.370|4|16|.250|14|19|.737|4|23|8|5|1|13|16||32|55|.582|5|11|.455|18|21|.857|3|36|12|10|5|8|17
6|6|2011-11-22|N|Georgia|L|57|61|16|46|.348|4|20|.200|21|28|.750|4|22|7|7|3|8|16||22|53|.415|12|26|.462|5|11|.455|8|31|14|5|3|14|22
7|7|2011-11-27||Bryant|W|84|59|31|64|.484|11|25|.440|11|15|.733|10|42|24|4|3|10|11||23|65|.354|6|26|.231|7|11|.636|9|30|12|4|1|9|14
8|8|2011-11-30|@|Gonzaga|L|53|73|20|52|.385|2|14|.143|11|18|.611|8|28|6|8|3|17|16||28|61|.459|6|15|.400|11|15|.733|11|38|16|10|3|13|17
9|9|2011-12-04|N|Maryland|L|71|78|24|55|.436|7|21|.333|16|22|.727|10|26|10|3|4|6|22||23|54|.426|7|10|.700|25|35|.714|15|37|9|1|2|8|16
10|10|2011-12-08||Maine|W|87|78|29|56|.518|8|20|.400|21|28|.750|9|31|18|3|5|10|8||34|63|.540|6|16|.375|4|5|.800|5|22|19|7|0|8|20
11|11|2011-12-10||Dartmouth|W|65|47|24|59|.407|3|20|.150|14|15|.933|8|34|16|8|11|7|15||15|50|.300|4|14|.286|13|15|.867|8|32|10|4|1|14|15
12|12|2011-12-17|N|Indiana|L|58|69|16|42|.381|4|11|.364|22|32|.688|6|24|9|6|5|12|20||24|57|.421|3|7|.429|18|22|.818|12|33|9|4|2|11|25
13|13|2011-12-19||Sacred Heart|W|106|65|35|57|.614|9|17|.529|27|34|.794|10|36|25|6|5|4|11||22|56|.393|6|17|.353|15|15|1.000|6|21|16|1|1|12|23
14|14|2011-12-27||Pittsburgh|W|72|59|27|53|.509|7|19|.368|11|18|.611|9|29|18|5|4|5|14||24|60|.400|1|14|.071|10|14|.714|16|35|14|4|1|9|20
15|15|2012-01-04|@|Cincinnati|L|55|71|21|63|.333|5|28|.179|8|11|.727|14|37|11|4|4|13|14||25|57|.439|8|27|.296|13|18|.722|7|34|13|11|4|7|15
16|16|2012-01-07|@|Louisville|W (2 OT)|67|65|20|63|.317|5|26|.192|22|29|.759|14|38|10|7|3|11|20||22|52|.423|4|13|.308|17|27|.630|11|42|9|8|5|18|25
17|17|2012-01-10||South Florida|W|60|49|24|50|.480|5|14|.357|7|11|.636|6|26|16|8|4|9|8||21|55|.382|1|13|.077|6|7|.857|12|32|4|7|1|12|12
18|18|2012-01-14||Connecticut|L|53|67|21|65|.323|6|26|.231|5|8|.625|15|30|9|3|1|8|16||25|54|.463|2|12|.167|15|18|.833|14|42|13|5|5|10|12
19|19|2012-01-16|@|Rutgers|L|58|65|23|52|.442|7|20|.350|5|13|.385|9|29|13|5|4|11|14||24|55|.436|7|15|.467|10|14|.714|9|30|14|5|4|10|19
20|20|2012-01-21||Syracuse|W|67|56|20|40|.500|8|16|.500|19|27|.704|9|37|17|2|3|17|14||18|53|.340|7|23|.304|13|19|.684|7|24|13|9|2|9|21
21|21|2012-01-25|@|Seton Hall|W|55|42|13|37|.351|5|19|.263|24|32|.750|4|35|8|5|6|13|17||15|57|.263|2|14|.143|10|19|.526|17|37|4|9|2|12|23
22|22|2012-01-29|@|Connecticut|W|50|48|17|47|.362|7|22|.318|9|12|.750|10|27|13|4|3|7|13||19|47|.404|3|13|.231|7|10|.700|7|24|9|5|4|9|14
23|23|2012-02-04||Marquette|W|76|59|28|56|.500|11|23|.478|9|11|.818|7|32|22|7|7|12|11||25|64|.391|2|13|.154|7|9|.778|8|26|16|7|1|8|14
24|24|2012-02-08|@|West Virginia|W|55|51|20|47|.426|5|21|.238|10|14|.714|8|29|8|3|2|5|11||24|58|.414|2|16|.125|1|3|.333|9|29|12|1|0|3|12
25|25|2012-02-11||DePaul|W|84|76|31|52|.596|6|16|.375|16|18|.889|6|31|18|4|5|12|11||30|64|.469|9|16|.563|7|10|.700|7|20|16|6|3|7|15
26|26|2012-02-15||Rutgers|W|71|53|20|50|.400|7|16|.438|24|32|.750|11|32|16|2|1|9|13||22|56|.393|3|14|.214|6|10|.600|11|33|10|5|5|13|26
27|27|2012-02-18|@|Villanova|W (1 OT)|74|70|25|66|.379|12|31|.387|12|17|.706|10|33|20|8|1|7|15||24|63|.381|7|19|.368|15|20|.750|14|41|13|3|7|11|17
28|28|2012-02-22||West Virginia|W|71|44|27|44|.614|9|16|.563|8|11|.727|5|28|17|6|3|9|13||17|54|.315|1|11|.091|9|13|.692|13|24|11|4|0|9|11
29|29|2012-02-25|@|St. John's (NY)|L|58|61|25|66|.379|4|31|.129|4|7|.571|13|29|15|5|3|7|16||22|47|.468|3|11|.273|14|21|.667|9|34|8|5|4|16|13
30|30|2012-02-27|@|Georgetown|L|41|59|16|48|.333|3|17|.176|6|10|.600|7|19|7|7|0|11|15||23|44|.523|4|11|.364|9|13|.692|8|32|13|5|3|11|13
31|31|2012-03-02||Providence|W|75|69|26|55|.473|5|10|.500|18|26|.692|11|39|20|3|4|9|14||28|71|.394|4|20|.200|9|11|.818|13|33|18|5|4|5|22
32|32|2012-03-08|N|South Florida|W (1 OT)|57|53|18|46|.391|8|16|.500|13|19|.684|3|29|15|4|5|8|9||21|55|.382|8|17|.471|3|5|.600|4|30|11|5|5|9|17
33|33|2012-03-09|N|Louisville|L|50|64|19|53|.358|2|17|.118|10|19|.526|16|27|10|9|1|12|9||28|50|.560|5|15|.333|3|4|.750|6|26|20|6|4|13|14
34|34|2012-03-16|N|Xavier|L|63|67|25|49|.510|9|21|.429|4|9|.444|6|21|19|6|1|11|16||22|44|.500|5|10|.500|18|27|.667|8|27|11|6|1|10|14
