ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-12|N|Florida Atlantic|W|70|65|21|52|.404|5|16|.313|23|27|.852|8|36|9|1|0|12|17||25|69|.362|7|29|.241|8|15|.533|14|35|13|6|8|5|20
2|2|2011-11-13|N|Georgia State|W|66|61|24|46|.522|4|10|.400|14|20|.700|10|35|10|3|0|19|11||24|66|.364|5|20|.250|8|13|.615|16|30|11|15|5|12|15
3|3|2011-11-14|@|Washington|L|63|93|25|73|.342|4|19|.211|9|15|.600|19|38|10|3|1|15|17||36|65|.554|12|20|.600|9|18|.500|9|36|18|9|6|10|17
4|4|2011-11-20||Washington State|L|73|83|24|60|.400|5|21|.238|20|28|.714|15|37|11|10|1|20|25||28|50|.560|3|9|.333|24|34|.706|4|28|16|12|5|17|25
5|5|2011-11-22|@|California-Santa Barbara|L|69|83|22|57|.386|6|20|.300|19|25|.760|7|25|15|2|1|8|27||26|55|.473|7|20|.350|24|35|.686|16|44|18|1|2|13|20
6|6|2011-11-26|@|Kentucky|L|63|87|23|61|.377|11|23|.478|6|8|.750|10|35|14|1|2|17|24||28|62|.452|7|17|.412|24|35|.686|12|36|20|12|9|4|10
7|7|2011-11-29||Lewis & Clark|W|76|64|28|61|.459|7|21|.333|13|16|.813|12|38|15|4|1|12|20||20|52|.385|8|26|.308|16|24|.667|4|23|8|6|2|17|16
8|8|2011-12-03|@|Saint Louis|L|53|73|20|43|.465|3|9|.333|10|17|.588|6|19|7|4|1|16|19||25|48|.521|7|17|.412|16|22|.727|10|28|13|7|3|11|16
9|9|2011-12-07|@|Boise State|L|70|92|26|59|.441|7|22|.318|11|21|.524|9|27|11|2|2|8|26||30|55|.545|6|19|.316|26|33|.788|11|38|13|3|5|9|18
10|10|2011-12-10||Ohio|L|54|72|19|52|.365|5|19|.263|11|16|.688|2|26|13|3|5|15|14||28|65|.431|5|20|.250|11|17|.647|10|40|18|11|3|10|17
11|11|2011-12-17||Montana|L|65|80|26|55|.473|2|10|.200|11|14|.786|8|37|8|3|8|13|25||24|57|.421|9|18|.500|23|34|.676|8|29|15|7|4|5|17
12|12|2011-12-19|@|Utah|L|67|72|24|51|.471|5|14|.357|14|21|.667|8|25|9|7|2|15|27||22|44|.500|4|15|.267|24|35|.686|8|24|14|7|4|11|16
13|13|2011-12-22|@|Nevada|L|60|78|21|51|.412|3|14|.214|15|19|.789|7|27|9|8|0|23|20||28|56|.500|8|19|.421|14|17|.824|9|28|13|14|3|19|17
14|14|2011-12-28|@|Gonzaga|L|51|90|19|64|.297|4|20|.200|9|15|.600|11|31|8|8|3|17|27||29|53|.547|9|18|.500|23|36|.639|8|41|17|9|4|10|15
15|15|2012-01-05||Santa Clara|W|84|74|26|51|.510|4|11|.364|28|35|.800|12|43|17|3|3|15|21||25|65|.385|6|17|.353|18|26|.692|9|25|11|9|2|6|24
16|16|2012-01-07||Pepperdine|W|53|43|18|48|.375|7|12|.583|10|18|.556|5|30|12|6|5|10|17||17|54|.315|0|14|.000|9|15|.600|14|37|7|8|7|14|19
17|17|2012-01-12|@|San Francisco|L|70|104|22|55|.400|4|14|.286|22|26|.846|8|24|6|6|1|21|16||39|58|.672|13|18|.722|13|18|.722|5|30|20|14|2|16|21
18|18|2012-01-14|@|Saint Mary's (CA)|L|61|69|23|45|.511|2|6|.333|13|16|.813|6|24|15|5|2|20|18||24|53|.453|7|22|.318|14|21|.667|14|29|18|14|3|15|21
19|19|2012-01-19||San Diego|L|63|82|23|53|.434|2|12|.167|15|20|.750|15|34|11|8|6|16|19||28|51|.549|14|19|.737|12|17|.706|6|22|23|8|6|14|18
20|20|2012-01-21||San Francisco|L|71|72|21|53|.396|4|15|.267|25|31|.806|15|38|11|4|4|20|23||24|53|.453|5|20|.250|19|27|.704|8|27|13|12|3|17|22
21|21|2012-01-26||Gonzaga|L|62|74|25|58|.431|6|21|.286|6|10|.600|7|24|12|6|2|16|26||24|51|.471|1|11|.091|25|31|.806|7|30|13|7|5|15|14
22|22|2012-01-28|@|Loyola Marymount|L|59|62|25|51|.490|2|13|.154|7|11|.636|6|24|7|5|3|10|15||20|48|.417|4|19|.211|18|26|.692|13|31|7|6|3|12|13
23|23|2012-02-02|@|Santa Clara|W|84|78|30|54|.556|4|11|.364|20|24|.833|5|34|17|4|5|16|19||26|60|.433|7|20|.350|19|23|.826|5|23|17|5|4|8|20
24|24|2012-02-04||Brigham Young|L|60|79|22|49|.449|6|16|.375|10|23|.435|5|28|14|8|2|23|32||19|54|.352|3|16|.188|38|53|.717|14|37|9|18|4|12|20
25|25|2012-02-09||Loyola Marymount|L|62|76|23|54|.426|7|22|.318|9|11|.818|7|21|16|4|3|11|18||25|49|.510|10|19|.526|16|24|.667|9|28|13|7|3|13|15
26|26|2012-02-16|@|San Diego|L (1 OT)|75|78|27|58|.466|8|17|.471|13|21|.619|6|29|12|5|8|15|16||29|60|.483|8|15|.533|12|21|.571|5|28|21|10|4|13|18
27|27|2012-02-18|@|Pepperdine|L|65|70|23|58|.397|4|16|.250|15|20|.750|10|25|10|6|2|8|18||25|55|.455|3|14|.214|17|24|.708|12|37|13|5|2|11|16
28|28|2012-02-23||Saint Mary's (CA)|L|43|70|16|50|.320|6|19|.316|5|8|.625|7|24|9|7|4|17|23||23|47|.489|4|13|.308|20|25|.800|9|33|16|11|1|14|14
29|29|2012-02-25|@|Brigham Young|L|66|76|27|62|.435|7|23|.304|5|9|.556|9|34|17|4|1|17|28||25|52|.481|5|17|.294|21|31|.677|8|31|13|6|1|11|11
30|30|2012-02-29|N|Santa Clara|W|74|70|25|44|.568|8|16|.500|16|17|.941|6|30|17|0|7|15|20||24|64|.375|5|14|.357|17|20|.850|12|23|7|6|2|1|15
31|31|2012-03-01|N|San Francisco|L|66|87|25|63|.397|10|25|.400|6|9|.667|9|33|16|5|1|15|17||31|61|.508|11|23|.478|14|20|.700|10|36|17|11|6|13|12
