ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-12||Fairleigh Dickinson|W|72|61|27|61|.443|6|14|.429|12|22|.545|16|36|13|5|5|9|20||21|57|.368|4|18|.222|15|20|.750|14|31|8|5|3|12|22
2|2|2011-11-14|@|Fairfield|W|80|72|30|54|.556|3|8|.375|17|20|.850|12|28|10|7|1|14|15||30|61|.492|8|26|.308|4|7|.571|13|27|21|7|3|15|20
3|3|2011-11-19||Florida A&M|W|87|65|26|49|.531|6|14|.429|29|46|.630|11|43|20|14|6|20|21||23|70|.329|7|15|.467|12|20|.600|14|32|8|10|1|20|30
4|4|2011-11-22||Southern|W|59|53|13|49|.265|1|4|.250|32|47|.681|15|43|6|9|2|17|14||20|59|.339|4|20|.200|9|12|.750|8|36|8|6|3|19|31
5|5|2011-11-25|N|Iowa State|L|54|64|22|55|.400|5|17|.294|5|11|.455|8|24|8|5|1|5|19||20|51|.392|11|30|.367|13|21|.619|15|42|11|2|2|12|15
6|6|2011-11-26|N|Northern Iowa|L|62|79|25|56|.446|3|10|.300|9|17|.529|9|36|8|4|2|14|22||27|57|.474|9|21|.429|16|28|.571|10|30|15|6|2|7|16
7|7|2011-11-29||Holy Cross|W|82|77|34|66|.515|3|10|.300|11|15|.733|15|39|21|7|7|14|10||31|68|.456|8|25|.320|7|9|.778|10|25|15|8|6|9|13
8|8|2011-12-01|@|South Carolina|W|76|67|24|50|.480|6|11|.545|22|27|.815|7|30|16|4|10|15|10||26|72|.361|6|30|.200|9|10|.900|18|36|9|9|7|13|19
9|9|2011-12-05||Brown|W|80|49|33|66|.500|9|20|.450|5|10|.500|8|37|18|6|10|11|18||16|55|.291|7|23|.304|10|13|.769|9|30|10|4|3|18|12
10|10|2011-12-08||Boston College|W|64|57|24|55|.436|6|17|.353|10|14|.714|14|38|10|4|10|13|17||17|51|.333|8|20|.400|15|19|.789|9|28|10|4|3|10|16
11|11|2011-12-10||Bryant|W|72|61|24|54|.444|2|10|.200|22|24|.917|8|35|11|4|7|9|8||25|61|.410|8|22|.364|3|6|.500|10|31|13|3|4|10|18
12|12|2011-12-20||New Hampshire|W|67|52|25|51|.490|2|9|.222|15|23|.652|5|39|16|3|6|12|17||18|58|.310|7|29|.241|9|20|.450|10|31|9|3|2|11|21
