ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-11||Dartmouth|W|62|56|22|46|.478|2|4|.500|16|23|.696|8|31|9|7|6|16|17||19|52|.365|4|22|.182|14|16|.875|6|21|8|5|0|11|20
2|2|2011-11-15|@|Miami (FL)|L|57|72|24|65|.369|9|23|.391|0|6|.000|17|32|12|3|2|14|17||25|51|.490|10|23|.435|12|21|.571|11|31|13|7|7|8|11
3|3|2011-11-17||Sacred Heart|W|91|75|34|54|.630|5|10|.500|18|25|.720|10|26|15|12|2|16|23||24|47|.511|7|18|.389|20|32|.625|8|20|13|6|3|21|20
4|4|2011-11-20||Hampton|W|66|52|20|63|.317|3|16|.188|23|27|.852|16|39|13|13|3|16|22||15|41|.366|6|18|.333|16|24|.667|3|27|7|11|6|26|20
5|5|2011-11-22|N|Illinois State|L|70|76|29|61|.475|4|12|.333|8|18|.444|9|25|13|8|1|11|26||19|42|.452|10|21|.476|28|38|.737|7|32|11|4|3|17|20
6|6|2011-11-23|N|Richmond|L|53|58|19|53|.358|2|9|.222|13|18|.722|12|28|5|6|3|18|19||16|42|.381|7|22|.318|19|24|.792|8|24|10|8|2|16|18
7|7|2011-11-28||Maryland-Baltimore County|W|94|56|34|61|.557|10|17|.588|16|20|.800|12|36|27|13|4|15|20||18|50|.360|7|21|.333|13|23|.565|8|20|12|3|5|20|19
8|8|2011-12-03||Louisiana State|L|50|55|15|45|.333|2|11|.182|18|24|.750|8|30|9|16|2|17|21||20|55|.364|3|17|.176|12|18|.667|9|28|13|6|7|18|18
9|9|2011-12-07||Princeton|L|57|59|20|53|.377|4|16|.250|13|18|.722|13|35|8|8|5|18|19||20|49|.408|7|23|.304|12|17|.706|8|27|17|6|2|15|15
10|10|2011-12-12||Monmouth|W|81|66|27|57|.474|7|18|.389|20|27|.741|14|34|19|10|11|17|21||22|58|.379|7|24|.292|15|20|.750|12|27|14|8|3|18|25
11|11|2011-12-17|N|Stony Brook|W|67|58|24|46|.522|2|7|.286|17|22|.773|6|26|9|8|9|15|21||16|60|.267|7|24|.292|19|24|.792|20|34|8|5|1|16|18
12|12|2011-12-22||NJIT|W|77|53|27|62|.435|2|14|.143|21|28|.750|15|45|15|9|7|15|17||19|54|.352|5|20|.250|10|15|.667|3|23|12|6|8|15|24
13|13|2011-12-29||Florida|W (2 OT)|85|83|35|72|.486|7|18|.389|8|11|.727|8|32|18|6|2|11|18||28|62|.452|9|27|.333|18|19|.947|7|32|14|4|6|18|16
