ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-12|@|Cal Poly|L|52|79|12|42|.286|3|14|.214|25|32|.781|3|24|4|6|3|17|22||28|64|.438|5|19|.263|18|25|.720|19|46|12|11|3|12|23
2|2|2011-11-14||California-Irvine|W|51|50|16|58|.276|3|20|.150|16|20|.800|10|38|8|5|2|17|17||20|60|.333|1|11|.091|9|16|.563|8|33|10|7|1|15|18
3|3|2011-11-16|@|San Francisco|L (1 OT)|81|83|32|66|.485|10|28|.357|7|9|.778|8|24|13|8|4|12|19||28|61|.459|5|21|.238|22|29|.759|18|45|19|8|0|19|16
4|4|2011-11-19|@|Santa Clara|L|58|84|16|54|.296|10|27|.370|16|25|.640|8|29|9|8|3|10|17||30|65|.462|9|31|.290|15|20|.750|17|50|15|2|5|11|20
5|5|2011-11-22||Holy Names|W|109|71|41|71|.577|11|25|.440|16|22|.727|14|42|30|6|2|8|20||26|60|.433|8|18|.444|11|20|.550|8|24|15|4|0|12|20
6|6|2011-11-28||Montana State|L|70|77|23|54|.426|8|24|.333|16|19|.842|11|29|14|6|0|11|14||26|53|.491|11|24|.458|14|19|.737|9|26|15|6|3|11|14
7|7|2011-11-30||Texas-San Antonio|W|72|66|23|63|.365|12|32|.375|14|17|.824|12|35|15|6|1|16|19||19|51|.373|6|19|.316|22|22|1.000|3|28|9|9|2|16|20
8|8|2011-12-03|@|Weber State|L (2 OT)|89|91|28|69|.406|12|34|.353|21|28|.750|9|40|12|3|2|11|25||30|72|.417|8|28|.286|23|26|.885|12|43|9|5|3|12|25
9|9|2011-12-07|@|California|L|36|81|12|60|.200|2|13|.154|10|14|.714|5|30|3|1|1|10|15||31|62|.500|4|11|.364|15|18|.833|9|48|21|2|4|8|13
10|10|2011-12-10||Cal Poly|L|40|47|11|45|.244|5|18|.278|13|17|.765|8|30|7|2|0|12|13||18|54|.333|7|24|.292|4|8|.500|11|32|11|4|1|9|18
11|11|2011-12-20||California-Davis|W|79|59|30|57|.526|10|21|.476|9|15|.600|7|26|22|10|2|9|12||21|51|.412|12|20|.600|5|8|.625|8|27|18|3|2|18|16
12|12|2011-12-22|@|California-Riverside|L|64|66|20|53|.377|7|23|.304|17|21|.810|7|25|11|6|0|10|18||26|54|.481|4|13|.308|10|17|.588|12|34|11|1|3|12|18
13|13|2011-12-29|N|Coppin State|W|81|66|26|64|.406|16|40|.400|13|15|.867|14|44|24|2|2|9|13||24|63|.381|8|29|.276|10|16|.625|10|33|15|6|0|6|16
14|14|2011-12-30|@|Seattle|W|84|74|25|50|.500|12|24|.500|22|34|.647|6|35|14|5|1|17|19||25|73|.342|8|25|.320|16|23|.696|14|38|10|7|1|15|28
15|15|2012-01-07|@|Hawaii|L|69|82|24|68|.353|4|19|.211|17|25|.680|18|37|13|4|2|9|19||30|63|.476|6|16|.375|16|22|.727|15|42|20|2|3|14|16
