ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-11|@|Texas-El Paso|W|73|64|27|54|.500|7|14|.500|12|17|.706|7|23|11|15|4|11|21||23|51|.451|7|21|.333|11|20|.550|12|33|19|6|2|21|14
2|2|2011-11-15|N|Oral Roberts|W|78|77|27|49|.551|7|16|.438|17|23|.739|8|21|12|10|1|14|25||26|52|.500|6|22|.273|19|27|.704|11|27|15|4|0|15|17
3|3|2011-11-16|@|Oklahoma State|L (1 OT)|85|90|26|62|.419|10|23|.435|23|31|.742|4|29|11|6|3|11|25||27|68|.397|14|38|.368|22|28|.786|16|48|17|3|2|15|24
4|4|2011-11-21|@|Colorado State|L|75|85|25|54|.463|10|24|.417|15|19|.789|6|25|11|4|2|10|23||25|47|.532|11|22|.500|24|34|.706|6|30|17|7|2|11|19
5|5|2011-11-22|N|Fresno State|W|83|79|26|52|.500|7|21|.333|24|31|.774|9|29|14|5|2|14|22||24|58|.414|8|28|.286|23|30|.767|12|31|14|9|0|15|27
6|6|2011-11-26||Pepperdine|L (1 OT)|64|70|20|57|.351|8|24|.333|16|26|.615|11|35|12|7|3|17|20||25|60|.417|7|22|.318|13|22|.591|13|43|16|8|3|17|23
7|7|2011-11-27||Cameron|W|76|48|26|63|.413|12|37|.324|12|14|.857|12|34|14|10|3|10|6||21|58|.362|5|18|.278|1|1|1.000|13|35|12|5|1|23|11
8|8|2011-11-30|@|San Jose State|L|66|72|19|51|.373|6|19|.316|22|22|1.000|3|28|9|9|2|16|20||23|63|.365|12|32|.375|14|17|.824|12|35|15|6|1|16|19
9|9|2011-12-05|@|Samford|W|74|52|30|50|.600|4|11|.364|10|12|.833|6|28|14|11|2|12|9||17|53|.321|12|39|.308|6|9|.667|10|26|13|6|2|16|14
10|10|2011-12-20|@|Houston|L|75|77|28|69|.406|9|25|.360|10|11|.909|13|30|15|11|3|12|17||29|49|.592|6|16|.375|13|18|.722|4|28|21|3|5|19|14
11|11|2011-12-22|@|Troy|W|76|70|26|50|.520|8|15|.533|16|21|.762|8|34|13|6|2|13|11||23|59|.390|16|41|.390|8|13|.615|9|26|17|6|1|8|16
12|12|2011-12-28||California-Riverside|L|65|70|21|57|.368|8|20|.400|15|18|.833|9|26|11|5|0|12|17||25|50|.500|8|18|.444|12|17|.706|8|32|18|6|6|16|17
13|13|2012-01-01||Bowling Green State|W (1 OT)|86|79|26|58|.448|11|17|.647|23|35|.657|6|29|16|10|4|14|15||32|74|.432|8|26|.308|7|12|.583|18|46|19|7|3|21|26
14|14|2012-01-04||Nicholls State|W|91|50|34|72|.472|14|34|.412|9|11|.818|12|37|17|14|5|11|14||19|57|.333|4|22|.182|8|18|.444|13|36|12|5|0|20|12
15|15|2012-01-08|@|Sam Houston State|W|62|60|23|41|.561|8|17|.471|8|16|.500|3|31|19|3|4|20|18||22|51|.431|7|23|.304|9|17|.529|5|24|21|8|2|8|19
16|16|2012-01-11||Texas A&M-Corpus Christi|L|49|50|18|66|.273|3|22|.136|10|15|.667|22|37|8|8|6|10|13||22|47|.468|6|21|.286|0|1|.000|7|33|19|3|6|20|18
17|17|2012-01-14|@|Stephen F. Austin|W|59|52|22|49|.449|7|13|.538|8|10|.800|7|23|12|9|4|13|15||21|48|.438|2|13|.154|8|13|.615|12|32|10|6|5|16|13
18|18|2012-01-18||Northwestern State|W|80|62|26|58|.448|11|22|.500|17|20|.850|12|38|14|7|2|14|18||19|55|.345|9|28|.321|15|25|.600|12|31|13|4|8|14|21
19|19|2012-01-21|@|Texas State|W|80|75|28|56|.500|7|17|.412|17|21|.810|7|38|16|8|3|16|14||26|68|.382|15|33|.455|8|13|.615|11|31|16|6|8|14|16
20|20|2012-01-25||Jarvis Christian|W|115|49|41|67|.612|17|31|.548|16|22|.727|8|43|27|13|4|13|12||15|63|.238|8|34|.235|11|13|.846|11|29|12|9|3|26|19
21|21|2012-01-28||Sam Houston State|W|78|66|23|53|.434|8|19|.421|24|31|.774|7|22|16|11|2|10|23||23|51|.451|4|16|.250|16|23|.696|13|37|11|3|2|22|20
22|22|2012-02-01|@|Texas-Arlington|L|66|67|23|62|.371|5|22|.227|15|20|.750|8|28|12|15|3|15|23||21|52|.404|8|20|.400|17|25|.680|13|43|12|10|3|23|20
23|23|2012-02-04|@|Lamar|L|66|80|24|53|.453|10|20|.500|8|10|.800|3|21|16|9|3|17|16||27|54|.500|7|22|.318|19|25|.760|10|33|10|9|4|14|13
24|24|2012-02-08||Southeastern Louisiana|W|59|51|19|45|.422|2|11|.182|19|27|.704|9|30|5|9|2|19|16||20|53|.377|4|20|.200|7|15|.467|11|31|10|10|4|23|23
25|25|2012-02-11||Stephen F. Austin|L|51|59|19|42|.452|6|20|.300|7|10|.700|6|24|6|7|4|19|16||21|49|.429|8|17|.471|9|16|.563|12|32|15|11|1|14|12
26|26|2012-02-15|@|McNeese State|L|54|58|16|47|.340|9|26|.346|13|21|.619|7|33|14|2|3|12|19||21|56|.375|4|21|.190|12|17|.706|10|37|11|5|4|9|19
27|27|2012-02-18|@|Georgia State|L|71|82|26|55|.473|11|26|.423|8|9|.889|5|23|18|4|1|13|12||33|58|.569|8|20|.400|8|12|.667|9|29|19|11|5|11|12
28|28|2012-02-22|@|Texas A&M-Corpus Christi|W (1 OT)|86|82|28|53|.528|10|24|.417|20|27|.741|6|28|14|9|2|16|18||31|63|.492|9|22|.409|11|13|.846|8|29|18|7|1|16|20
29|29|2012-02-25||Texas State|L|52|66|18|58|.310|7|27|.259|9|12|.750|9|34|10|8|6|13|10||25|62|.403|13|33|.394|3|5|.600|10|37|20|8|6|12|15
30|30|2012-02-29|@|Central Arkansas|W|73|60|24|56|.429|8|25|.320|17|26|.654|16|45|16|8|3|18|15||23|64|.359|7|28|.250|7|14|.500|11|25|12|10|1|14|19
31|31|2012-03-03||Texas-Arlington|W|97|88|29|53|.547|16|28|.571|23|27|.852|3|25|18|6|6|17|27||26|56|.464|5|21|.238|31|40|.775|10|33|11|8|3|17|22
32|32|2012-03-07|N|McNeese State|L (1 OT)|74|78|25|63|.397|6|20|.300|18|32|.563|10|36|12|4|3|8|26||24|61|.393|4|22|.182|26|42|.619|15|47|12|5|5|8|20
