ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-11||Troy|W|90|85|33|54|.611|10|19|.526|14|24|.583|7|32|15|3|4|18|25||29|61|.475|9|24|.375|18|32|.563|12|29|9|6|3|13|26
2|2|2011-11-16||North Texas|W|69|64|22|49|.449|2|11|.182|23|25|.920|9|35|12|4|5|20|17||23|63|.365|1|16|.063|17|21|.810|12|27|6|12|1|10|17
3|3|2011-11-20||Stephen F. Austin|W|66|54|22|35|.629|6|11|.545|16|24|.667|3|25|13|5|2|20|28||18|50|.360|4|19|.211|14|25|.560|10|24|6|7|1|15|24
4|4|2011-11-24|N|Indiana State|L|49|60|21|49|.429|2|9|.222|5|9|.556|7|28|5|5|0|18|23||15|42|.357|5|15|.333|25|31|.806|6|25|7|7|1|11|13
5|5|2011-11-25|N|DePaul|L|70|76|22|52|.423|5|10|.500|21|27|.778|6|31|11|8|3|18|21||27|58|.466|5|18|.278|17|24|.708|10|35|11|7|1|15|21
6|6|2011-11-27|N|Wake Forest|L|61|70|23|53|.434|3|10|.300|12|17|.706|7|30|9|7|4|17|25||21|51|.412|5|17|.294|23|29|.793|7|30|11|8|5|12|16
7|7|2011-12-01|@|Texas A&M-Corpus Christi|W|61|54|22|47|.468|4|9|.444|13|20|.650|7|34|12|3|7|8|19||18|57|.316|6|20|.300|12|23|.522|9|31|9|4|4|4|16
8|8|2011-12-06|@|Texas Christian|L|69|75|24|44|.545|2|8|.250|19|24|.792|3|24|19|3|2|20|23||19|51|.373|11|25|.440|26|34|.765|9|23|14|8|3|11|19
9|9|2011-12-18||Grambling|W|87|59|32|66|.485|8|19|.421|15|23|.652|12|34|17|13|2|15|22||17|56|.304|6|22|.273|19|25|.760|15|39|7|5|3|24|16
10|10|2011-12-22|@|Oral Roberts|L|56|72|23|46|.500|1|7|.143|9|15|.600|6|27|15|4|1|20|25||20|45|.444|9|19|.474|23|32|.719|5|23|11|9|2|11|17
11|11|2011-12-27||Cal State Bakersfield|W|74|58|24|40|.600|7|14|.500|19|28|.679|1|17|12|9|4|13|14||22|46|.478|5|12|.417|9|15|.600|7|20|7|10|2|18|22
12|12|2011-12-30||Southeastern Louisiana|W|62|54|19|40|.475|4|10|.400|20|29|.690|5|30|8|8|7|21|27||15|53|.283|5|20|.250|19|37|.514|14|32|8|12|2|13|22
13|13|2012-01-04|@|Oklahoma State|L|59|67|19|48|.396|5|16|.313|16|18|.889|8|37|12|1|0|13|19||20|51|.392|6|17|.353|21|25|.840|4|24|11|8|4|2|16
14|14|2012-01-07||Baylor|L|60|73|19|48|.396|6|16|.375|16|22|.727|5|20|12|6|2|13|25||23|47|.489|7|15|.467|20|30|.667|10|31|13|7|5|14|18
15|15|2012-01-11||Kansas|L|46|81|16|51|.314|1|11|.091|13|17|.765|7|22|7|6|3|11|14||29|57|.509|9|21|.429|14|21|.667|9|35|15|6|5|9|14
16|16|2012-01-14|@|Texas A&M|L|54|67|14|42|.333|4|11|.364|22|32|.688|9|35|6|5|3|23|25||22|46|.478|5|16|.313|18|27|.667|4|24|12|7|6|15|29
17|17|2012-01-17|@|Oklahoma|L|55|64|15|46|.326|7|14|.500|18|25|.720|9|34|11|4|4|20|25||21|54|.389|1|11|.091|21|26|.808|6|29|9|9|8|12|21
18|18|2012-01-21||Iowa State|L|52|76|20|57|.351|5|18|.278|7|8|.875|6|28|13|2|5|15|14||30|62|.484|8|25|.320|8|11|.727|9|39|16|11|1|11|19
19|19|2012-01-25||Kansas State|L|47|69|15|40|.375|3|13|.231|14|26|.538|6|24|9|5|6|24|21||26|54|.481|1|9|.111|16|23|.696|10|28|13|12|2|16|25
20|20|2012-01-28|@|Missouri|L|50|63|20|44|.455|8|18|.444|2|6|.333|6|29|14|3|1|21|22||19|48|.396|6|21|.286|19|23|.826|5|22|15|13|2|10|12
21|21|2012-01-31||Oklahoma State|L|63|80|22|44|.500|4|11|.364|15|23|.652|5|22|11|4|0|12|24||20|44|.455|7|20|.350|33|35|.943|6|22|13|4|2|8|22
22|22|2012-02-04|@|Texas|L|57|74|22|54|.407|4|11|.364|9|14|.643|6|21|8|3|4|14|19||23|53|.434|3|12|.250|25|31|.806|13|35|11|8|10|11|18
23|23|2012-02-07|@|Kansas State|L|46|65|11|38|.289|4|13|.308|20|26|.769|8|31|6|5|1|22|27||15|50|.300|5|16|.313|30|40|.750|17|33|8|9|5|13|26
24|24|2012-02-11||Oklahoma|W|65|47|25|58|.431|5|18|.278|10|12|.833|5|31|12|6|5|7|16||18|55|.327|2|14|.143|9|13|.692|9|34|11|2|0|16|20
25|25|2012-02-14||Texas A&M|L|38|47|17|44|.386|4|14|.286|0|2|.000|5|22|10|3|7|13|14||18|53|.340|5|12|.417|6|11|.545|15|35|6|4|1|14|11
26|26|2012-02-18|@|Kansas|L|50|83|18|44|.409|6|12|.500|8|8|1.000|5|17|11|7|1|20|20||27|48|.563|9|15|.600|20|28|.714|10|29|20|13|4|13|14
27|27|2012-02-22|@|Iowa State|L|54|72|21|46|.457|7|16|.438|5|9|.556|5|23|11|4|3|16|24||25|51|.490|6|19|.316|16|26|.615|12|33|16|8|2|13|14
28|28|2012-02-25||Texas|L (1 OT)|67|71|22|53|.415|2|14|.143|21|29|.724|8|32|12|8|2|18|24||22|56|.393|4|16|.250|23|30|.767|11|33|15|9|2|16|22
