ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-11|@|Kansas|L|54|100|18|51|.353|3|9|.333|15|20|.750|14|33|4|3|3|23|15||41|70|.586|10|23|.435|8|12|.667|12|32|30|15|7|5|20
2|2|2011-11-14|@|Michigan|L|47|64|18|42|.429|4|14|.286|7|17|.412|8|30|11|7|3|20|18||25|54|.463|6|25|.240|8|16|.500|12|30|13|8|2|14|15
3|3|2011-11-19|N|Belmont|L|41|87|15|57|.263|2|13|.154|9|18|.500|19|46|6|2|2|23|21||31|68|.456|13|32|.406|12|23|.522|13|36|20|16|4|2|15
4|4|2011-11-20|N|North Carolina-Greensboro|L|60|72|22|40|.550|3|9|.333|13|25|.520|9|30|6|7|1|28|20||25|66|.379|10|27|.370|12|18|.667|18|33|16|20|3|12|19
5|5|2011-11-26||Oregon State|L|46|66|17|42|.405|2|6|.333|10|15|.667|12|34|9|3|3|21|15||25|53|.472|8|21|.381|8|17|.471|9|19|15|11|3|10|14
6|6|2011-11-30|@|Massachusetts|L|56|86|21|64|.328|2|15|.133|12|24|.500|18|46|13|6|6|26|18||31|72|.431|13|28|.464|11|18|.611|13|40|23|9|13|11|19
7|7|2011-12-03||George Mason|L|53|65|18|48|.375|8|17|.471|9|13|.692|10|25|5|3|1|13|17||23|55|.418|5|17|.294|14|17|.824|14|37|11|5|4|10|14
8|8|2011-12-07||La Salle|L|51|89|19|55|.345|3|11|.273|10|15|.667|15|32|6|5|4|15|11||33|62|.532|14|27|.519|9|15|.600|13|35|18|11|2|10|17
9|9|2011-12-10||Maryland-Baltimore County|L|58|62|23|63|.365|4|20|.200|8|25|.320|23|38|6|6|6|16|23||18|50|.360|6|15|.400|20|26|.769|17|37|7|7|2|19|19
10|10|2011-12-14|@|Coppin State|L|57|71|20|45|.444|8|15|.533|9|24|.375|8|32|13|3|4|21|22||21|63|.333|12|32|.375|17|22|.773|13|32|16|10|3|9|20
11|11|2011-12-20||Manhattan|L|62|81|17|41|.415|3|10|.300|25|33|.758|7|31|7|4|4|23|21||28|58|.483|10|23|.435|15|21|.714|7|24|20|13|1|10|24
12|12|2011-12-23||Vermont|L|49|65|17|45|.378|3|9|.333|12|22|.545|9|27|7|6|4|10|10||27|53|.509|6|15|.400|5|10|.500|7|30|17|6|0|7|13
13|13|2011-12-30|@|Virginia|L|50|57|20|45|.444|5|18|.278|5|10|.500|6|24|5|2|6|13|20||16|46|.348|7|19|.368|18|26|.692|13|29|9|7|2|10|12
14|14|2012-01-02||Northeastern|L|48|57|20|47|.426|2|12|.167|6|11|.545|15|35|8|6|5|17|18||20|42|.476|4|12|.333|13|27|.481|10|25|10|12|5|11|12
15|15|2012-01-04|@|Drexel|L|27|60|8|37|.216|3|13|.231|8|12|.667|3|16|4|5|6|14|17||20|43|.465|6|12|.500|14|19|.737|8|35|15|6|3|13|16
16|16|2012-01-07|@|Old Dominion|L|38|75|13|42|.310|2|8|.250|10|18|.556|9|24|9|7|6|21|15||29|53|.547|6|17|.353|11|18|.611|10|32|23|16|5|12|15
17|17|2012-01-11||William & Mary|L|49|66|20|52|.385|4|15|.267|5|12|.417|9|30|9|6|4|11|18||24|48|.500|7|21|.333|11|14|.786|4|27|12|4|0|9|13
18|18|2012-01-14|@|Georgia State|L|42|57|12|48|.250|4|11|.364|14|19|.737|7|27|10|10|10|19|18||21|53|.396|3|12|.250|12|20|.600|12|37|15|13|2|18|19
19|19|2012-01-18||Old Dominion|L|41|71|15|48|.313|1|10|.100|10|16|.625|13|31|10|5|7|18|14||29|55|.527|7|15|.467|6|11|.545|7|28|12|13|4|9|14
20|20|2012-01-21|@|George Mason|L|60|72|23|62|.371|3|9|.333|11|21|.524|22|43|10|6|6|18|19||25|55|.455|6|13|.462|16|20|.800|8|30|19|13|4|15|19
21|21|2012-01-23|@|Delaware|L|43|62|17|51|.333|2|9|.222|7|14|.500|12|38|6|5|4|18|18||19|54|.352|6|20|.300|18|20|.900|7|29|6|9|4|9|15
22|22|2012-01-25||Virginia Commonwealth|L|42|67|14|47|.298|1|10|.100|13|23|.565|12|37|6|13|2|24|18||24|54|.444|9|25|.360|10|16|.625|7|33|16|14|4|16|17
23|23|2012-01-28||North Carolina-Wilmington|W|66|61|22|45|.489|1|8|.125|21|31|.677|12|40|8|8|5|16|15||24|61|.393|9|24|.375|4|8|.500|11|28|10|7|2|9|19
24|24|2012-02-01|@|Hofstra|L|49|74|16|37|.432|3|11|.273|14|33|.424|8|29|11|7|6|26|20||26|65|.400|7|21|.333|15|21|.714|18|36|17|12|6|12|24
25|25|2012-02-04||Drexel|L|57|65|16|44|.364|6|15|.400|19|27|.704|13|32|11|2|7|12|22||18|44|.409|7|14|.500|22|28|.786|10|30|11|6|1|8|22
26|26|2012-02-08|@|Virginia Commonwealth|L|43|66|16|39|.410|0|6|.000|11|18|.611|8|25|9|5|2|27|17||27|63|.429|6|24|.250|6|10|.600|16|30|17|19|9|11|17
27|27|2012-02-11||James Madison|L|56|58|16|58|.276|5|18|.278|19|25|.760|24|45|9|4|3|13|16||19|42|.452|10|22|.455|10|13|.769|3|16|14|8|4|7|19
28|28|2012-02-14|@|Northeastern|L|51|70|19|50|.380|3|13|.231|10|15|.667|12|28|11|10|2|19|17||20|44|.455|9|16|.563|21|24|.875|8|27|15|14|4|17|18
