ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-12||Kennesaw State|W|85|31|30|51|.588|15|25|.600|10|13|.769|9|40|23|7|3|10|12||10|43|.233|2|10|.200|9|16|.563|2|17|2|7|3|12|16
2|2|2011-11-16||Colgate|W|68|41|27|61|.443|10|23|.435|4|14|.286|13|40|8|11|2|5|13||16|46|.348|3|11|.273|6|12|.500|4|26|7|1|6|13|17
3|3|2011-11-19||Wofford|W|69|33|28|56|.500|9|23|.391|4|4|1.000|11|39|19|3|4|8|9||13|49|.265|4|19|.211|3|9|.333|5|21|7|5|0|9|12
4|4|2011-11-22||Missouri-Kansas City|W|77|31|30|58|.517|13|27|.481|4|8|.500|7|41|18|3|7|7|9||11|53|.208|5|13|.385|4|5|.800|4|23|3|3|3|11|14
5|5|2011-11-25|N|Bradley|W|66|43|25|59|.424|8|22|.364|8|12|.667|10|38|16|10|4|10|13||18|53|.340|1|7|.143|6|12|.500|10|33|4|5|3|17|13
6|6|2011-11-26|N|Brigham Young|W|73|56|27|53|.509|13|24|.542|6|7|.857|8|27|19|2|5|11|12||22|51|.431|1|10|.100|11|11|1.000|7|24|11|6|5|14|13
7|7|2011-11-30|@|North Carolina|L|57|60|23|64|.359|8|28|.286|3|6|.500|9|26|6|9|4|4|21||19|45|.422|3|9|.333|19|24|.792|8|39|9|2|6|14|12
8|8|2011-12-03||Marquette|L|54|61|16|50|.320|5|19|.263|17|21|.810|8|28|8|5|3|12|18||23|60|.383|2|11|.182|13|19|.684|16|41|7|3|3|13|21
9|9|2011-12-07||Green Bay|W|70|42|27|59|.458|3|17|.176|13|19|.684|11|33|16|8|7|6|11||18|56|.321|2|12|.167|4|5|.800|13|34|6|1|3|16|22
10|10|2011-12-10||Nevada-Las Vegas|W|62|51|20|54|.370|10|26|.385|12|18|.667|10|34|12|8|0|10|11||18|46|.391|5|12|.417|10|14|.714|4|26|8|5|1|15|17
11|11|2011-12-13|@|Milwaukee|W|60|54|19|46|.413|6|14|.429|16|20|.800|4|29|9|1|3|7|12||21|55|.382|5|22|.227|7|17|.412|9|31|11|5|1|4|16
12|12|2011-12-15||Savannah State|W|66|33|25|44|.568|3|8|.375|13|19|.684|7|27|7|9|6|7|10||15|46|.326|0|3|.000|3|5|.600|11|22|5|4|3|16|17
13|13|2011-12-23||Mississippi Valley State|W|79|45|22|44|.500|4|10|.400|31|44|.705|9|35|12|7|3|13|15||14|48|.292|4|14|.286|13|17|.765|6|22|9|7|0|17|29
14|14|2011-12-27|@|Nebraska|W|64|40|24|47|.511|11|21|.524|5|5|1.000|6|30|13|6|2|7|11||15|49|.306|3|13|.231|7|9|.778|9|25|9|5|1|9|10
15|15|2011-12-31||Iowa|L|65|72|24|69|.348|3|28|.107|14|17|.824|15|35|9|3|5|8|18||29|59|.492|2|6|.333|12|17|.706|11|40|10|2|4|10|17
16|16|2012-01-03||Michigan State|L (1 OT)|60|63|18|54|.333|5|22|.227|19|27|.704|9|27|5|3|4|8|19||24|60|.400|2|5|.400|13|20|.650|12|38|10|4|5|8|22
17|17|2012-01-08|@|Michigan|L|41|59|16|51|.314|7|20|.350|2|5|.400|11|27|6|6|2|12|16||19|48|.396|4|15|.267|17|20|.850|12|34|6|7|0|9|9
18|18|2012-01-12|@|Purdue|W|67|62|19|40|.475|9|20|.450|20|24|.833|3|31|13|1|4|11|16||21|61|.344|8|24|.333|12|22|.545|11|30|12|4|0|3|21
19|19|2012-01-15||Nebraska|W|50|45|15|48|.313|2|18|.111|18|24|.750|14|39|5|5|3|12|7||19|54|.352|5|19|.263|2|2|1.000|7|25|7|7|2|6|19
20|20|2012-01-18||Northwestern|W|77|57|27|54|.500|12|23|.522|11|14|.786|9|31|16|6|1|9|17||19|45|.422|5|14|.357|14|19|.737|4|22|8|7|0|10|13
21|21|2012-01-22|@|Illinois|W|67|63|24|54|.444|9|22|.409|10|18|.556|7|33|12|4|1|10|14||24|55|.436|3|12|.250|12|15|.800|4|29|8|2|0|9|17
22|22|2012-01-26||Indiana|W|57|50|19|48|.396|4|17|.235|15|19|.789|7|24|8|3|8|4|10||21|46|.457|3|8|.375|5|10|.500|6|24|4|3|1|10|18
23|23|2012-01-31|@|Penn State|W|52|46|17|48|.354|5|19|.263|13|19|.684|8|28|7|6|6|5|13||18|50|.360|2|10|.200|8|14|.571|9|32|9|3|2|9|20
24|24|2012-02-04||Ohio State|L|52|58|22|55|.400|5|27|.185|3|3|1.000|7|25|10|7|4|9|15||22|51|.431|1|7|.143|13|16|.813|9|30|8|5|1|9|12
25|25|2012-02-09|@|Minnesota|W (1 OT)|68|61|19|53|.358|9|23|.391|21|25|.840|10|30|13|7|6|9|14||23|55|.418|6|17|.353|9|14|.643|8|32|10|3|4|13|21
26|26|2012-02-16|@|Michigan State|L|55|69|18|53|.340|5|24|.208|14|14|1.000|12|33|10|5|1|10|23||24|46|.522|2|9|.222|19|25|.760|6|27|13|5|0|10|17
27|27|2012-02-19||Penn State|W|65|55|20|47|.426|11|22|.500|14|17|.824|10|37|14|1|2|12|11||22|56|.393|4|18|.222|7|11|.636|7|24|8|7|2|5|15
28|28|2012-02-23|@|Iowa|L|66|67|29|57|.509|6|16|.375|2|3|.667|7|28|11|6|6|12|16||24|50|.480|10|18|.556|9|15|.600|7|27|18|6|4|13|12
29|29|2012-02-26|@|Ohio State|W|63|60|23|55|.418|8|21|.381|9|11|.818|8|30|13|1|2|7|18||23|49|.469|4|11|.364|10|19|.526|8|34|10|2|2|12|17
30|30|2012-02-28||Minnesota|W|52|45|12|39|.308|6|22|.273|22|29|.759|5|25|10|2|3|8|19||11|46|.239|2|11|.182|21|29|.724|13|35|3|2|5|10|24
31|31|2012-03-04||Illinois|W|70|56|21|47|.447|7|19|.368|21|27|.778|6|33|12|6|1|6|14||21|53|.396|4|17|.235|10|14|.714|6|28|3|2|3|10|25
32|32|2012-03-09|N|Indiana|W|79|71|27|56|.482|13|26|.500|12|16|.750|10|26|16|4|2|5|16||25|51|.490|3|6|.500|18|22|.818|7|26|8|1|0|10|16
33|33|2012-03-10|N|Michigan State|L|52|65|17|49|.347|7|20|.350|11|14|.786|6|21|9|7|1|10|14||21|42|.500|6|9|.667|17|23|.739|6|29|12|7|5|12|14
34|34|2012-03-15|N|Montana|W|73|49|23|48|.479|10|19|.526|17|19|.895|8|32|15|3|8|10|15||18|47|.383|3|9|.333|10|15|.667|4|19|8|8|2|8|16
35|35|2012-03-17|N|Vanderbilt|W|60|57|23|55|.418|10|33|.303|4|8|.500|8|27|13|4|1|8|16||20|46|.435|5|19|.263|12|16|.750|7|32|8|4|3|12|17
36|36|2012-03-22|N|Syracuse|L|63|64|21|49|.429|14|27|.519|7|12|.583|8|23|15|2|2|6|12||27|49|.551|5|9|.556|5|9|.556|6|23|5|4|1|6|13
