ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-11|@|Georgia|L|49|62|18|52|.346|3|15|.200|10|16|.625|5|32|11|1|3|12|20||20|59|.339|7|23|.304|15|22|.682|11|38|12|3|4|7|15
2|2|2011-11-13||Emory & Henry|W|70|55|26|57|.456|4|18|.222|14|15|.933|4|28|17|13|6|13|15||21|55|.382|6|20|.300|7|12|.583|6|32|10|8|2|20|15
3|3|2011-11-19|@|Wisconsin|L|33|69|13|49|.265|4|19|.211|3|9|.333|5|21|7|5|0|9|12||28|56|.500|9|23|.391|4|4|1.000|11|39|19|3|4|8|9
4|4|2011-11-22|@|Bradley|W|70|66|28|61|.459|10|23|.435|4|10|.400|12|44|16|8|2|18|19||24|62|.387|4|17|.235|14|22|.636|10|36|13|13|0|13|15
5|5|2011-11-25|N|Missouri-Kansas City|L (1 OT)|58|64|21|56|.375|3|19|.158|13|20|.650|15|37|12|4|3|19|20||17|51|.333|7|24|.292|23|26|.885|8|27|13|9|4|15|18
6|6|2011-11-26|N|Prairie View|W|56|49|19|53|.358|5|19|.263|13|15|.867|8|25|14|6|1|14|21||15|40|.375|1|11|.091|18|32|.563|9|30|7|9|7|18|15
7|7|2011-12-01||Davidson|L|69|72|29|55|.527|4|12|.333|7|12|.583|5|20|15|7|4|10|19||24|51|.471|5|18|.278|19|24|.792|10|26|9|6|4|12|16
8|8|2011-12-03||Citadel|W|82|63|32|58|.552|9|23|.391|9|16|.563|11|35|22|4|3|8|17||22|51|.431|5|13|.385|14|24|.583|10|25|4|6|0|9|14
9|9|2011-12-06||Tulane|W|61|50|24|52|.462|7|20|.350|6|7|.857|6|25|16|4|4|11|10||20|51|.392|2|16|.125|8|13|.615|8|27|5|4|3|11|13
10|10|2011-12-10||Virginia Wise|W|69|66|23|56|.411|4|14|.286|19|25|.760|11|33|16|8|1|12|19||22|47|.468|6|11|.545|16|25|.640|3|22|7|3|2|15|23
11|11|2011-12-18||Jacksonville|W|63|57|17|41|.415|4|13|.308|25|39|.641|4|30|12|6|3|12|15||24|60|.400|5|11|.455|4|9|.444|9|31|14|5|3|11|27
12|12|2011-12-21|@|High Point|L|79|87|29|51|.569|12|25|.480|9|17|.529|9|26|20|3|1|9|22||30|52|.577|10|16|.625|17|23|.739|5|19|20|6|1|4|15
13|13|2011-12-28|@|South Carolina|L|45|57|18|50|.360|5|19|.263|4|10|.400|11|31|10|4|1|14|13||20|45|.444|11|20|.550|6|10|.600|5|23|14|6|7|13|9
14|14|2012-01-02|@|Wake Forest|W|56|52|21|61|.344|9|27|.333|5|15|.333|10|27|13|6|4|9|16||18|46|.391|1|10|.100|15|17|.882|6|33|11|5|7|14|15
15|15|2012-01-05||College of Charleston|W|75|58|26|57|.456|11|28|.393|12|15|.800|10|34|16|10|1|9|10||21|54|.389|10|25|.400|6|9|.667|5|22|9|4|2|12|13
16|16|2012-01-07|@|Western Carolina|L|57|67|21|59|.356|8|25|.320|7|8|.875|11|35|10|8|0|15|18||23|52|.442|6|13|.462|15|22|.682|9|32|8|8|2|12|10
17|17|2012-01-12|@|Chattanooga|L|48|51|19|67|.284|6|35|.171|4|7|.571|10|37|9|6|4|4|18||19|48|.396|2|18|.111|11|20|.550|6|42|11|3|2|12|12
18|18|2012-01-14||Georgia Southern|W|88|63|32|52|.615|9|20|.450|15|19|.789|6|29|20|7|3|8|19||26|54|.481|1|9|.111|10|16|.625|6|21|8|3|1|11|18
19|19|2012-01-19||Appalachian State|W|73|61|28|52|.538|5|14|.357|12|14|.857|7|30|16|2|1|8|15||22|53|.415|8|23|.348|9|13|.692|9|23|11|2|1|6|14
20|20|2012-01-21|@|Furman|W|79|72|25|49|.510|8|13|.615|21|25|.840|12|31|19|5|2|13|18||27|51|.529|11|22|.500|7|11|.636|5|15|18|5|5|10|21
21|21|2012-01-26|@|Citadel|W|62|55|23|52|.442|7|23|.304|9|11|.818|5|26|14|3|2|12|16||20|46|.435|4|14|.286|11|14|.786|5|26|11|5|3|14|15
