ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2011-11-11|@|Ohio State|L|42|73|13|41|.317|6|18|.333|10|15|.667|2|24|7|1|0|23|27||21|47|.447|5|14|.357|26|38|.684|6|33|14|10|3|14|18
2|2|2011-11-13||Kenyon|W|80|56|25|57|.439|7|19|.368|23|29|.793|8|35|20|7|0|11|22||18|44|.409|11|22|.500|9|19|.474|2|28|13|4|0|21|23
3|3|2011-11-16||Jackson State|W|56|39|16|51|.314|6|19|.316|18|26|.692|9|32|11|7|3|13|19||11|42|.262|2|14|.143|15|21|.714|7|34|4|7|5|21|24
4|4|2011-11-21|N|Florida|L|65|78|23|54|.426|7|22|.318|12|18|.667|5|24|14|8|4|12|24||23|51|.451|12|27|.444|20|30|.667|9|35|19|6|1|15|17
5|5|2011-11-23|@|North Florida|L|52|69|20|53|.377|6|19|.316|6|8|.750|9|21|11|6|4|13|17||28|49|.571|5|16|.313|8|16|.500|11|33|12|6|6|12|14
6|6|2011-11-26||Charlotte|L|66|70|22|60|.367|9|24|.375|13|20|.650|8|20|15|10|1|11|21||24|43|.558|5|16|.313|17|24|.708|7|31|15|6|4|20|21
7|7|2011-12-01||Cleveland State|L|43|45|16|39|.410|2|9|.222|9|14|.643|6|21|6|9|0|10|15||16|40|.400|5|17|.294|8|9|.889|10|27|10|5|0|16|18
8|8|2011-12-03||Youngstown State|W|63|62|22|45|.489|5|11|.455|14|18|.778|5|30|7|2|1|13|16||20|50|.400|11|27|.407|11|15|.733|5|24|12|4|6|7|13
9|9|2011-12-07|@|Air Force|L|34|55|9|46|.196|2|19|.105|14|18|.778|9|31|4|5|5|16|14||19|45|.422|9|25|.360|8|12|.667|3|28|15|7|4|12|15
10|10|2011-12-10|@|Miami (OH)|W|51|49|15|44|.341|7|18|.389|14|19|.737|9|34|9|10|5|22|24||13|43|.302|6|21|.286|17|28|.607|10|33|9|9|3|21|17
11|11|2011-12-14||Cincinnati|L|58|78|20|42|.476|5|12|.417|13|17|.765|4|19|8|7|0|13|18||28|51|.549|14|32|.438|8|18|.444|10|29|15|5|5|12|19
12|12|2011-12-17||Ohio|L|54|82|19|50|.380|3|15|.200|13|25|.520|10|25|8|4|0|21|23||29|47|.617|8|21|.381|16|22|.727|5|31|16|7|2|19|27
13|13|2011-12-20||Idaho|W (1 OT)|80|78|30|66|.455|7|22|.318|13|18|.722|9|28|10|5|0|9|26||26|54|.481|8|18|.444|18|30|.600|10|41|18|2|4|16|19
14|14|2011-12-22||Central Michigan|W|60|42|22|48|.458|9|22|.409|7|13|.538|5|29|16|6|1|14|16||16|46|.348|3|17|.176|7|13|.538|8|29|7|4|3|17|16
15|15|2011-12-29|@|Loyola (IL)|W|64|48|21|47|.447|10|25|.400|12|16|.750|5|17|14|8|3|9|23||13|33|.394|4|13|.308|18|22|.818|8|29|9|3|3|21|16
16|16|2011-12-31|@|Illinois-Chicago|W (1 OT)|74|70|23|58|.397|6|14|.429|22|31|.710|9|32|12|10|1|11|22||20|51|.392|7|21|.333|23|28|.821|8|31|12|5|3|17|21
17|17|2012-01-06||Butler|L|62|63|20|48|.417|6|15|.400|16|19|.842|6|24|9|5|0|18|22||26|46|.565|3|16|.188|8|16|.500|5|27|15|6|5|21|20
18|18|2012-01-08||Valparaiso|W|73|55|26|53|.491|4|15|.267|17|22|.773|5|31|13|7|2|8|18||19|47|.404|3|16|.188|14|22|.636|7|30|10|2|2|16|20
19|19|2012-01-12|@|Milwaukee|L|38|58|13|51|.255|2|16|.125|10|17|.588|11|31|5|9|1|15|17||22|47|.468|6|23|.261|8|13|.615|7|36|17|5|2|16|16
20|20|2012-01-14|@|Green Bay|L|56|57|22|57|.386|7|12|.583|5|6|.833|8|24|8|8|0|16|26||13|35|.371|5|12|.417|26|35|.743|5|26|7|5|14|21|16
