ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-11||Charleston Southern|W|82|73|27|60|.450|11|32|.344|17|22|.773|11|29|25|6|7|8|21||22|50|.440|10|28|.357|19|29|.655|10|30|14|5|1|15|17
2|2|2012-11-15||Texas-El Paso|W|72|51|22|45|.489|9|18|.500|19|23|.826|13|35|14|6|3|19|19||16|44|.364|5|14|.357|14|19|.737|5|14|6|6|3|15|19
3|3|2012-11-19||Long Beach State|W|94|72|30|56|.536|9|19|.474|25|35|.714|10|37|17|10|6|13|17||24|56|.429|14|32|.438|10|13|.769|4|20|13|4|1|16|25
4|4|2012-11-28||Northern Arizona|W|93|50|30|52|.577|12|21|.571|21|28|.750|7|35|22|8|5|11|13||20|55|.364|5|17|.294|5|9|.556|6|24|8|8|3|15|21
5|5|2012-12-01|@|Texas Tech|W|85|57|30|53|.566|8|22|.364|17|21|.810|9|39|13|9|3|15|18||22|63|.349|6|21|.286|7|12|.583|11|24|9|7|4|15|18
6|6|2012-12-04||Southern Mississippi|W|63|55|19|42|.452|6|20|.300|19|28|.679|9|28|16|10|2|27|11||23|59|.390|5|18|.278|4|6|.667|14|24|6|12|0|22|21
7|7|2012-12-08|@|Clemson|W|66|54|22|62|.355|5|16|.313|17|20|.850|17|40|10|13|4|11|18||20|52|.385|5|12|.417|9|17|.529|8|26|6|7|12|14|17
8|8|2012-12-15||Florida|W|65|64|20|44|.455|7|20|.350|18|21|.857|4|21|12|8|3|10|11||24|52|.462|10|18|.556|6|8|.750|11|27|13|4|2|14|12
9|9|2012-12-18||Oral Roberts|W|89|64|34|59|.576|8|16|.500|13|18|.722|7|34|20|12|8|17|13||23|60|.383|6|12|.500|12|12|1.000|5|23|7|6|2|20|18
10|10|2012-12-22|N|East Tennessee State|W|73|53|25|59|.424|9|26|.346|14|17|.824|13|46|15|5|3|18|14||18|58|.310|6|23|.261|11|12|.917|5|24|5|6|0|13|18
11|11|2012-12-23|N|Miami (FL)|W|69|50|25|52|.481|8|18|.444|11|17|.647|12|44|11|6|0|16|18||19|52|.365|5|19|.263|7|14|.500|5|19|5|14|1|9|13
12|12|2012-12-25|N|San Diego State|W|68|67|22|59|.373|5|20|.250|19|27|.704|10|29|10|1|3|8|16||24|55|.436|4|17|.235|15|18|.833|10|32|14|3|8|15|21
13|13|2013-01-03||Colorado|W (1 OT)|92|83|28|65|.431|8|23|.348|28|36|.778|12|39|12|8|1|13|19||28|59|.475|10|21|.476|17|29|.586|6|31|14|5|1|11|26
14|14|2013-01-05||Utah|W|60|57|21|58|.362|7|22|.318|11|12|.917|15|34|9|5|4|9|13||21|49|.429|7|16|.438|8|9|.889|5|22|13|3|3|10|14
15|15|2013-01-10|@|Oregon|L|66|70|25|57|.439|8|19|.421|8|11|.727|6|28|11|4|3|14|17||25|52|.481|7|11|.636|13|17|.765|6|28|17|10|6|12|16
16|16|2013-01-12|@|Oregon State|W|80|70|28|59|.475|10|25|.400|14|21|.667|10|37|14|8|9|16|22||24|61|.393|5|15|.333|17|26|.654|9|34|14|7|3|14|16
17|17|2013-01-19|@|Arizona State|W|71|54|25|54|.463|5|16|.313|16|19|.842|7|28|12|8|1|9|16||18|46|.391|5|20|.250|13|15|.867|5|24|9|5|5|17|17
18|18|2013-01-24||UCLA|L|73|84|28|73|.384|5|24|.208|12|16|.750|18|41|10|7|3|14|21||32|67|.478|3|8|.375|17|29|.586|11|38|18|8|1|11|15
19|19|2013-01-26||Southern California|W|74|50|25|61|.410|7|22|.318|17|27|.630|10|40|14|6|5|11|14||18|64|.281|5|20|.250|9|16|.563|13|38|6|4|6|16|21
20|20|2013-01-31|@|Washington|W|57|53|20|57|.351|3|18|.167|14|19|.737|10|31|7|5|6|17|14||21|57|.368|1|12|.083|10|17|.588|7|26|10|5|8|17|17
21|21|2013-02-02|@|Washington State|W|79|65|27|57|.474|11|30|.367|14|16|.875|6|28|13|5|4|9|21||20|49|.408|6|19|.316|19|22|.864|6|27|10|3|2|13|17
22|22|2013-02-06||Stanford|W|73|66|25|54|.463|6|20|.300|17|25|.680|8|33|13|6|2|11|15||22|58|.379|7|19|.368|15|18|.833|9|29|11|1|3|10|20
23|23|2013-02-10||California|L|69|77|22|56|.393|9|18|.500|16|24|.667|10|27|13|9|3|9|12||30|51|.588|6|13|.462|11|12|.917|4|26|19|3|5|13|17
24|24|2013-02-14|@|Colorado|L|58|71|22|52|.423|5|19|.263|9|13|.692|9|28|12|5|3|13|16||25|50|.500|9|17|.529|12|18|.667|8|30|12|9|2|11|13
25|25|2013-02-17|@|Utah|W|68|64|25|53|.472|6|22|.273|12|19|.632|11|33|15|10|4|12|15||21|53|.396|7|16|.438|15|18|.833|7|24|16|7|1|15|17
26|26|2013-02-20||Washington|W|70|52|24|51|.471|6|15|.400|16|23|.696|9|39|14|4|8|12|16||20|65|.308|1|11|.091|11|18|.611|13|30|8|4|1|8|22
27|27|2013-02-23||Washington State|W|73|56|25|45|.556|11|22|.500|12|18|.667|6|26|19|5|3|10|21||18|40|.450|6|16|.375|14|28|.500|5|19|13|4|1|12|19
28|28|2013-02-27|@|Southern California|L|78|89|24|60|.400|7|23|.304|23|30|.767|8|24|13|10|4|13|19||33|54|.611|6|10|.600|17|21|.810|5|33|19|8|8|17|21
29|29|2013-03-02|@|UCLA|L|69|74|24|54|.444|10|22|.455|11|14|.786|9|34|13|4|4|16|11||29|62|.468|7|17|.412|9|11|.818|7|27|17|11|1|8|14
30|30|2013-03-09||Arizona State|W|73|58|24|54|.444|8|23|.348|17|21|.810|10|32|11|10|1|12|18||20|43|.465|6|15|.400|12|19|.632|3|22|12|5|6|16|22
31|31|2013-03-14|N|Colorado|W|79|69|28|62|.452|9|27|.333|14|16|.875|11|29|16|7|7|10|18||22|51|.431|5|12|.417|20|28|.714|11|27|6|4|3|13|18
32|32|2013-03-15|N|UCLA|L|64|66|25|56|.446|7|17|.412|7|9|.778|9|35|17|2|3|13|15||24|61|.393|1|12|.083|17|21|.810|9|28|8|9|5|5|10
33|33|2013-03-21|N|Belmont|W|81|64|29|51|.569|9|17|.529|14|20|.700|12|42|13|2|5|15|21||20|51|.392|8|27|.296|16|23|.696|2|15|7|7|0|7|20
34|34|2013-03-23|N|Harvard|W|74|51|27|49|.551|9|15|.600|11|16|.688|3|39|13|4|2|12|20||16|58|.276|5|18|.278|14|19|.737|11|31|12|7|1|8|14
35|35|2013-03-28|N|Ohio State|L|70|73|23|52|.442|6|18|.333|18|20|.900|7|28|7|6|2|10|20||22|52|.423|7|13|.538|22|26|.846|8|29|9|4|3|8|18
