ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-11|@|Binghamton|W|58|49|21|52|.404|10|25|.400|6|9|.667|8|40|13|6|3|12|14||15|49|.306|9|27|.333|10|14|.714|4|30|9|5|0|10|13
2|2|2012-11-15|@|Central Connecticut State|L|71|86|25|56|.446|10|25|.400|11|13|.846|9|21|16|5|1|14|13||31|50|.620|11|19|.579|13|13|1.000|4|24|18|9|5|14|12
3|3|2012-11-17|@|Maine|W|70|68|23|57|.404|5|18|.278|19|27|.704|9|25|11|10|5|11|13||28|59|.475|4|10|.400|8|13|.615|14|37|16|5|6|16|19
4|4|2012-11-21||Bryant|L|61|68|22|52|.423|8|26|.308|9|17|.529|9|37|15|5|5|19|22||25|58|.431|4|16|.250|14|23|.609|5|25|11|10|1|7|15
5|5|2012-11-24||St. Francis (NY)|L (1 OT)|72|76|27|56|.482|7|20|.350|11|16|.688|14|35|13|7|6|23|14||30|55|.545|10|21|.476|6|12|.500|5|16|17|16|1|15|17
6|6|2012-11-29||Sacred Heart|W|69|56|24|68|.353|10|36|.278|11|17|.647|21|41|20|6|5|7|19||18|45|.400|2|11|.182|18|21|.857|5|28|11|5|4|13|15
7|7|2012-12-01|@|New Hampshire|L|50|63|19|59|.322|4|21|.190|8|13|.615|8|32|9|7|2|15|17||22|53|.415|7|20|.350|12|18|.667|8|37|10|9|1|16|14
8|8|2012-12-08|@|Notre Dame|L|57|84|21|57|.368|9|25|.360|6|9|.667|13|31|11|3|4|12|13||34|68|.500|9|26|.346|7|12|.583|16|39|22|11|5|3|7
9|9|2012-12-23|@|Northwestern|L|42|63|15|49|.306|4|14|.286|8|16|.500|8|25|12|7|4|12|13||23|47|.489|13|24|.542|4|5|.800|2|25|21|5|7|11|11
10|10|2012-12-28||Providence|W|69|68|26|52|.500|13|27|.481|4|12|.333|7|36|17|6|1|14|19||23|56|.411|10|22|.455|12|17|.706|7|30|17|7|1|7|12
