ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2012-11-10|N|Fairfield|L (1 OT)|63|64|22|59|.373|7|16|.438|12|14|.857|5|27|9|11|4|12|13||24|55|.436|7|18|.389|9|12|.750|7|38|16|4|5|19|16
2|2|2012-11-12|@|Saint Peter's|L|61|64|21|55|.382|4|18|.222|15|19|.789|7|26|12|7|6|17|19||27|56|.482|4|7|.571|6|15|.400|12|37|16|6|1|19|16
3|3|2012-11-15||Brown|W|86|71|31|50|.620|11|19|.579|13|13|1.000|4|24|18|9|5|14|12||25|56|.446|10|25|.400|11|13|.846|9|21|16|5|1|14|13
4|4|2012-11-18|@|La Salle|W|81|74|30|62|.484|7|14|.500|14|16|.875|4|30|12|8|3|7|12||28|64|.438|9|28|.321|9|15|.600|11|33|17|2|4|10|13
5|5|2012-11-20|@|Maryland-Baltimore County|W (1 OT)|83|82|35|76|.461|5|23|.217|8|12|.667|9|33|15|13|5|13|17||29|68|.426|10|22|.455|14|24|.583|13|44|19|4|3|19|15
6|6|2012-11-24|@|Hartford|L|77|80|29|68|.426|5|15|.333|14|18|.778|13|35|6|8|3|7|19||29|53|.547|8|16|.500|14|23|.609|4|30|17|4|3|14|17
7|7|2012-12-05|@|New Hampshire|W|87|84|32|64|.500|7|19|.368|16|18|.889|9|23|9|6|1|14|18||28|49|.571|12|25|.480|16|24|.667|6|26|19|5|2|18|20
8|8|2012-12-08|@|Indiana|L|69|100|24|72|.333|8|28|.286|13|16|.813|12|25|11|7|1|16|18||39|72|.542|7|21|.333|15|20|.750|19|52|20|9|5|14|16
9|9|2012-12-21||Northeastern|L|63|82|25|64|.391|8|27|.296|5|9|.556|6|25|12|8|3|14|26||26|51|.510|5|14|.357|25|34|.735|10|44|17|8|3|15|12
10|10|2012-12-29||Saint Peter's|L|69|71|25|57|.439|7|16|.438|12|17|.706|6|28|14|8|10|12|17||26|72|.361|7|19|.368|12|15|.800|22|49|16|5|2|15|17
11|11|2012-12-31|@|Syracuse|L|62|96|21|66|.318|9|35|.257|11|14|.786|10|29|13|9|6|14|12||39|77|.506|10|22|.455|8|13|.615|21|55|18|7|8|16|13
12|12|2013-01-03|@|Saint Francis (PA)|L|60|67|18|59|.305|6|17|.353|18|24|.750|10|31|8|12|3|11|15||23|53|.434|7|24|.292|14|20|.700|11|41|15|4|1|20|19
13|13|2013-01-05|@|Robert Morris|W|77|70|25|52|.481|7|19|.368|20|29|.690|11|32|9|14|0|17|21||25|57|.439|9|27|.333|11|20|.550|11|30|12|9|1|16|23
